 	avec	la	manière	dont	il	remblaie	les	trous	il	peut	en	remplir	cent	par	jour	</S>
a66	0.158336	0.108485	0.0911774	0.107084	0.0973493	0.122626	0.0710442	0.0593464	0.0364898	0.0347639	0.0359032	0.0281785	0.0197938	0.0120813	0.00909271	0.00824801
a87	0.241653	0.110294	0.0560047	0.0432153	0.0528036	0.0597101	0.0700998	0.0521206	0.0388098	0.0570343	0.0463558	0.0534995	0.0341401	0.0228055	0.0309162	0.0305373
a10	0.212414	0.146421	0.100894	0.077568	0.0693691	0.0757899	0.0382529	0.0262079	0.0262235	0.0397949	0.0368388	0.0505398	0.0355156	0.02159	0.0200614	0.0225189
a57	0.168554	0.139525	0.145673	0.0946352	0.0714643	0.107867	0.0363202	0.0291586	0.0252354	0.0418711	0.037051	0.0365514	0.0243274	0.0152267	0.0133327	0.0132068
a30	0.164648	0.139885	0.146639	0.0917154	0.0666771	0.102779	0.0372003	0.0312996	0.0280024	0.042404	0.0376211	0.0349567	0.0270656	0.0190397	0.0158573	0.0142103
a10	0.145683	0.141706	0.150339	0.0949833	0.0619333	0.0963811	0.0378378	0.0335132	0.0303603	0.0405471	0.0386337	0.0342401	0.0307658	0.024966	0.020414	0.0176966
a87	0.153302	0.135107	0.12109	0.0862392	0.0630306	0.100828	0.0443178	0.0401849	0.0348563	0.0441559	0.0392567	0.0350685	0.0312827	0.0278263	0.0236093	0.0198457
a79	0.110654	0.113557	0.134305	0.0928264	0.0709882	0.105707	0.0489264	0.0455706	0.0400081	0.0478619	0.0434293	0.0382758	0.0362588	0.0299807	0.0234056	0.0182447
a62	0.138441	0.1244	0.101758	0.0885763	0.075558	0.126951	0.0578379	0.04777	0.0372957	0.0397961	0.032548	0.0314159	0.0276414	0.0254576	0.0236834	0.0208696
a88	0.22405	0.255585	0.161418	0.0967361	0.0460107	0.090109	0.0267854	0.0191225	0.0122641	0.0122443	0.0103145	0.00823801	0.00875765	0.0101084	0.00961671	0.00864068
a31	0.15829	0.207543	0.1744	0.109742	0.0570124	0.107518	0.0335155	0.0257714	0.0179375	0.0177127	0.0147234	0.0137504	0.0135915	0.0154762	0.016428	0.0165883
a43	0.177256	0.245142	0.193102	0.113254	0.0561981	0.0988917	0.0256778	0.0194576	0.01202	0.0117917	0.00993292	0.00748871	0.00730641	0.00793115	0.00752187	0.00702774
a31	0.126319	0.196555	0.187638	0.127704	0.0750889	0.118762	0.0349742	0.0289625	0.0183077	0.0166651	0.0137244	0.0109867	0.00972603	0.0103248	0.0115698	0.0126925
a24	0.111928	0.163746	0.188557	0.149508	0.0920743	0.144422	0.04155	0.0332416	0.0171653	0.0137057	0.010588	0.00695881	0.00612052	0.00623966	0.00665485	0.0075418
a21	0.0785105	0.125215	0.154342	0.154094	0.118879	0.159044	0.0549932	0.0424995	0.0236087	0.0202483	0.0171341	0.0125529	0.00944428	0.00834446	0.00898191	0.012109
a47	0.0422675	0.0724922	0.13847	0.162216	0.140049	0.170952	0.073718	0.0601378	0.0346617	0.027536	0.0220576	0.0139302	0.00963839	0.00800282	0.00969851	0.0141725
a62	0.026913	0.0457953	0.100674	0.146956	0.148108	0.208236	0.0848172	0.0635842	0.0431867	0.0383388	0.0308514	0.020748	0.0124756	0.00871981	0.00836303	0.0122329
a31	0.0269292	0.0466803	0.10625	0.153212	0.149955	0.184396	0.0892764	0.0656458	0.0445121	0.0391725	0.0353036	0.0198086	0.0119965	0.00822166	0.00773805	0.0109017
a62	0.0164224	0.0301416	0.0766528	0.134758	0.165059	0.184851	0.103073	0.0759588	0.0527486	0.0463218	0.0416331	0.023868	0.0141007	0.00961421	0.0098471	0.01495
a31	0.0169109	0.0289151	0.0625645	0.115256	0.153173	0.146791	0.116329	0.0812558	0.0671413	0.0598575	0.0589873	0.0360392	0.0225041	0.0126374	0.0100904	0.0115482
a43	0.0181486	0.0298482	0.0617225	0.104119	0.133719	0.127556	0.110347	0.0843799	0.0736358	0.0657332	0.0646913	0.045389	0.0325623	0.0187163	0.014294	0.0151375
a75	0.00772545	0.0135207	0.0332758	0.0718271	0.13052	0.141036	0.134038	0.107216	0.0885095	0.0700428	0.0658889	0.0472686	0.0330939	0.0187733	0.016389	0.0208755
a25	0.00750732	0.0137813	0.0335585	0.060232	0.0918611	0.103893	0.0938217	0.0893449	0.088104	0.0863894	0.0886817	0.0770108	0.0535976	0.0371432	0.0350248	0.0400489
a98	0.00388371	0.0067817	0.0176484	0.0456802	0.0916059	0.0894528	0.113024	0.103149	0.0999442	0.0848674	0.0929295	0.0739516	0.0539017	0.0348325	0.035826	0.0525211
a47	0.00947622	0.0139573	0.0244915	0.0466978	0.0821138	0.0836207	0.0952241	0.0841385	0.0899021	0.0811985	0.098391	0.0798188	0.0709444	0.0467426	0.0396118	0.0536708
a21	0.0180291	0.018799	0.0224693	0.0430881	0.0708457	0.0718752	0.0951064	0.0938286	0.10151	0.0762059	0.106389	0.0638593	0.0600194	0.0397015	0.0411056	0.0771679
a85	0.00766185	0.0106105	0.0159671	0.0337714	0.0615741	0.0508325	0.0687042	0.0683502	0.0926157	0.0880836	0.113607	0.0860322	0.0737086	0.0539842	0.0625617	0.111935
