 	j'	ai	été	présent	à	son	mariage	</S>
a66	0.42169	0.268256	0.125244	0.0770778	0.0460761	0.0336872	0.0194809	0.00848811
a87	0.217821	0.154975	0.119362	0.130528	0.1583	0.113542	0.0695704	0.0359021
a23	0.246926	0.217837	0.228049	0.160453	0.0636155	0.031302	0.0293567	0.0224604
a99	0.262566	0.278883	0.214919	0.15794	0.0415883	0.0148474	0.0145429	0.0147128
a24	0.340874	0.307713	0.169906	0.117399	0.0304675	0.0121462	0.0107972	0.0106979
a88	0.278249	0.253509	0.183949	0.162152	0.0609804	0.0263882	0.0184229	0.0163497
a71	0.156428	0.179651	0.175907	0.271698	0.122009	0.0477566	0.0254768	0.0210732
a62	0.0649728	0.0832282	0.126547	0.240122	0.238689	0.130003	0.066873	0.0495649
a21	0.061046	0.0829113	0.137343	0.276303	0.247444	0.123311	0.0445887	0.0270526
a47	0.0548609	0.068796	0.124245	0.257439	0.266229	0.141924	0.0520051	0.0345009
a62	0.0572498	0.0698029	0.143378	0.233656	0.22926	0.145957	0.0645127	0.0561835
a88	0.0508079	0.0528554	0.122878	0.199398	0.228436	0.189668	0.0937604	0.0621953
a75	0.0358842	0.0312965	0.0941354	0.149626	0.216597	0.237606	0.139398	0.095457
a25	0.0149548	0.014567	0.0527982	0.075758	0.144799	0.218788	0.239678	0.238658
a92	0.0106129	0.0119958	0.0446055	0.048212	0.107638	0.219815	0.265735	0.291386
a98	0.0107798	0.00901592	0.0202875	0.0273461	0.0833718	0.189267	0.281025	0.378907
a25	0.00396053	0.0032833	0.0097821	0.0143269	0.0637041	0.156596	0.268931	0.479416
a79	0.00189468	0.0017299	0.00530463	0.00710345	0.0339694	0.104353	0.233561	0.612084
a69	0.00258448	0.0020952	0.00582272	0.00759708	0.0369512	0.107583	0.255495	0.581872
a7	0.00158159	0.00105379	0.0027283	0.00299539	0.0186792	0.0758323	0.239896	0.657233
a84	0.00074607	0.000576593	0.00157076	0.00163955	0.0116955	0.0431955	0.197259	0.743317
a87	0.0461316	0.0351649	0.0483776	0.043594	0.0637656	0.0970396	0.195759	0.470167
a23	0.200224	0.164188	0.159287	0.113476	0.0825138	0.0746326	0.0884918	0.117187
a87	0.0640409	0.0496182	0.0699594	0.0606967	0.0486476	0.0789704	0.210143	0.417924
</S>	0.0264657	0.0163695	0.0238791	0.0251194	0.0326847	0.0678352	0.216963	0.590683
