 	le	footballeur	tient	un	éventail	</S>
a85	0.351317	0.290502	0.235457	0.0691199	0.0289063	0.0246977
a87	0.364722	0.212377	0.121642	0.0827141	0.0979287	0.120615
a79	0.350661	0.197602	0.0927462	0.0984531	0.115154	0.145383
a69	0.547537	0.120842	0.0286208	0.0345393	0.0799857	0.188475
a4	0.458098	0.162231	0.0752812	0.102829	0.104296	0.0972652
a75	0.60816	0.223937	0.0557844	0.0396299	0.0354175	0.0370712
a5	0.398918	0.320376	0.120791	0.0641797	0.0460069	0.0497292
a12	0.293153	0.370646	0.1568	0.0780853	0.0553115	0.046004
a88	0.341745	0.374153	0.157673	0.0552884	0.038141	0.0329999
a62	0.210623	0.328874	0.233683	0.092328	0.0686626	0.0658295
a31	0.136235	0.268686	0.274376	0.141435	0.0903904	0.0888779
a96	0.181985	0.325268	0.269834	0.113058	0.0574558	0.0523988
a75	0.107036	0.283524	0.335451	0.135016	0.069201	0.0697724
a85	0.117113	0.225611	0.320136	0.169059	0.0829512	0.0851294
a37	0.123417	0.200638	0.264186	0.167958	0.120158	0.123643
a96	0.0760947	0.144747	0.308414	0.231127	0.122158	0.117458
a12	0.0513419	0.102661	0.2595	0.284796	0.169726	0.131974
a83	0.0416684	0.0640242	0.149662	0.28473	0.258251	0.201664
a9	0.0217695	0.0408782	0.123777	0.260237	0.298077	0.255261
a75	0.0161157	0.0316443	0.0679314	0.14188	0.275103	0.467325
a85	0.0144725	0.0219296	0.0594572	0.171492	0.330868	0.401781
a6	0.0142331	0.0132918	0.0342966	0.122766	0.363253	0.452159
a85	0.00603013	0.00849403	0.022171	0.092673	0.369081	0.50155
a5	0.00972241	0.00761738	0.0169681	0.0919494	0.364209	0.509533
a18	0.0203794	0.0206523	0.0359028	0.138714	0.400438	0.383914
a11	0.00127832	0.00245763	0.0103712	0.0795949	0.370818	0.53548
a66	0.000589942	0.00115983	0.00578866	0.0594698	0.345543	0.587449
a9	0.000835757	0.00103678	0.0024981	0.0409418	0.311966	0.642721
a99	0.00451014	0.00611695	0.0100451	0.0695855	0.298463	0.61128
a87	0.0230532	0.0273888	0.0365747	0.183429	0.344733	0.384821
a23	0.066309	0.0830304	0.096149	0.200208	0.294247	0.260057
a97	0.0170449	0.0227319	0.0342555	0.147196	0.415983	0.362789
a27	0.0112749	0.0303191	0.0321763	0.0697676	0.31533	0.541132
</S>	0.0473814	0.071189	0.0687839	0.108425	0.323011	0.381209
