 	je	ne	veux	pas	dire	au-	revoir	à	ma	mère	</S>
a66	0.0481968	0.0469464	0.106999	0.306403	0.184849	0.166198	0.0942666	0.027412	0.0105197	0.0044688	0.00373997
a87	0.231047	0.124168	0.147087	0.171416	0.124555	0.128155	0.0421811	0.017862	0.00719034	0.0032727	0.00306518
a23	0.23265	0.123543	0.12653	0.140333	0.149666	0.15034	0.0337539	0.0216647	0.0109638	0.00527222	0.00528268
a83	0.194047	0.103626	0.0801502	0.123871	0.121649	0.258379	0.0495347	0.0350413	0.0160058	0.00880845	0.00888739
a31	0.137954	0.0998207	0.091112	0.17468	0.111722	0.202626	0.075566	0.0439291	0.0237421	0.0184892	0.0203581
a47	0.113295	0.125805	0.15241	0.201315	0.150514	0.170476	0.0584098	0.0183132	0.00622939	0.00198481	0.00124765
a31	0.123024	0.155363	0.178445	0.13206	0.130456	0.104659	0.0754356	0.0622464	0.0255457	0.0079619	0.00480337
a62	0.137579	0.150999	0.186779	0.114973	0.11483	0.103067	0.0672773	0.0696519	0.032606	0.0125403	0.0096975
a88	0.158987	0.166812	0.167414	0.098821	0.0986285	0.0986076	0.0585699	0.0637458	0.0400894	0.0246606	0.0236642
a75	0.101009	0.108679	0.119861	0.12247	0.113654	0.0995721	0.0893368	0.0804747	0.0524875	0.0506517	0.0618027
a56	0.0727801	0.084286	0.126003	0.157305	0.141354	0.117712	0.0857115	0.0605113	0.0378299	0.0487393	0.0677677
a75	0.0697383	0.0850115	0.118631	0.149886	0.148687	0.0964476	0.0843474	0.0630722	0.0412389	0.0589913	0.0839489
a85	0.0398063	0.0453052	0.0651922	0.0961122	0.0977956	0.0521121	0.0726275	0.100734	0.0961313	0.14332	0.190864
a92	0.0285831	0.0313217	0.0440418	0.0569468	0.0576662	0.0356403	0.0527537	0.107421	0.132808	0.192464	0.260353
a85	0.0213828	0.0218667	0.0303009	0.0555426	0.0525455	0.022675	0.0726506	0.135702	0.146425	0.19895	0.241959
a92	0.0096461	0.0100461	0.0120012	0.0254324	0.0248972	0.00878573	0.0662748	0.145664	0.157077	0.230256	0.309919
a56	0.00564901	0.00526673	0.00563798	0.0132332	0.0129284	0.00406485	0.0601712	0.130694	0.174999	0.272055	0.3153
a90	0.00271842	0.00229005	0.00255449	0.00509788	0.00502941	0.00229493	0.0289995	0.0786187	0.142613	0.312548	0.417236
a93	0.00066043	0.000541402	0.000545772	0.00107573	0.00108486	0.000414666	0.0210471	0.0763908	0.152904	0.311313	0.434022
a4	0.000483236	0.000373938	0.00035845	0.00048426	0.000502181	0.000122779	0.0045576	0.0343563	0.120269	0.319357	0.519135
a75	0.000372928	0.000260526	0.000239745	0.000276184	0.000309445	9.09686e-05	0.00180557	0.0150446	0.0739123	0.29569	0.611998
a47	0.000101942	7.56699e-05	7.95703e-05	9.50204e-05	0.000136182	3.59871e-05	0.00161726	0.018792	0.100014	0.296149	0.582904
a36	0.00011834	8.1719e-05	7.95636e-05	0.000106674	0.00010485	3.1232e-05	0.00199335	0.0206951	0.109548	0.318425	0.548816
a2	0.000809168	0.000593555	0.000525019	0.000558681	0.000711761	0.000163671	0.00520398	0.0324939	0.107133	0.307138	0.544669
a57	0.0329076	0.0220244	0.0229034	0.0169738	0.0273032	0.00847241	0.0393002	0.0728968	0.115296	0.245967	0.395955
a87	0.0794533	0.0437027	0.0626582	0.0669573	0.138938	0.0928505	0.0909646	0.0812137	0.0783198	0.107637	0.157305
a23	0.127317	0.0731464	0.065887	0.0623548	0.101377	0.0651461	0.141001	0.133325	0.0897714	0.0705099	0.070164
a97	0.0418051	0.0174591	0.0145912	0.00953922	0.0169686	0.0114578	0.0188496	0.0571237	0.12734	0.249606	0.43526
a99	0.0165112	0.00895065	0.00737538	0.00786714	0.0140219	0.0072991	0.0142662	0.0286002	0.0625261	0.226662	0.60592
a97	0.0133655	0.00862713	0.00703812	0.00723217	0.014299	0.00607842	0.0153993	0.0419099	0.0962768	0.249304	0.540469
a87	0.0188488	0.0126517	0.0127551	0.0175915	0.0266171	0.0143145	0.0201924	0.0314977	0.0662144	0.224876	0.554441
a97	0.0443701	0.0283939	0.0256349	0.0329788	0.0455085	0.0185536	0.0423651	0.0701119	0.0981189	0.189897	0.404067
</S>	0.0466375	0.032512	0.0381451	0.0464759	0.0684965	0.0399949	0.0428104	0.0555654	0.0836979	0.16861	0.377054
