 	apporte	moi	un	plant	de	palmier	</S>
a66	0.378813	0.272535	0.216831	0.0879081	0.0249379	0.0107481	0.00822731
a87	0.505234	0.175828	0.140668	0.0755581	0.0380908	0.0339058	0.0307154
a23	0.495349	0.170189	0.116981	0.0768467	0.0466824	0.0457452	0.0482063
a36	0.416346	0.134806	0.0717718	0.0528841	0.0595972	0.102423	0.162172
a37	0.202673	0.131498	0.1381	0.137704	0.136838	0.12583	0.127358
a54	0.191364	0.134853	0.186653	0.176721	0.137376	0.0944449	0.0785877
a15	0.102483	0.110502	0.159744	0.245584	0.221348	0.0998396	0.0604995
a79	0.101647	0.121656	0.156086	0.22808	0.212999	0.102523	0.0770085
a15	0.112092	0.131625	0.168974	0.213109	0.179501	0.106636	0.0880633
a69	0.101368	0.105651	0.134217	0.17717	0.208317	0.151722	0.121555
a53	0.124704	0.149798	0.173708	0.181485	0.153094	0.112142	0.10507
a4	0.127524	0.161909	0.179314	0.160574	0.133769	0.111237	0.125673
a96	0.106246	0.125326	0.129732	0.122157	0.130965	0.15208	0.233495
a88	0.0584799	0.0657257	0.0725465	0.0929398	0.150378	0.204005	0.355925
a71	0.031361	0.0340973	0.0334857	0.0528436	0.128099	0.239603	0.48051
a24	0.0397476	0.0492907	0.0367168	0.0378393	0.0800368	0.203963	0.552406
a18	0.0395681	0.0470034	0.0439533	0.0518089	0.102162	0.227769	0.487735
a27	0.0432849	0.0428998	0.0436812	0.0494134	0.0951243	0.207343	0.518254
a10	0.158561	0.111163	0.105319	0.0914074	0.102988	0.139502	0.291059
a87	0.26607	0.22685	0.174283	0.100177	0.0724476	0.0690212	0.0911508
a23	0.320035	0.259227	0.179865	0.103684	0.0513344	0.0385489	0.0473062
a87	0.218967	0.167664	0.0912603	0.0798181	0.0782638	0.126651	0.237375
</S>	0.052587	0.0312037	0.0172402	0.0235327	0.0676162	0.218212	0.589608
