 	il	a	atteint	la	bête	au	fusil	</S>
a23	0.433316	0.292608	0.138372	0.0455679	0.0185499	0.0166007	0.0229263	0.0320588
a87	0.394495	0.256419	0.143532	0.0767054	0.0367402	0.0288018	0.0264863	0.0368205
a23	0.201734	0.172398	0.153326	0.132798	0.096983	0.0775568	0.071387	0.0938163
a79	0.11418	0.070594	0.0563791	0.050382	0.064085	0.129191	0.184267	0.330922
a20	0.424205	0.251811	0.118737	0.0398029	0.0201179	0.0272884	0.0490928	0.068945
a44	0.298625	0.265889	0.2134	0.111382	0.0439453	0.0245602	0.0223079	0.0198903
a54	0.200967	0.228731	0.25054	0.188607	0.0636207	0.0280072	0.0211764	0.0183504
a73	0.158086	0.221352	0.266998	0.190561	0.0699584	0.0371153	0.0299242	0.0260045
a94	0.168719	0.22874	0.260514	0.189131	0.065555	0.0344986	0.02828	0.0245619
a75	0.139057	0.203695	0.266982	0.208618	0.0721372	0.039121	0.0364799	0.03391
a43	0.12008	0.170185	0.223065	0.187018	0.088718	0.0739401	0.0710527	0.0659418
a32	0.101205	0.14171	0.210695	0.200631	0.100507	0.083732	0.0811559	0.0803638
a11	0.111126	0.141335	0.212641	0.22319	0.104659	0.0702736	0.0651506	0.0716255
a93	0.0843059	0.108065	0.19079	0.253448	0.143371	0.0833537	0.0604669	0.0761987
a90	0.0823301	0.10294	0.172412	0.235076	0.147853	0.0990351	0.0734281	0.0869266
a75	0.0710879	0.082191	0.109043	0.126639	0.146967	0.155477	0.138769	0.169826
a73	0.0478343	0.0502717	0.0601748	0.0767855	0.139626	0.190143	0.198552	0.236613
a44	0.0537339	0.0530156	0.0582016	0.0591116	0.11347	0.194277	0.204108	0.264083
a15	0.0497168	0.0510322	0.0628541	0.0622183	0.111574	0.20752	0.195231	0.259854
a73	0.0608402	0.0519291	0.0531399	0.0496466	0.0841114	0.181797	0.219411	0.299125
a44	0.014842	0.0136596	0.01749	0.0200672	0.0551529	0.198619	0.27957	0.4006
a84	0.013391	0.0119907	0.0176621	0.0216784	0.050487	0.167731	0.261163	0.455896
a11	0.00442289	0.00298848	0.00341169	0.00475188	0.0166085	0.0977648	0.25823	0.611822
a90	0.00933001	0.00536894	0.00567263	0.00735934	0.0196582	0.0926087	0.246671	0.613331
a69	0.0104348	0.0067558	0.00730873	0.00827786	0.0220928	0.106992	0.253402	0.584736
a58	0.00651357	0.00431078	0.00504032	0.00649878	0.018469	0.0927909	0.241181	0.625196
a82	0.00354773	0.00205059	0.00195607	0.0026171	0.00979621	0.0718001	0.224409	0.683824
a87	0.00334964	0.00176036	0.0011683	0.00136924	0.00660271	0.0566509	0.211471	0.717628
</S>	0.00727204	0.00638126	0.00565869	0.00535067	0.0128927	0.0845432	0.259106	0.618795
