 	il	n'	y	a	pas	assez	de	travailleurs	pour	déplacer	cet	arbre	abattu	</S>
a23	0.192567	0.171303	0.130237	0.126088	0.0908041	0.0777395	0.0493734	0.0277267	0.016068	0.0146734	0.011418	0.0146756	0.03023	0.0470966
a87	0.2314	0.135708	0.100605	0.0898422	0.0573528	0.0470675	0.0431351	0.0326575	0.0271035	0.0234438	0.0276488	0.027937	0.0551796	0.100919
a23	0.11576	0.0890214	0.0731067	0.0724125	0.0473302	0.044081	0.0440989	0.0411366	0.0382111	0.0415137	0.0596205	0.0582586	0.104567	0.170882
a40	0.0711939	0.0650723	0.0524085	0.0443881	0.0292107	0.02718	0.0337661	0.0268832	0.0203033	0.0224531	0.049734	0.0622265	0.171753	0.323427
a73	0.418992	0.21292	0.106298	0.0682139	0.03489	0.0256339	0.0233072	0.0144241	0.00926485	0.0103455	0.0105519	0.0159285	0.0224973	0.0267325
a11	0.221419	0.201316	0.150834	0.139499	0.0843726	0.0647321	0.0477505	0.0235635	0.0143716	0.0122047	0.00863814	0.00956722	0.0114198	0.0103124
a20	0.170781	0.158429	0.132063	0.148817	0.111595	0.0909445	0.0638868	0.0322341	0.0261296	0.0172606	0.0106206	0.0106148	0.0126626	0.0139617
a73	0.100339	0.117501	0.110783	0.11644	0.106487	0.10136	0.0916449	0.0649683	0.0676319	0.0435259	0.0240177	0.0195253	0.0179228	0.0178532
a20	0.122321	0.13313	0.11995	0.126686	0.108231	0.0937615	0.081083	0.0612753	0.0561695	0.0378604	0.0180116	0.0145037	0.0130854	0.0139313
a73	0.0899319	0.103912	0.101276	0.10387	0.0985597	0.0967855	0.0938857	0.0770081	0.0836702	0.0577026	0.0313609	0.0237297	0.0194512	0.0188559
a20	0.0916379	0.111043	0.10723	0.115751	0.105579	0.0922474	0.085666	0.0754555	0.0688021	0.0473147	0.0283455	0.0237532	0.0217766	0.0253974
a73	0.0542769	0.078111	0.0918062	0.106673	0.108744	0.0986875	0.0937245	0.0853413	0.0870221	0.0594294	0.0370975	0.0310378	0.0296284	0.0384203
a44	0.0478126	0.0706043	0.0836281	0.0983753	0.105008	0.0950835	0.0904125	0.0871493	0.0889108	0.0631915	0.043693	0.0370916	0.0364658	0.0525736
a38	0.0446348	0.0635875	0.0826603	0.109691	0.116776	0.0986145	0.0899167	0.0872548	0.0796407	0.0545601	0.0410382	0.0372417	0.0382461	0.0561374
a73	0.0406626	0.0557853	0.0730757	0.104941	0.117203	0.0954098	0.0832718	0.0849642	0.075248	0.0552842	0.0458997	0.045064	0.0476765	0.0755142
a41	0.0310639	0.0484124	0.0693702	0.100224	0.113354	0.101479	0.0869945	0.087806	0.0819766	0.0548581	0.0472546	0.0449858	0.0501184	0.0821022
a24	0.0251351	0.0353466	0.0476473	0.0685175	0.0867514	0.0973505	0.0834888	0.0924371	0.0987878	0.0696697	0.070843	0.0630856	0.0655755	0.0953643
