 	cet	endroit	où	nous	avons	l'	habitude	de	tendre	des	filets	de	chasse	est	toujours	giboyeux	</S>
a84	0.071192	0.071877	0.0681257	0.0673168	0.0726572	0.0825484	0.0639957	0.0763921	0.0704936	0.0716265	0.0586834	0.0773853	0.079211	0.0429604	0.0133174	0.00763214	0.00458529
a10	0.241819	0.138979	0.105347	0.0848557	0.0764544	0.0782146	0.0645441	0.0446188	0.0256117	0.0246571	0.0319863	0.02245	0.0207262	0.0117207	0.0100949	0.0098019	0.00811804
a87	0.18933	0.102372	0.095254	0.105562	0.0971681	0.0897734	0.0639303	0.0454567	0.0312291	0.0259976	0.0338194	0.0339772	0.0333767	0.0209012	0.013214	0.010583	0.00805555
a23	0.174092	0.0943752	0.0894512	0.104445	0.0922043	0.0903753	0.0595132	0.0391246	0.0264655	0.0260339	0.0393173	0.0443296	0.048023	0.0301302	0.0176508	0.0141586	0.0103104
a12	0.112932	0.0555485	0.0736383	0.119357	0.119137	0.108186	0.0782751	0.0526186	0.0379185	0.0298196	0.0338662	0.0317575	0.0391645	0.0326886	0.0305801	0.0270728	0.0174399
a62	0.145136	0.129081	0.112587	0.111307	0.0943832	0.0883267	0.0687149	0.069543	0.0463738	0.0317598	0.0218471	0.0204824	0.0232596	0.0165371	0.00940747	0.00649271	0.00476082
a75	0.0973634	0.113603	0.138888	0.138102	0.126551	0.085766	0.075736	0.0552003	0.0366387	0.0278159	0.0264713	0.0209313	0.0228102	0.0154245	0.0103491	0.00586513	0.00248422
a85	0.0827144	0.10369	0.119783	0.123373	0.122322	0.0765002	0.0821046	0.0620425	0.0542403	0.0351631	0.0213322	0.0230436	0.0295641	0.0278752	0.0215311	0.0114883	0.00323214
a92	0.032304	0.0513844	0.0845701	0.117667	0.107613	0.0690435	0.0853684	0.0666271	0.0696027	0.0537589	0.0418584	0.0404046	0.0394588	0.0376419	0.042928	0.0329993	0.0267697
a37	0.0520156	0.0648767	0.0981512	0.12511	0.117493	0.0789901	0.0863068	0.0696496	0.0661975	0.0480299	0.0422517	0.0376244	0.0342393	0.0250529	0.0227223	0.0162073	0.0150815
a61	0.0473469	0.0583066	0.0818607	0.103437	0.113428	0.0924777	0.089418	0.0820752	0.0819794	0.061251	0.0469002	0.0495799	0.0385058	0.0223754	0.0124987	0.00950375	0.00905616
a62	0.032173	0.0376956	0.0625713	0.0900897	0.107167	0.0934527	0.0873111	0.0872391	0.0865399	0.0677352	0.0517809	0.064487	0.0513162	0.0328207	0.0188102	0.0141097	0.0147007
a18	0.012057	0.0136464	0.0271343	0.0528832	0.0770512	0.0798315	0.0728043	0.0760288	0.0885642	0.0803789	0.0644085	0.109423	0.0963376	0.0662381	0.0355839	0.024929	0.0227003
a62	0.00951376	0.0090752	0.0134913	0.0235101	0.0410086	0.0496626	0.0399232	0.0474793	0.0730596	0.0689372	0.0639295	0.114152	0.116447	0.111628	0.0798209	0.066079	0.0722824
a21	0.00642555	0.00669434	0.0108031	0.0215131	0.0337866	0.0356478	0.0295329	0.0358293	0.0576657	0.0629861	0.0672004	0.143485	0.15748	0.137626	0.0855419	0.0571411	0.050641
a12	0.00766629	0.00793363	0.0107232	0.0149155	0.0168235	0.0189241	0.017774	0.0254206	0.0364715	0.0391327	0.055185	0.10015	0.120371	0.137918	0.133658	0.112962	0.143972
a96	0.00481376	0.00522162	0.00657695	0.00946982	0.0113374	0.0119811	0.0104034	0.0141611	0.0228857	0.0257549	0.0410401	0.0807237	0.110855	0.161565	0.171136	0.147738	0.164338
a88	0.00397931	0.00409176	0.00603606	0.00985535	0.0123794	0.0129414	0.0104636	0.0136866	0.0230807	0.0266115	0.0404746	0.0789749	0.113957	0.16865	0.170879	0.152338	0.1516
a50	0.00371628	0.00393579	0.00523543	0.00722561	0.0104662	0.0108945	0.00806096	0.00948744	0.018553	0.0224639	0.0294623	0.0572027	0.0836932	0.132931	0.142511	0.197293	0.256867
a62	0.00330656	0.00370427	0.00546708	0.00722357	0.00996717	0.0104911	0.00795319	0.00901144	0.0160279	0.0189894	0.0215777	0.0394407	0.0518161	0.0797982	0.097357	0.203269	0.4146
a21	0.00407467	0.00484312	0.00647808	0.0065567	0.00850409	0.00918792	0.00732323	0.00865476	0.0168416	0.0200152	0.0195284	0.0352997	0.0472146	0.0705214	0.0931724	0.211215	0.430569
a85	0.00180181	0.00168853	0.00176419	0.00211358	0.00260846	0.00301467	0.00287901	0.00331195	0.0048121	0.00548931	0.0077262	0.0125318	0.0197004	0.0496689	0.120238	0.304324	0.456327
a6	0.000397207	0.000331414	0.000373508	0.000608244	0.000840525	0.00113938	0.00109225	0.00144313	0.003002	0.00327867	0.0046258	0.00720151	0.0109226	0.0339132	0.12271	0.286625	0.521496
a37	0.000421217	0.000320942	0.00041204	0.000839443	0.00126094	0.00170891	0.00172964	0.00193883	0.00319383	0.00323981	0.0055829	0.0068166	0.00982102	0.0318917	0.115262	0.247008	0.568552
