 	fais-moi	sécher	ces	poissons	</S>
a30	0.416559	0.179124	0.132591	0.122946	0.14878
a38	0.314327	0.278798	0.19645	0.127715	0.0827111
a47	0.411701	0.233111	0.141241	0.105198	0.10875
a61	0.498245	0.175528	0.110069	0.0934285	0.122729
a47	0.691627	0.138278	0.0821643	0.0480005	0.0399297
a31	0.592422	0.167097	0.109444	0.0735891	0.0574471
a75	0.559308	0.187466	0.135957	0.0742717	0.0429973
a85	0.557844	0.168701	0.123799	0.0799219	0.0697337
a6	0.368962	0.193849	0.174164	0.137084	0.12594
a85	0.266108	0.167143	0.181393	0.169563	0.215793
a0	0.131037	0.133363	0.185981	0.240631	0.308988
a21	0.0892817	0.10974	0.174457	0.25455	0.371972
a96	0.0653393	0.0999456	0.171985	0.258993	0.403737
a21	0.0274358	0.0499789	0.115532	0.25393	0.553123
a12	0.0283558	0.0555822	0.122485	0.24699	0.546588
a18	0.0109633	0.0257813	0.0782213	0.246625	0.638408
a71	0.0067623	0.0172659	0.0540303	0.177302	0.744639
a3	0.018341	0.0368394	0.0835573	0.186471	0.674792
a97	0.151699	0.180029	0.19318	0.190213	0.284879
a9	0.169248	0.183855	0.213405	0.197638	0.235854
a10	0.0983049	0.122046	0.19687	0.260906	0.321873
</S>	0.0441967	0.0621115	0.129616	0.261314	0.502763
