 	c'	est	vraiment	toi	qui	s'	espionne	</S>
a87	0.199436	0.234951	0.288501	0.149073	0.063503	0.0322884	0.0208369	0.0114107
a23	0.285795	0.292387	0.186259	0.0887552	0.0564858	0.042294	0.019328	0.0286963
a87	0.148293	0.134596	0.119466	0.138144	0.155629	0.189621	0.0649027	0.0493472
a23	0.152546	0.144596	0.133701	0.136337	0.166488	0.18792	0.0509086	0.0275035
a79	0.226753	0.231955	0.244546	0.136435	0.0908468	0.0370992	0.0171705	0.0151941
a90	0.230157	0.226353	0.203638	0.10429	0.0822169	0.0589815	0.045448	0.0489152
a92	0.236863	0.159822	0.140212	0.116364	0.122279	0.107073	0.0683581	0.0490282
a21	0.110655	0.0778533	0.0924783	0.154209	0.221581	0.193441	0.0951437	0.054639
a12	0.0989608	0.0902264	0.115903	0.195282	0.220507	0.168985	0.0738177	0.0363175
a62	0.0659382	0.0459003	0.0443076	0.093601	0.200329	0.314172	0.161486	0.0742657
a31	0.0656946	0.0508162	0.0412965	0.0615048	0.160511	0.300662	0.233012	0.0865029
a0	0.0478028	0.0409613	0.0341102	0.0443376	0.10465	0.225101	0.377916	0.12512
a62	0.0307418	0.0281818	0.0244054	0.0300192	0.0631783	0.204539	0.419202	0.199733
a61	0.0209927	0.0166246	0.01406	0.018751	0.0379523	0.135828	0.440453	0.315339
a21	0.0119509	0.00859038	0.00728353	0.00901949	0.0190822	0.0874899	0.454949	0.401634
a5	0.00653715	0.00417495	0.00302674	0.00416935	0.00935552	0.0423474	0.379783	0.550606
a61	0.00468534	0.00321803	0.00219189	0.00335773	0.00651978	0.0263407	0.310667	0.64302
a37	0.00345404	0.00292368	0.00288833	0.00793974	0.0200837	0.0709785	0.30669	0.585041
a18	0.00408168	0.00369973	0.00369343	0.00969455	0.0232138	0.0813159	0.270915	0.603386
a25	0.023201	0.0186022	0.0122792	0.0134975	0.0167826	0.0477976	0.19806	0.66978
a99	0.0451388	0.0397684	0.0424825	0.0433583	0.0458708	0.0667354	0.180689	0.535957
a87	0.0569154	0.0512123	0.0588233	0.0370106	0.0351704	0.0506762	0.183938	0.526254
a23	0.128835	0.116546	0.123402	0.0758381	0.0715369	0.0691511	0.12402	0.290671
a87	0.0239866	0.0141027	0.00858609	0.00811662	0.0126944	0.0249716	0.142027	0.765515
</S>	0.0126415	0.0106966	0.00974032	0.00959748	0.0124816	0.0272722	0.159369	0.758202
