 	donne-le	moi	tout	de	suite	autrement	tu	seras	puni	</S>
a23	0.494022	0.170182	0.0532167	0.0294339	0.0285867	0.0178667	0.0237946	0.0408692	0.0431129	0.098915
a41	0.427655	0.223526	0.0913561	0.0380122	0.039131	0.0190507	0.0248517	0.0363798	0.0457199	0.0543179
a94	0.470003	0.288064	0.0971453	0.0356131	0.0269894	0.0145313	0.0135284	0.0143078	0.017862	0.0219557
a98	0.44194	0.306707	0.120377	0.042408	0.0281916	0.01583	0.01109	0.00963499	0.0115287	0.0122923
a73	0.210275	0.233432	0.171805	0.101269	0.087442	0.0610295	0.0376833	0.0300415	0.0347047	0.0323186
a94	0.171264	0.200248	0.183358	0.111738	0.0978866	0.0808099	0.0442287	0.0350168	0.0388846	0.0365652
a20	0.115751	0.164376	0.201844	0.129197	0.111775	0.0887547	0.0491052	0.040872	0.0490606	0.0492637
a73	0.0858833	0.114748	0.172334	0.130185	0.120029	0.0940223	0.0704293	0.0640998	0.0756186	0.0726502
a90	0.0660981	0.085386	0.137769	0.11245	0.109396	0.0987853	0.0949343	0.0922438	0.102592	0.100345
a58	0.0466636	0.0704774	0.115685	0.0952573	0.103667	0.100061	0.102648	0.109804	0.126763	0.128974
a82	0.0352107	0.0541469	0.0974018	0.089232	0.0873328	0.0939066	0.118851	0.132518	0.146145	0.145255
a53	0.0235725	0.0400302	0.0932454	0.102896	0.124925	0.0879333	0.0948038	0.108409	0.149228	0.174957
a69	0.0186683	0.0255211	0.0470329	0.0611724	0.0883299	0.0744653	0.0822991	0.112313	0.193223	0.296975
a90	0.0171042	0.0260869	0.0443136	0.0573772	0.0733632	0.0687589	0.0896718	0.13104	0.199965	0.29232
a69	0.0254819	0.0353791	0.0546224	0.067015	0.0847063	0.0793995	0.090512	0.121919	0.185558	0.255407
a4	0.0254073	0.0315245	0.0403386	0.0486141	0.0630773	0.066141	0.0838492	0.124872	0.201993	0.314183
a57	0.0165222	0.0226298	0.0329033	0.0481812	0.0666237	0.0749441	0.0989643	0.134424	0.206002	0.298805
a82	0.00954848	0.0114982	0.0159306	0.0228107	0.0359274	0.0397901	0.0798819	0.142697	0.24055	0.401365
a87	0.0105075	0.00917711	0.00940522	0.00941293	0.0190188	0.0226632	0.054778	0.126757	0.239008	0.499271
a79	0.00642332	0.00497644	0.00395682	0.00349706	0.00685885	0.00728315	0.0278883	0.0979911	0.236041	0.605084
a20	0.0229466	0.0153679	0.00975573	0.00689593	0.00955599	0.015234	0.0499564	0.142149	0.22933	0.498808
a84	0.00692814	0.00595557	0.00696215	0.0104041	0.0156854	0.020672	0.0649256	0.173164	0.229069	0.466233
a40	0.00281482	0.00252159	0.00401539	0.00578513	0.0103197	0.0133841	0.0460712	0.134126	0.237409	0.543553
a54	0.0102913	0.00835606	0.00870043	0.0115931	0.0196818	0.0241254	0.0604633	0.158958	0.250446	0.447384
a73	0.012869	0.0121776	0.0122692	0.0157488	0.0233332	0.0287799	0.0638083	0.164161	0.229633	0.437221
a94	0.00785206	0.0100423	0.0138432	0.0201945	0.0322566	0.0357026	0.0734368	0.167317	0.241765	0.397591
a98	0.00666435	0.00761652	0.00995573	0.0123115	0.0200384	0.0229264	0.0543323	0.146362	0.243933	0.47586
a71	0.0078532	0.00867493	0.0100933	0.0125886	0.0208212	0.0250497	0.0737801	0.191503	0.252677	0.39696
a3	0.00400408	0.00462994	0.00692272	0.00786385	0.0124121	0.0145529	0.0382081	0.121527	0.227666	0.562213
a79	0.00146011	0.0012843	0.0015495	0.0020431	0.00411947	0.00629994	0.0315688	0.120776	0.228765	0.602134
a90	0.00290603	0.00274686	0.00280422	0.00326306	0.00562089	0.00741842	0.0365865	0.144996	0.234851	0.558807
a79	0.00847886	0.00785795	0.00780436	0.00847332	0.011887	0.0138883	0.0453516	0.155575	0.234535	0.506149
a98	0.00639013	0.00634713	0.00685451	0.00707526	0.00976977	0.0106474	0.033723	0.123621	0.219085	0.576487
a79	0.00731556	0.00763318	0.00748995	0.00740063	0.0107039	0.0118191	0.0462604	0.160176	0.228138	0.513063
a94	0.0120019	0.0124553	0.0120089	0.0125017	0.017717	0.0184795	0.0547217	0.17154	0.237285	0.451289
a76	0.00849796	0.00857185	0.00856702	0.00681886	0.00925579	0.00929482	0.0264116	0.1011	0.198247	0.623235
a94	0.0107695	0.00990518	0.00921858	0.00816249	0.0124055	0.0150296	0.0596092	0.168058	0.221791	0.485051
a13	0.00636735	0.00614217	0.0066529	0.00606966	0.00854694	0.00919602	0.0294723	0.111969	0.201354	0.61423
a98	0.00535761	0.00486744	0.00401961	0.003116	0.00440908	0.00553586	0.0278788	0.11935	0.197968	0.627498
a25	0.00810818	0.00768644	0.00598401	0.00441971	0.00638486	0.00756477	0.0331452	0.131753	0.206453	0.588501
a90	0.00715733	0.00724504	0.00568087	0.00394677	0.00507469	0.00662129	0.0335681	0.118184	0.199272	0.61325
a13	0.0055191	0.00469041	0.00444721	0.0045462	0.00602381	0.00826828	0.0339187	0.128438	0.214644	0.589504
a82	0.00961072	0.00929636	0.00713857	0.00511134	0.00621641	0.0076809	0.0367786	0.128497	0.20369	0.58598
a87	0.00366648	0.00366387	0.00303218	0.00230418	0.00341463	0.00530925	0.029968	0.115506	0.202607	0.630529
</S>	0.00494995	0.00430135	0.00272943	0.00145201	0.00185599	0.00376749	0.0296698	0.110597	0.234721	0.605956
