 	cette	manière	de	tenir	le	fil	fatigue	les	mains	</S>
a66	0.329635	0.156386	0.0959106	0.0570843	0.0549664	0.0779252	0.0817576	0.0594674	0.0457472	0.0411194
a87	0.637103	0.180263	0.0841386	0.0397814	0.0166871	0.0119332	0.00992958	0.00680187	0.00638862	0.00697301
a23	0.423573	0.174499	0.121864	0.0711341	0.0234261	0.0232355	0.0320047	0.0354618	0.0450749	0.0497271
a79	0.19333	0.1627	0.147537	0.203253	0.0583331	0.0472702	0.0483881	0.0426628	0.0435027	0.0530234
a5	0.218368	0.231502	0.185953	0.114749	0.0287468	0.0203336	0.0252304	0.0370681	0.0629658	0.0750828
a23	0.206362	0.182224	0.211745	0.153253	0.08555	0.0545139	0.033855	0.0243446	0.023439	0.0247139
a85	0.219946	0.190474	0.22941	0.179843	0.0940772	0.045645	0.017699	0.00903919	0.00673186	0.00713546
a5	0.0960346	0.104755	0.222885	0.262896	0.153115	0.0701297	0.0342185	0.0196546	0.0155872	0.0207242
a12	0.0624343	0.103542	0.200483	0.322964	0.157317	0.0761462	0.0329587	0.0162886	0.0135211	0.0143456
a21	0.0624416	0.108351	0.186112	0.294973	0.147244	0.0833703	0.0421487	0.0251204	0.0235629	0.0266757
a5	0.0472834	0.0809608	0.157726	0.247204	0.161998	0.105218	0.063704	0.0452754	0.0430715	0.0475584
a0	0.0155181	0.0341787	0.0727005	0.142045	0.183985	0.156172	0.115242	0.0903684	0.0900922	0.0996985
a61	0.0121691	0.0203873	0.0379428	0.0931694	0.197733	0.228377	0.135404	0.0889771	0.0901571	0.095683
a96	0.00906517	0.0121375	0.0198618	0.0500588	0.117552	0.242168	0.213008	0.130611	0.10882	0.0967171
a21	0.00637042	0.00641759	0.0103592	0.036868	0.0795238	0.207218	0.230779	0.157054	0.140403	0.125007
a5	0.00557917	0.005681	0.00861994	0.0199889	0.0486581	0.155555	0.234391	0.192839	0.179254	0.149434
a25	0.00288451	0.0028839	0.00553315	0.0195295	0.050256	0.127556	0.186831	0.186792	0.212853	0.204881
a79	0.000993887	0.000999754	0.00179695	0.00651817	0.0160538	0.0589791	0.146251	0.219037	0.294756	0.254614
a56	0.000611184	0.000832006	0.00146385	0.00403869	0.00932169	0.0319037	0.0929925	0.186625	0.352388	0.319824
a98	0.000558581	0.000399335	0.000647461	0.00164999	0.00449047	0.0204678	0.077901	0.163152	0.33589	0.394843
a47	0.000123478	0.000225693	0.000479634	0.00161456	0.00338507	0.0125649	0.0465915	0.127709	0.346686	0.46062
a25	0.000183834	0.000285037	0.000660424	0.00240638	0.00589	0.0202985	0.0583544	0.137479	0.357924	0.416518
a69	0.00027948	0.000249247	0.000499311	0.00174823	0.00405797	0.0174587	0.048514	0.108493	0.331746	0.486954
a58	0.000301852	0.00035454	0.000614662	0.00170556	0.00322482	0.0116553	0.0358173	0.0988397	0.335064	0.512423
a57	0.00114115	0.000946142	0.00154505	0.00265597	0.00642955	0.0174882	0.0371967	0.0925111	0.286448	0.553638
a3	0.0534173	0.0253595	0.0277363	0.0354342	0.0524719	0.0610024	0.0745101	0.120155	0.244996	0.304917
a97	0.211135	0.0843384	0.0490639	0.043714	0.0440343	0.0454187	0.0658192	0.112443	0.185849	0.158186
a87	0.189267	0.086784	0.0532845	0.0431961	0.0456942	0.061042	0.0955705	0.130572	0.170826	0.123764
a23	0.163643	0.0747008	0.0518953	0.0397147	0.045398	0.0698474	0.0969003	0.126352	0.181923	0.149625
a87	0.02291	0.0117412	0.00884571	0.0136568	0.0173938	0.0363127	0.0876706	0.135872	0.256641	0.408956
a97	0.0212191	0.0126794	0.0133214	0.0152032	0.021506	0.0361249	0.0796602	0.124987	0.245779	0.42952
a3	0.0394962	0.0220229	0.0196778	0.0196532	0.0268491	0.0426789	0.0896947	0.124483	0.230642	0.384803
</S>	0.116272	0.0589282	0.0448563	0.0389317	0.0467918	0.0601017	0.0950408	0.118168	0.184742	0.236167
