 	l'	enfant	a	sali	son	habit	avec	l'	huile	de	palme	</S>
a66	0.180997	0.152731	0.146189	0.141829	0.112045	0.102133	0.080522	0.0432025	0.0182897	0.00961997	0.00675902	0.00568322
a87	0.104961	0.0887301	0.107851	0.155841	0.143627	0.113428	0.0826774	0.0523607	0.037058	0.035567	0.0387661	0.0391316
a97	0.198742	0.122691	0.110472	0.10563	0.0906495	0.0838326	0.0613716	0.0470308	0.0368071	0.0414636	0.0451009	0.0562079
a87	0.179757	0.12983	0.127293	0.130654	0.0977099	0.0863383	0.0630614	0.0468433	0.0364732	0.0350384	0.0332066	0.0337954
a10	0.183098	0.12941	0.125937	0.123173	0.0928042	0.0881895	0.0649852	0.0492603	0.0392606	0.0370101	0.0339911	0.0328814
a97	0.199751	0.1257	0.122598	0.0858104	0.0601838	0.0728808	0.0663758	0.0591691	0.056008	0.0539519	0.0514815	0.0460896
a87	0.171585	0.115596	0.121411	0.0740825	0.0514559	0.0699487	0.0740294	0.0717968	0.0724282	0.0683624	0.0622722	0.0470318
a97	0.176436	0.119266	0.125134	0.0766106	0.0516007	0.0642473	0.0660386	0.0668926	0.0703199	0.0681228	0.0649073	0.0504237
a38	0.193346	0.12547	0.112416	0.0612584	0.0408501	0.0508037	0.0544201	0.0615557	0.0708738	0.0763764	0.0831964	0.0694343
a44	0.202477	0.116501	0.106413	0.0471366	0.0457857	0.0653298	0.0787466	0.0901771	0.0731196	0.0644772	0.0593985	0.0504382
a90	0.292255	0.188194	0.156317	0.080491	0.0476517	0.0367117	0.0348559	0.0341872	0.0284825	0.0287739	0.0332916	0.0387888
a98	0.208099	0.152488	0.140338	0.109752	0.0745437	0.0482881	0.0384106	0.0368329	0.036035	0.0412307	0.0502733	0.063709
a47	0.114946	0.128042	0.154958	0.149085	0.106328	0.0626506	0.043146	0.0369182	0.0359169	0.0433947	0.0532127	0.0714021
a85	0.104117	0.117285	0.158853	0.172895	0.115138	0.0647465	0.0409417	0.0320181	0.0306887	0.0367382	0.0492877	0.0772919
a92	0.0998335	0.112705	0.162825	0.198243	0.131512	0.0707778	0.0385361	0.0259801	0.0235351	0.0284369	0.0410548	0.066561
a37	0.107567	0.121434	0.160956	0.201627	0.134934	0.0782702	0.0453428	0.0276889	0.0214218	0.0231718	0.0317772	0.0458093
