 	le	dépécage	d'	un	éléphant	était	un	grand	événement	à	mbonga	</S>
a66	0.321015	0.156703	0.0782835	0.0622922	0.0463056	0.0528711	0.0784736	0.0827064	0.0622854	0.0275167	0.0146427	0.0169051
a87	0.190136	0.135789	0.173982	0.155166	0.0873674	0.0455543	0.0489875	0.0602307	0.0524208	0.02694	0.0111217	0.0123052
a23	0.284087	0.255064	0.172741	0.108084	0.0551182	0.0299787	0.0250418	0.0276676	0.0192994	0.0112776	0.0056526	0.00598804
a10	0.257409	0.279667	0.150332	0.083282	0.0501405	0.0346169	0.0257597	0.0362967	0.0306677	0.0247588	0.0160161	0.0110544
a87	0.316468	0.248073	0.115743	0.0734026	0.0475053	0.0389425	0.0329223	0.0343765	0.0285291	0.0259978	0.0218921	0.016147
a23	0.370122	0.268896	0.106697	0.0627597	0.0358624	0.0264292	0.0235369	0.02735	0.02239	0.0216127	0.0200147	0.0143295
a71	0.377482	0.262815	0.0890815	0.0493703	0.0331311	0.0289327	0.0252713	0.0239041	0.024979	0.0289804	0.0343458	0.0217063
a9	0.269986	0.208599	0.131732	0.0995176	0.0783077	0.0720009	0.0443498	0.0222685	0.0199119	0.0208552	0.022128	0.0103441
a38	0.238996	0.192079	0.124536	0.103212	0.0884574	0.0878513	0.0526998	0.0258865	0.021614	0.0231575	0.0281378	0.0133726
a21	0.134749	0.170077	0.154516	0.137306	0.133369	0.0993325	0.0525422	0.0272198	0.0227922	0.0220093	0.0311669	0.0149192
a41	0.0646225	0.124385	0.175472	0.170808	0.189584	0.136234	0.0695108	0.0294778	0.0136881	0.0088969	0.0108837	0.00643687
a21	0.0241583	0.0538648	0.10887	0.133484	0.172755	0.176399	0.144166	0.0782757	0.0363469	0.0236617	0.0314425	0.0165766
a12	0.0399112	0.069533	0.114908	0.119289	0.150421	0.168449	0.134628	0.0814001	0.0419455	0.0240347	0.0274194	0.0280619
a21	0.0197857	0.0335644	0.0648545	0.0843016	0.112579	0.173007	0.175544	0.126912	0.0719306	0.0391959	0.0467268	0.0515976
a5	0.0089926	0.0173616	0.0323382	0.0523687	0.0838213	0.174626	0.202228	0.152599	0.0842492	0.0506041	0.0630885	0.0777232
a75	0.00981041	0.017042	0.0251473	0.0348681	0.0525881	0.128858	0.190349	0.168253	0.110681	0.071653	0.086711	0.104039
a5	0.00449544	0.00548789	0.00860083	0.015497	0.0313719	0.0841007	0.144403	0.144125	0.13386	0.106808	0.149217	0.172033
a56	0.00924655	0.0108843	0.0153506	0.0231898	0.0352137	0.0939232	0.170699	0.199321	0.137605	0.0885406	0.0999919	0.116035
a44	0.00690752	0.00803003	0.010208	0.0152205	0.0227194	0.0685089	0.150131	0.207949	0.160353	0.10474	0.114434	0.130798
a4	0.00358415	0.00418205	0.00604899	0.010255	0.0143305	0.0415498	0.117496	0.197052	0.168997	0.119696	0.132266	0.184542
a38	0.00303526	0.00330407	0.0046308	0.00781551	0.0101008	0.0261865	0.0813485	0.170482	0.163101	0.133087	0.142441	0.254467
a94	0.00127236	0.00132568	0.0017956	0.00309494	0.00421397	0.0112193	0.0385303	0.113463	0.14947	0.153115	0.167619	0.354881
a4	0.00109681	0.00102438	0.00129597	0.00222527	0.00287593	0.00597147	0.0202716	0.0736918	0.123592	0.155379	0.18754	0.425036
a44	0.000533404	0.000481303	0.000619337	0.0012824	0.00185503	0.00465668	0.0172182	0.0528684	0.0931479	0.152024	0.203389	0.471925
a11	0.000409796	0.000343251	0.000463076	0.00108797	0.00159143	0.00398524	0.0135308	0.0365357	0.0736029	0.154842	0.203844	0.509764
a54	0.000486564	0.000394519	0.000463117	0.001096	0.00135075	0.00239319	0.00693081	0.017393	0.0508872	0.15958	0.184529	0.574496
a44	8.8771e-05	7.21192e-05	0.000129952	0.000375612	0.000680086	0.00154338	0.00589747	0.0184067	0.0557793	0.175433	0.239092	0.502501
a4	6.91866e-05	4.89208e-05	0.000109877	0.000328805	0.00049498	0.000858064	0.00302568	0.00850558	0.0336683	0.12907	0.202068	0.621753
a57	0.000111701	7.73096e-05	0.000224226	0.000762942	0.0011797	0.00214795	0.00597712	0.0135393	0.0407289	0.130223	0.215294	0.589734
a84	9.71008e-05	5.78655e-05	0.000134578	0.000373028	0.000508836	0.000756881	0.00194747	0.00557549	0.0193115	0.0790729	0.159363	0.732802
a57	0.00224512	0.00114817	0.00197329	0.00307044	0.00316933	0.00290188	0.00377981	0.00539979	0.0115861	0.0357779	0.106218	0.82273
a87	0.0384858	0.0261447	0.0183213	0.0176679	0.0143477	0.0120018	0.014174	0.0200568	0.0285462	0.0584336	0.125159	0.626661
a23	0.134968	0.112444	0.0820924	0.0594765	0.0374568	0.0245473	0.0269939	0.0405903	0.0482102	0.076958	0.10713	0.249132
a87	0.056917	0.0377591	0.0456842	0.0474489	0.0411998	0.0371849	0.0494027	0.087444	0.0972588	0.15149	0.148824	0.199387
</S>	0.0109751	0.00986517	0.0173374	0.0251367	0.0302822	0.0299945	0.0426296	0.0797375	0.108244	0.197203	0.197845	0.25075
