 	elle	baigna	son	enfant	</S>
a23	0.607494	0.169305	0.0659755	0.0616932	0.0955329
a79	0.433808	0.190776	0.146474	0.118499	0.110443
a15	0.259342	0.319299	0.205083	0.117045	0.0992315
a73	0.256594	0.438752	0.198527	0.0653659	0.0407598
a84	0.317548	0.417574	0.158145	0.0644145	0.0423187
a11	0.197419	0.346857	0.206552	0.134854	0.114318
a90	0.175768	0.286159	0.210636	0.158047	0.16939
a94	0.139748	0.184217	0.218474	0.220367	0.237194
a90	0.0860385	0.125965	0.225651	0.275862	0.286485
a32	0.0685471	0.112343	0.227988	0.287663	0.303459
a90	0.0452725	0.0807788	0.156618	0.306461	0.410869
a94	0.044283	0.0861944	0.197193	0.31136	0.360969
a76	0.0197887	0.0424917	0.0989133	0.255728	0.583079
a73	0.0231313	0.0585795	0.129135	0.276727	0.512428
a94	0.0126456	0.0326855	0.104454	0.279216	0.570999
a76	0.0186646	0.0459099	0.106159	0.25136	0.577907
a69	0.020757	0.0559097	0.123706	0.259141	0.540486
a84	0.0152093	0.0383127	0.111981	0.244606	0.589891
a87	0.00332372	0.0139931	0.0699642	0.221583	0.691136
</S>	0.00607762	0.0313983	0.0726066	0.200447	0.68947
