 	il	s'	est	battu	avec	son	meilleur	ami	</S>
a23	0.286797	0.229875	0.113823	0.0813932	0.0585158	0.0560155	0.054237	0.0603194	0.0590244
a79	0.346733	0.191157	0.118822	0.095379	0.077838	0.0472375	0.0391866	0.0407654	0.0428804
a20	0.408469	0.270339	0.107375	0.0647063	0.0473916	0.0248216	0.0210142	0.0254352	0.0304488
a73	0.40846	0.34071	0.110626	0.0547055	0.0350465	0.0160758	0.012575	0.0113936	0.0104079
a58	0.275671	0.285488	0.16685	0.11805	0.0789062	0.0340978	0.017766	0.0124564	0.0107145
a53	0.18745	0.207393	0.184797	0.16788	0.112528	0.0486271	0.0331838	0.0290947	0.0290464
a4	0.126676	0.161264	0.163158	0.155924	0.12247	0.0680625	0.0581442	0.0657184	0.0785825
a90	0.106886	0.13357	0.157791	0.145743	0.104678	0.0713021	0.0719275	0.0914481	0.116654
a13	0.123668	0.146917	0.173507	0.162196	0.11716	0.0776968	0.0668335	0.0644288	0.0675931
a98	0.0890811	0.0903862	0.121186	0.143183	0.1198	0.0784558	0.0809129	0.11834	0.158656
a73	0.100616	0.0982389	0.120014	0.14256	0.128419	0.0943589	0.0848518	0.104628	0.126314
a15	0.107073	0.100216	0.110491	0.121581	0.121808	0.0956894	0.0892151	0.114322	0.139605
a73	0.0711492	0.0672713	0.0790295	0.0982695	0.120186	0.11409	0.114311	0.147229	0.188465
a94	0.0913274	0.0845464	0.0902772	0.0987093	0.118308	0.108636	0.102302	0.132004	0.173889
a38	0.0778697	0.0749169	0.0803713	0.0770218	0.0870559	0.0966451	0.108634	0.166965	0.230521
a53	0.0772887	0.0656802	0.0609322	0.0508493	0.056379	0.0755702	0.110897	0.204519	0.297884
a15	0.0532225	0.0500752	0.0494197	0.0431252	0.0520066	0.0790826	0.12993	0.228679	0.31446
a73	0.0339228	0.0305586	0.0315597	0.0274575	0.0340272	0.060274	0.128813	0.268099	0.385288
a69	0.0304938	0.0230928	0.0231427	0.0205457	0.0262113	0.0403842	0.0945286	0.25605	0.485551
a84	0.0465663	0.0373135	0.0360812	0.0310163	0.0351307	0.0439807	0.0894103	0.230999	0.449502
a87	0.02005	0.0153116	0.0129189	0.0113695	0.0153018	0.023304	0.0711859	0.25473	0.575828
</S>	0.0188828	0.0136869	0.00911365	0.0062864	0.00926528	0.0257636	0.109176	0.304412	0.503413
