 	il	a	accepté	le	vêtement	que	je	lui	ai	donné	</S>
a23	0.39844	0.247794	0.0994412	0.0500372	0.033961	0.0188179	0.0197484	0.0195341	0.0290896	0.0405509	0.0425852
a53	0.246264	0.109752	0.0706667	0.066089	0.0745409	0.0532578	0.0618853	0.0647013	0.080862	0.0813516	0.0906286
a20	0.205548	0.159517	0.140994	0.137798	0.156265	0.073688	0.0379894	0.0271503	0.0218005	0.0193785	0.0198713
a30	0.228442	0.320557	0.232832	0.111361	0.0660783	0.0207412	0.00818095	0.00467921	0.00306614	0.00229282	0.00176862
a44	0.246661	0.275894	0.195544	0.123287	0.0881847	0.0339778	0.0151616	0.0085589	0.00554273	0.00402767	0.00316068
a26	0.244657	0.24406	0.183734	0.128318	0.0872091	0.0425176	0.0257202	0.0169735	0.0111745	0.00818375	0.00745311
a38	0.165812	0.186677	0.174278	0.166899	0.134257	0.0558132	0.0357392	0.0268176	0.0193196	0.0170367	0.0173504
a41	0.17775	0.183057	0.165455	0.155541	0.125098	0.0605382	0.0422142	0.0317285	0.0226037	0.0181276	0.0178866
a24	0.121492	0.138345	0.154047	0.171335	0.151245	0.0861146	0.0621644	0.0430087	0.029726	0.0220504	0.0204723
a88	0.100913	0.113068	0.146032	0.182532	0.165419	0.107945	0.0749457	0.0443505	0.0293632	0.0189154	0.0165175
a24	0.0654439	0.074759	0.11373	0.166784	0.190275	0.1331	0.0980613	0.0587891	0.0434011	0.0299111	0.0257454
a76	0.0699052	0.0753676	0.117645	0.166629	0.178348	0.134495	0.0966632	0.0586463	0.0452761	0.0317671	0.0252584
a44	0.0550739	0.0716907	0.104193	0.139581	0.186723	0.142185	0.108724	0.0681123	0.0548514	0.0362005	0.0326654
a57	0.0555144	0.0672397	0.0881567	0.116391	0.158285	0.128547	0.110316	0.0820787	0.081505	0.0599708	0.0519948
a38	0.0106559	0.0163356	0.0343558	0.057833	0.174017	0.1851	0.1591	0.119464	0.0966487	0.0726822	0.073808
a35	0.0138648	0.0190837	0.0355354	0.0583941	0.145228	0.168812	0.158632	0.126144	0.118851	0.0821207	0.0733339
a66	0.0229225	0.0296069	0.0377463	0.0475164	0.0787013	0.114345	0.137141	0.128281	0.148182	0.12993	0.125628
a75	0.00803081	0.0116453	0.0193831	0.0289735	0.0579813	0.108632	0.139165	0.138935	0.163775	0.162154	0.161325
a35	0.00306539	0.00429951	0.00875547	0.0161201	0.0310785	0.066125	0.115762	0.140705	0.184098	0.206991	0.223001
a76	0.00338508	0.00419321	0.00671831	0.012369	0.0213924	0.0473533	0.0945717	0.131769	0.197595	0.233148	0.247505
a90	0.00319459	0.00402673	0.0075592	0.0146605	0.0243676	0.0498147	0.0882747	0.128373	0.196806	0.233973	0.24895
a84	0.00511501	0.00518172	0.00849091	0.01769	0.0249592	0.0494857	0.0835959	0.127175	0.198423	0.236105	0.243779
a38	0.00241415	0.00278423	0.00527036	0.0124064	0.0276256	0.0518662	0.0879505	0.126057	0.181445	0.228115	0.274066
a41	0.00146283	0.00119332	0.0020458	0.00495944	0.0125796	0.0354421	0.0711259	0.116832	0.185253	0.25035	0.318756
a35	0.000670369	0.000523361	0.00105909	0.00349042	0.00953667	0.0316578	0.0644863	0.105254	0.190146	0.273924	0.319252
a14	0.000630599	0.000503558	0.000919669	0.00279292	0.00779601	0.026301	0.0503473	0.0892678	0.188563	0.288691	0.344187
a73	0.000906807	0.00069519	0.00131336	0.00360518	0.00829661	0.0247745	0.0453524	0.0797495	0.174071	0.307017	0.354217
a90	0.000905724	0.000761038	0.00135262	0.00351255	0.010475	0.030514	0.0532224	0.0892118	0.187616	0.287294	0.335135
a76	0.00090324	0.000632071	0.00102663	0.00318733	0.0072673	0.0248817	0.0455745	0.0721316	0.175344	0.324589	0.344463
a73	0.00325967	0.00210127	0.00294418	0.00739141	0.0132703	0.0389965	0.0558305	0.0693408	0.151826	0.307229	0.347811
a57	0.00234001	0.00145626	0.00199316	0.00421278	0.0108723	0.0314812	0.0471935	0.0670293	0.155657	0.295735	0.38203
a87	0.0144742	0.0113651	0.0133509	0.0160216	0.0297545	0.0482088	0.0614669	0.0891662	0.1581	0.243043	0.315049
a23	0.0242865	0.0427541	0.0655837	0.0362496	0.0460479	0.0526026	0.0724783	0.103868	0.148016	0.192587	0.215526
a87	0.0261502	0.0468148	0.0636116	0.0517298	0.0549002	0.051507	0.0723988	0.109644	0.143806	0.174124	0.205314
</S>	0.0152314	0.0225648	0.0353853	0.0306817	0.0517583	0.06275	0.0760601	0.104414	0.140297	0.194461	0.266397
