 	il	faut	attiser	le	feu	qui	est	éteint	</S>
a23	0.408031	0.256585	0.139492	0.0617573	0.035966	0.0285328	0.022947	0.0216132	0.0250766
a87	0.311211	0.219196	0.155323	0.105639	0.0709588	0.0398326	0.0278862	0.0299049	0.0400483
a23	0.20392	0.199349	0.179752	0.10362	0.0607044	0.0424301	0.0467981	0.0648039	0.0986234
a40	0.351102	0.254948	0.151207	0.059508	0.026919	0.0189251	0.0235647	0.0431996	0.0706267
a30	0.45212	0.215773	0.141099	0.0689858	0.036802	0.0253048	0.0205728	0.0196126	0.0197297
a41	0.249712	0.228831	0.246331	0.158605	0.0643862	0.0217623	0.0119984	0.00885587	0.00951825
a36	0.215312	0.211813	0.216309	0.167233	0.0939214	0.0399159	0.0228671	0.0161421	0.0164867
a41	0.173491	0.192576	0.211957	0.173731	0.102652	0.0499781	0.0338264	0.0296562	0.0321318
a27	0.134868	0.158616	0.184326	0.181853	0.130853	0.0704184	0.0482841	0.0425007	0.0482806
a94	0.0713776	0.0958767	0.13605	0.186306	0.165079	0.103535	0.0722203	0.0722818	0.0972738
a53	0.0730714	0.0968468	0.130242	0.179353	0.170735	0.115012	0.0790809	0.0702317	0.0854272
a20	0.0869758	0.10984	0.139226	0.169938	0.171932	0.118567	0.0798753	0.059169	0.0644761
a73	0.0773134	0.0781568	0.0844057	0.121423	0.159191	0.15188	0.115484	0.0958159	0.116332
a35	0.0385848	0.0467496	0.056103	0.0876176	0.12248	0.163856	0.154152	0.146577	0.18388
a43	0.038125	0.0392959	0.0414177	0.0650186	0.0960072	0.141276	0.153861	0.183856	0.241142
a24	0.0227844	0.0232997	0.0252445	0.0454735	0.0886068	0.157663	0.197876	0.210926	0.228126
a41	0.00946514	0.00837029	0.00810669	0.0143796	0.0329647	0.0932845	0.183231	0.291679	0.358519
a24	0.0118437	0.0106676	0.0104558	0.0178636	0.0364245	0.0947084	0.185071	0.290987	0.341978
a96	0.00686538	0.00561194	0.00488915	0.00707647	0.013525	0.0427677	0.117373	0.29416	0.507731
a24	0.00700438	0.00526631	0.00426345	0.00656955	0.0129481	0.0392413	0.114171	0.288544	0.521992
a31	0.00486984	0.00361378	0.00299816	0.00517173	0.010283	0.0298823	0.0940113	0.275064	0.574106
a32	0.011079	0.00805042	0.00686971	0.0106334	0.0181318	0.0480941	0.121227	0.26963	0.506285
a71	0.0100105	0.00682935	0.00518194	0.00874427	0.0158353	0.0378637	0.10403	0.270708	0.540797
a38	0.0103814	0.00648396	0.00453484	0.00800666	0.0147812	0.0348114	0.0947813	0.259291	0.566929
a24	0.00707387	0.00397725	0.00251195	0.00554603	0.011869	0.0308255	0.0898501	0.251144	0.597203
a12	0.00447703	0.00256238	0.00178773	0.00421369	0.00998799	0.0267511	0.0821304	0.256684	0.611406
a61	0.00614639	0.00376397	0.00281453	0.0066903	0.0136337	0.0310468	0.0834454	0.241643	0.610816
a75	0.00562651	0.0038239	0.00317264	0.00656444	0.0122873	0.0288766	0.0834526	0.255662	0.600534
a41	0.0035211	0.00251312	0.00217552	0.00491601	0.00972154	0.0247368	0.0736326	0.238848	0.639935
a56	0.00324208	0.00219351	0.00188873	0.00430794	0.00925351	0.0262286	0.0863128	0.270219	0.596354
a24	0.00468223	0.00337111	0.00263711	0.0057306	0.010709	0.0257741	0.0766439	0.240362	0.63009
a31	0.00471027	0.00267677	0.00166292	0.00387263	0.00833436	0.0212444	0.0678525	0.228417	0.661229
a24	0.00536291	0.00361958	0.00256368	0.00471671	0.00874247	0.0234853	0.0750197	0.251111	0.625379
a9	0.00488079	0.00259413	0.00153322	0.00294822	0.00627998	0.0179234	0.0630857	0.239755	0.661
a87	0.00298259	0.00210845	0.00142169	0.00343034	0.00842683	0.0239798	0.0739561	0.243866	0.639828
</S>	0.00256021	0.00157078	0.000909883	0.0018878	0.00454741	0.0166843	0.0672447	0.244683	0.659912
