 	le	chasseur	a	tué	une	antilope	mâle	</S>
a66	0.326381	0.172521	0.135597	0.111393	0.10515	0.0797217	0.0362674	0.0329683
a87	0.375622	0.207714	0.168262	0.115228	0.0640815	0.0361499	0.0152267	0.0177165
a97	0.381938	0.220832	0.145725	0.0915685	0.0558299	0.0367423	0.0285723	0.0387918
a53	0.391024	0.248728	0.1564	0.0866737	0.0346854	0.023042	0.0258175	0.03363
a4	0.368727	0.207572	0.123239	0.0928552	0.0575409	0.0548546	0.0445783	0.0506321
a13	0.299995	0.223543	0.134931	0.112094	0.0767771	0.0571896	0.0459245	0.0495456
a75	0.167121	0.165295	0.137019	0.14264	0.115462	0.0857513	0.092582	0.0941297
a21	0.113202	0.129601	0.122634	0.155469	0.174047	0.113474	0.0948844	0.0966882
a47	0.124461	0.145954	0.145634	0.183136	0.179593	0.0897644	0.065931	0.0655272
a96	0.133489	0.143611	0.140146	0.175537	0.177292	0.0858074	0.0702777	0.0738396
a75	0.100277	0.120368	0.13056	0.171239	0.19452	0.0976036	0.0860471	0.0993854
a79	0.0658265	0.0910447	0.118608	0.152103	0.182487	0.128132	0.118649	0.14315
a44	0.0577297	0.0822003	0.111761	0.137304	0.176357	0.140139	0.136734	0.157775
a93	0.0385232	0.0448312	0.0627587	0.0816093	0.13659	0.161829	0.201828	0.272031
a70	0.0264743	0.0292271	0.0384256	0.0459295	0.0799997	0.137966	0.254034	0.387944
a62	0.0106841	0.0115181	0.0150846	0.0193963	0.0393918	0.0958353	0.29741	0.51068
a88	0.00582503	0.00600114	0.00816458	0.0109436	0.0231512	0.0659041	0.293411	0.586599
a71	0.0021918	0.00222129	0.00320858	0.0054609	0.0145378	0.0526448	0.246355	0.67338
a75	0.00609633	0.00516351	0.00791373	0.015456	0.0365295	0.0748558	0.244523	0.609462
a85	0.00162766	0.00163114	0.00271636	0.00546231	0.0137179	0.0510328	0.240971	0.682841
a47	0.00273908	0.0030662	0.00547092	0.00994573	0.0216898	0.0648683	0.248441	0.643779
a37	0.000855045	0.00100228	0.00178166	0.00346952	0.00861951	0.0325853	0.209932	0.741755
a94	0.00759285	0.00752171	0.0111521	0.0160907	0.0266857	0.0662386	0.204413	0.660306
a66	0.0151426	0.0139918	0.0189956	0.0277494	0.0444005	0.108196	0.220703	0.550821
a82	0.0353707	0.0292818	0.0356803	0.0518943	0.096402	0.148073	0.229854	0.373444
a3	0.188956	0.102573	0.0830303	0.0738421	0.0721533	0.0888046	0.146595	0.244046
a97	0.287125	0.186343	0.147902	0.111275	0.0708115	0.0595216	0.0544564	0.0825656
a87	0.235863	0.15867	0.12517	0.103202	0.0704339	0.067614	0.0803812	0.158665
a97	0.13965	0.101964	0.0913496	0.0892323	0.0783151	0.0940948	0.139694	0.265701
a87	0.135536	0.100048	0.0962472	0.0968957	0.0864294	0.112307	0.13821	0.234327
a97	0.094525	0.0781926	0.083351	0.0992285	0.0994953	0.137269	0.151401	0.256538
</S>	0.104095	0.0868766	0.0980273	0.111895	0.101461	0.131014	0.142316	0.224315
