 	il	est	passé	devant	notre	maison	</S>
a66	0.385768	0.224505	0.143609	0.0998176	0.061871	0.0442635	0.0401654
a87	0.251126	0.17527	0.133448	0.136401	0.119503	0.100396	0.0838557
a97	0.408163	0.192072	0.093685	0.0718945	0.068548	0.0744672	0.0911703
a30	0.357553	0.191145	0.108244	0.0875747	0.0763297	0.0809533	0.0981997
a90	0.386199	0.183317	0.108977	0.10188	0.0760528	0.0716675	0.0719068
a98	0.428018	0.212808	0.0999517	0.0857972	0.0604006	0.0538743	0.0591501
a85	0.281019	0.234589	0.161161	0.126946	0.0811148	0.0603636	0.0548059
a21	0.229441	0.241863	0.212912	0.145912	0.0833742	0.0490953	0.0374019
a47	0.253822	0.246524	0.208943	0.132118	0.0780624	0.0439106	0.0366209
a75	0.220599	0.2076	0.179485	0.137355	0.105288	0.0760857	0.0735868
a56	0.193038	0.212491	0.215602	0.146093	0.0968157	0.0688803	0.067079
a44	0.205573	0.211218	0.209229	0.127314	0.0897094	0.072159	0.0847979
a93	0.170595	0.173386	0.203027	0.13933	0.104538	0.0919863	0.117138
a11	0.141425	0.135443	0.173436	0.151614	0.133976	0.119394	0.144711
a75	0.0637364	0.0583156	0.0982492	0.117681	0.158858	0.203317	0.299843
a85	0.0287308	0.0288995	0.0541688	0.093209	0.151152	0.232626	0.411213
a37	0.0213992	0.0220745	0.0422621	0.0791818	0.140245	0.238782	0.456056
a21	0.0179846	0.014747	0.0240566	0.0465892	0.101336	0.22308	0.572207
a61	0.0128999	0.0125919	0.0239081	0.05291	0.119446	0.260654	0.517591
a62	0.00683789	0.00698738	0.0137345	0.0340172	0.0894876	0.225096	0.623839
a0	0.00667608	0.00760942	0.0165563	0.0475969	0.118287	0.23858	0.564694
a9	0.0082827	0.00978636	0.0189205	0.0558666	0.11914	0.221987	0.566016
a82	0.0594299	0.0555997	0.0596978	0.0807401	0.120887	0.201204	0.422441
a3	0.128193	0.0878933	0.0776995	0.0874579	0.118933	0.184661	0.315163
a97	0.138848	0.0809977	0.0628081	0.0772611	0.120395	0.194462	0.325228
a38	0.101926	0.0631416	0.0540452	0.0716943	0.123035	0.214815	0.371342
a11	0.0563714	0.0333691	0.0278164	0.0476379	0.106217	0.227905	0.500683
</S>	0.0196648	0.0127338	0.0136818	0.0307255	0.0881838	0.231947	0.603064
