 	aujourd'	hui	il	doit	tout	dévoiler	</S>
a66	0.314255	0.182816	0.122227	0.0805421	0.0614493	0.095382	0.143329
a87	0.466666	0.181604	0.11434	0.0730987	0.0497365	0.0567417	0.0578135
a23	0.530668	0.21307	0.0944919	0.0500931	0.0285445	0.0297378	0.0533947
a79	0.438463	0.185528	0.0817574	0.0633058	0.0597162	0.0789653	0.0922645
a20	0.364434	0.201852	0.10796	0.0919191	0.0633	0.068933	0.101603
a69	0.35515	0.268457	0.151828	0.111653	0.0553753	0.0330845	0.0244526
a7	0.248139	0.259637	0.196979	0.150314	0.0725584	0.042459	0.0299142
a98	0.139214	0.181594	0.190762	0.195489	0.114596	0.0817885	0.0965551
a15	0.150122	0.200375	0.217586	0.199609	0.0977466	0.0636342	0.0709279
a7	0.099604	0.164894	0.226963	0.218628	0.11103	0.0786772	0.100204
a93	0.114531	0.139423	0.187768	0.179784	0.106832	0.0956712	0.17599
a54	0.161333	0.169857	0.187618	0.181782	0.111089	0.0846537	0.103668
a92	0.054714	0.0830985	0.156392	0.200418	0.182697	0.168639	0.154041
a37	0.0541245	0.0748206	0.13229	0.173482	0.185793	0.199768	0.179723
a56	0.0489328	0.0622751	0.117109	0.165704	0.184818	0.201962	0.2192
a75	0.0359545	0.0433877	0.0847874	0.14236	0.195363	0.250348	0.247799
a96	0.0200333	0.0287074	0.060342	0.10274	0.166405	0.282704	0.339068
a66	0.0291512	0.0334827	0.0626558	0.111284	0.171236	0.280059	0.31213
a90	0.0142438	0.0156615	0.0315882	0.0708438	0.152671	0.328443	0.386549
a92	0.0271126	0.0289918	0.0511896	0.0872577	0.148317	0.292451	0.36468
a21	0.0172104	0.0206742	0.036257	0.0587215	0.111013	0.280931	0.475193
a12	0.00997909	0.0108651	0.0191252	0.0350499	0.0878674	0.27489	0.562223
a62	0.00594643	0.00626081	0.0101985	0.0192444	0.0587919	0.232346	0.667212
a75	0.00359054	0.0037729	0.00555421	0.0101791	0.0337284	0.185412	0.757763
a92	0.0028806	0.0036441	0.00733287	0.0151475	0.0481627	0.187351	0.735481
a56	0.00311063	0.00383578	0.00735713	0.0143404	0.0469614	0.184403	0.739992
a93	0.00230993	0.00256913	0.00434011	0.00819786	0.0292633	0.150248	0.803072
a4	0.00192857	0.00218905	0.00377704	0.00748186	0.0254944	0.126389	0.83274
a13	0.00255038	0.00297999	0.0051205	0.00929169	0.0268055	0.113821	0.839431
a62	0.00139115	0.00148439	0.00265617	0.00509629	0.0169339	0.0936319	0.878806
a96	0.00240405	0.00252902	0.00390206	0.00731479	0.022351	0.1051	0.856399
a66	0.00190785	0.00208172	0.00351025	0.00726363	0.0235366	0.116091	0.84561
a9	0.00745953	0.00707071	0.011341	0.0219881	0.0607906	0.177584	0.713766
a99	0.0529386	0.0430002	0.049376	0.0508953	0.0882231	0.173124	0.542443
a87	0.133094	0.0841987	0.0770278	0.0652252	0.087301	0.141478	0.411675
a23	0.276012	0.133907	0.0958863	0.0597104	0.0649902	0.105847	0.263647
a87	0.248292	0.133635	0.0796619	0.0440678	0.0501525	0.0864228	0.357767
</S>	0.0442241	0.0319813	0.0324973	0.0258379	0.0511237	0.140915	0.673421
