 	celles-ci	sont	des	feuilles	de	manguier	celles-là	sont	du	safoutier	</S>
a66	0.332119	0.160319	0.105711	0.103258	0.0725894	0.0627247	0.0880652	0.0372424	0.0195131	0.0107632	0.00769474
a87	0.138087	0.101003	0.0767349	0.105623	0.0796581	0.097587	0.183587	0.0958388	0.0588656	0.0329093	0.030107
a23	0.156131	0.1224	0.0754047	0.113042	0.108777	0.13322	0.230914	0.0414684	0.0106083	0.00422338	0.00381039
a99	0.1861	0.122485	0.0633618	0.0943165	0.106237	0.136148	0.214957	0.0470558	0.0154538	0.00734179	0.00654357
a50	0.210385	0.10984	0.0619455	0.0937179	0.102829	0.11269	0.202301	0.0486175	0.0236614	0.0161987	0.0178143
a98	0.252568	0.165051	0.106731	0.110441	0.099121	0.0663201	0.085795	0.0406107	0.0277853	0.0205998	0.0249769
a71	0.302267	0.220607	0.132945	0.104762	0.0824728	0.0455947	0.0448162	0.0202295	0.016165	0.0134285	0.0167136
a38	0.147381	0.157341	0.111084	0.108281	0.104298	0.0838462	0.109992	0.0529364	0.046291	0.0368271	0.0417229
a54	0.0941247	0.127171	0.10336	0.117551	0.123874	0.100278	0.121683	0.0577888	0.054715	0.0464755	0.05298
a0	0.126883	0.107968	0.102698	0.125053	0.176359	0.135789	0.104368	0.0437489	0.0294122	0.0234494	0.024273
a96	0.0690652	0.0686653	0.083263	0.117144	0.174007	0.161096	0.149302	0.058319	0.0421526	0.0358518	0.0411335
a34	0.0250168	0.0380874	0.0621168	0.111699	0.188138	0.196355	0.161294	0.0656938	0.048796	0.0464	0.0564039
a54	0.0215967	0.0333353	0.0605069	0.113325	0.190105	0.202579	0.171226	0.0718341	0.0512527	0.0405836	0.0436556
a76	0.0333396	0.0443312	0.0725156	0.124067	0.193472	0.197853	0.159202	0.0662709	0.0427841	0.0315676	0.0345965
a94	0.0498411	0.0687728	0.079305	0.106763	0.142902	0.155772	0.148324	0.0834982	0.071114	0.0492979	0.0444099
a93	0.0107088	0.0175037	0.0230354	0.0506665	0.115245	0.205083	0.225425	0.117774	0.0977167	0.0704198	0.066422
a70	0.00807212	0.0120782	0.0143261	0.0313376	0.0836011	0.187437	0.206065	0.127805	0.117699	0.102999	0.10858
a54	0.00629892	0.00980242	0.0111767	0.024178	0.0653639	0.167832	0.197073	0.125686	0.122997	0.124164	0.145429
a37	0.0144048	0.0177478	0.020701	0.0371713	0.0827541	0.180632	0.195445	0.11989	0.104945	0.106475	0.119834
a70	0.00916339	0.0129225	0.0121561	0.0238221	0.0566568	0.144775	0.146452	0.10538	0.120002	0.150215	0.218455
a11	0.00385621	0.0061354	0.006087	0.0124994	0.0284167	0.087277	0.0966878	0.090556	0.127222	0.204853	0.33641
a70	0.00275612	0.00428727	0.00405943	0.00755856	0.0155305	0.0520007	0.0644908	0.0782362	0.127959	0.252562	0.390559
a13	0.00199594	0.00331424	0.00292928	0.00518326	0.00957209	0.0300813	0.0407348	0.0651232	0.123739	0.282226	0.4351
a57	0.00258073	0.00388958	0.00305958	0.00519893	0.00868756	0.0283031	0.0326966	0.052888	0.103105	0.289198	0.470393
a3	0.00737513	0.00842341	0.00630538	0.009936	0.0154248	0.0401606	0.0428974	0.0537348	0.0958303	0.267652	0.45226
a99	0.0882887	0.0654316	0.0390969	0.0494897	0.0563946	0.0855931	0.0818639	0.054163	0.0788897	0.15955	0.241239
a83	0.108712	0.0890239	0.0596053	0.080728	0.0873412	0.109772	0.0843096	0.0516586	0.0623567	0.114608	0.151884
a50	0.0187204	0.0172223	0.0118985	0.0159169	0.0196573	0.0567437	0.0697929	0.0618654	0.111558	0.243569	0.373055
a93	0.00693017	0.00787502	0.00540155	0.00790852	0.010727	0.0371492	0.0611953	0.0677617	0.120187	0.258118	0.416747
a69	0.00175172	0.00264894	0.00198274	0.00293012	0.00454382	0.0216851	0.0404189	0.0535952	0.110152	0.272397	0.487895
a44	0.00104101	0.00153114	0.00131862	0.00211941	0.00393709	0.0171161	0.0320122	0.0549048	0.124628	0.299221	0.46217
a11	0.00190801	0.00265	0.0021579	0.00334914	0.0056861	0.0206153	0.0335725	0.0542741	0.115372	0.288228	0.472188
a54	0.00410051	0.00559586	0.00462017	0.00722739	0.0105201	0.0298148	0.0365879	0.0488744	0.0895747	0.258933	0.504151
a36	0.00407307	0.00451572	0.00404345	0.00621102	0.00848928	0.021214	0.030326	0.0366381	0.0762055	0.234812	0.573471
a2	0.00751826	0.00913805	0.00861068	0.0146762	0.0195087	0.0377454	0.0377594	0.035652	0.0579312	0.206374	0.565086
a57	0.0268868	0.0269018	0.0242351	0.0381047	0.0515548	0.0686164	0.0494457	0.0427786	0.0587305	0.176619	0.436127
a87	0.0929914	0.0666419	0.0473346	0.06831	0.0854366	0.111151	0.0769946	0.0506882	0.0548629	0.123815	0.221774
a23	0.149769	0.103347	0.0647416	0.0792139	0.0829607	0.115036	0.108462	0.0544362	0.0541688	0.0822207	0.105644
a87	0.139848	0.109112	0.0777114	0.08129	0.0811292	0.113934	0.090657	0.0644709	0.067136	0.0825732	0.092139
a23	0.0993299	0.101546	0.0841026	0.090508	0.096457	0.145507	0.106647	0.0708526	0.0614974	0.0677318	0.075821
a87	0.122852	0.118562	0.0894168	0.0869974	0.0865192	0.114655	0.0873813	0.0691302	0.0702881	0.0743545	0.0798439
</S>	0.159726	0.142317	0.0999879	0.0870363	0.078745	0.0972226	0.0733474	0.0639724	0.0621966	0.066085	0.069364
