 	la	pluie	d'	hier	a	fait	déborder	la	rivière	</S>
a66	0.191195	0.136444	0.137061	0.129518	0.129661	0.0989305	0.079663	0.0411121	0.0308145	0.0256001
a87	0.127409	0.0904225	0.0799861	0.0662842	0.0696133	0.0887616	0.0909744	0.126066	0.125929	0.134553
a97	0.367473	0.241566	0.150919	0.0658906	0.0524547	0.0393549	0.0335296	0.0181705	0.0139923	0.0166486
a87	0.314177	0.216455	0.160211	0.0798446	0.0668581	0.0554618	0.0465977	0.025136	0.0170045	0.0182544
a23	0.333253	0.218456	0.149835	0.0718372	0.060121	0.0510445	0.0431586	0.0295612	0.0210944	0.0216394
a99	0.369584	0.198543	0.109498	0.0629538	0.0626013	0.0551649	0.0448164	0.0404934	0.0266506	0.0296947
a13	0.350723	0.191095	0.125679	0.0724142	0.0661478	0.0443325	0.0363097	0.0403132	0.0329449	0.040041
a53	0.367594	0.223279	0.15444	0.0727307	0.0594566	0.0370652	0.0252793	0.0215301	0.0181117	0.0205129
a15	0.316715	0.225307	0.166029	0.0896396	0.0778751	0.0506674	0.0313284	0.0164684	0.0117432	0.014226
a5	0.215904	0.154671	0.156479	0.120651	0.116673	0.0888482	0.0553862	0.0344125	0.0262414	0.0307334
a90	0.0930046	0.0960146	0.115171	0.111685	0.116521	0.112194	0.107549	0.0861209	0.0768173	0.0849227
a93	0.108459	0.106336	0.123468	0.11916	0.117843	0.105509	0.085308	0.0724442	0.0739332	0.0875388
a90	0.0704583	0.0697852	0.0878364	0.0925629	0.0960567	0.0925503	0.089605	0.10174	0.135273	0.164132
a56	0.0887378	0.0854043	0.103828	0.10733	0.111315	0.109634	0.0865961	0.0836735	0.101693	0.121788
a96	0.0503686	0.0533724	0.0747629	0.100186	0.108148	0.115011	0.108924	0.109626	0.129651	0.149949
a34	0.0244557	0.0261419	0.042611	0.0884001	0.100283	0.1056	0.108777	0.128472	0.168574	0.206685
a54	0.0189762	0.0205948	0.0329447	0.0808983	0.0946895	0.105158	0.118505	0.140977	0.178069	0.209188
a73	0.020728	0.0256642	0.0450053	0.109746	0.124357	0.129306	0.115819	0.120105	0.15049	0.15878
a44	0.0209429	0.0254581	0.0426374	0.11317	0.137317	0.150178	0.119296	0.109841	0.133226	0.147932
a53	0.0194073	0.0212815	0.0303367	0.0777412	0.0985561	0.122044	0.116431	0.133726	0.170473	0.210005
a15	0.0170561	0.0195663	0.0282029	0.0835926	0.112244	0.145077	0.143299	0.13441	0.144597	0.171955
a56	0.00823444	0.0100486	0.0164626	0.0631718	0.0902183	0.126024	0.105656	0.127829	0.180983	0.271372
a70	0.00799679	0.00905153	0.0123252	0.0465074	0.065959	0.0978862	0.0957551	0.127836	0.199281	0.337402
a50	0.00374041	0.00446651	0.00618194	0.0227376	0.0343753	0.0570601	0.0627889	0.120176	0.232422	0.456051
a24	0.0020694	0.00217251	0.00271914	0.0066596	0.00980601	0.0210086	0.0309078	0.104938	0.283428	0.536291
a0	0.00173177	0.0016717	0.00179132	0.00343621	0.00452771	0.0102513	0.0192787	0.0943601	0.309883	0.553068
a90	0.00124818	0.00123416	0.00142898	0.00273609	0.00360407	0.00831093	0.0156249	0.0853859	0.305836	0.57459
a44	0.00111659	0.00136365	0.00184526	0.0052908	0.007805	0.0149739	0.022243	0.0871729	0.261289	0.5969
a66	0.000684322	0.000779759	0.00102471	0.0025837	0.00383604	0.00846958	0.0116852	0.0630128	0.252042	0.655882
a13	0.00229416	0.00188748	0.00199659	0.00362489	0.00467475	0.00892969	0.0138716	0.0812576	0.300725	0.580738
a38	0.0149231	0.0108356	0.00895592	0.0126793	0.0148188	0.0204924	0.0210858	0.0957482	0.277289	0.523172
a50	0.0323896	0.0234209	0.0173541	0.0203029	0.0214702	0.0259476	0.0219589	0.0808139	0.243547	0.512795
a0	0.0255045	0.019292	0.0150989	0.0197986	0.0231512	0.0284749	0.0282325	0.082315	0.230823	0.527309
a24	0.026656	0.0216034	0.0167795	0.0203585	0.0225344	0.0278043	0.0272927	0.0797865	0.227007	0.530178
a9	0.0177793	0.0139422	0.0110423	0.0141613	0.0155177	0.0201158	0.0219266	0.0750496	0.234978	0.575488
a87	0.052819	0.0367454	0.026612	0.0306728	0.031101	0.0353931	0.0302229	0.0862832	0.215888	0.454263
a23	0.123189	0.0908137	0.0653798	0.0811638	0.0848202	0.0894384	0.0635604	0.0845052	0.120651	0.196479
a87	0.142721	0.0852238	0.0681807	0.0997363	0.0976622	0.107919	0.0702011	0.0779471	0.103454	0.146954
a23	0.0902044	0.0687073	0.0672192	0.141452	0.142603	0.145837	0.0670921	0.0682703	0.0831605	0.125454
a87	0.0973828	0.0750169	0.0705971	0.147851	0.143279	0.143435	0.0710566	0.0650117	0.0755182	0.110852
a23	0.111829	0.0803482	0.078113	0.145963	0.131629	0.122966	0.0525042	0.0587313	0.0854565	0.132461
a87	0.126698	0.086851	0.0754376	0.13834	0.12356	0.117329	0.0545045	0.0598793	0.0862083	0.131192
</S>	0.118367	0.0888851	0.0781262	0.129491	0.113691	0.107058	0.0474291	0.0609729	0.0997869	0.156193
