 	j'	ai	mal	au	bras	</S>
a99	0.360527	0.161772	0.135124	0.122755	0.106497	0.113325
a83	0.453829	0.210186	0.126515	0.0746797	0.0725521	0.0622386
a21	0.569123	0.244236	0.0934343	0.0369152	0.0255201	0.0307709
a41	0.554359	0.283992	0.0961717	0.0317493	0.0189647	0.0147635
a44	0.388183	0.343153	0.159256	0.0571218	0.0327832	0.0195029
a76	0.221851	0.255402	0.200494	0.130815	0.110621	0.0808167
a98	0.190823	0.18511	0.172386	0.160017	0.157431	0.134233
a41	0.241306	0.210467	0.182875	0.143412	0.125647	0.0962932
a12	0.116308	0.13106	0.186677	0.207983	0.198658	0.159314
a5	0.0253163	0.0326019	0.0963164	0.199868	0.308281	0.337616
a36	0.0164977	0.0174223	0.0539188	0.166079	0.321903	0.424179
a66	0.0107511	0.0117749	0.0378862	0.13129	0.304797	0.503501
a9	0.0307323	0.0223271	0.0437461	0.107739	0.241923	0.553532
a25	0.311689	0.144474	0.0901437	0.0980254	0.135791	0.219877
a87	0.337518	0.192803	0.12229	0.110157	0.118339	0.118893
a23	0.213907	0.14272	0.137328	0.151616	0.174326	0.180104
a99	0.11934	0.0826851	0.116593	0.177425	0.261275	0.242682
a97	0.0849344	0.0692893	0.124529	0.175252	0.277422	0.268574
</S>	0.0849028	0.0747891	0.127234	0.163716	0.261435	0.287923
