 	le	poisson	qu'	ils	m'	ont	vendu	est	grillé	</S>
a66	0.340602	0.191034	0.0931123	0.0787733	0.0831147	0.0730192	0.0621165	0.0282409	0.0266934	0.023293
a87	0.300545	0.196838	0.142677	0.0871157	0.0781691	0.0490244	0.0413944	0.0354842	0.0304448	0.0383076
a23	0.435832	0.264342	0.125275	0.046599	0.0313981	0.0213819	0.018762	0.0177652	0.0179785	0.0206666
a10	0.317062	0.250238	0.167677	0.0587923	0.0450096	0.0353092	0.0306158	0.0253089	0.0241092	0.0458777
a62	0.305654	0.225062	0.172182	0.0621398	0.0467312	0.0403371	0.0372809	0.0325688	0.0340827	0.0439623
a21	0.255001	0.222835	0.155565	0.0719943	0.0625532	0.0429707	0.0363194	0.0330904	0.0544649	0.0652067
a12	0.227868	0.296288	0.244469	0.0956878	0.0582329	0.027416	0.0160652	0.0105363	0.0113816	0.0120551
a31	0.175252	0.255205	0.287308	0.126742	0.0690622	0.0312242	0.0166173	0.0106627	0.0129809	0.0149458
a24	0.188855	0.25712	0.270837	0.135659	0.0704105	0.0290797	0.0137318	0.00881339	0.0114884	0.0140054
a12	0.145981	0.18908	0.24719	0.190209	0.111207	0.0485303	0.021407	0.0118048	0.0146967	0.0198942
a94	0.12271	0.146338	0.221105	0.218906	0.141287	0.0650589	0.0287019	0.0143234	0.0169976	0.0245722
a98	0.064347	0.0826927	0.148752	0.212754	0.183168	0.108445	0.0514935	0.0309088	0.0480465	0.0693935
a47	0.052093	0.0636896	0.10509	0.175135	0.156106	0.106351	0.0642461	0.0421019	0.0945015	0.140686
a85	0.0331265	0.0336971	0.0429736	0.0916468	0.133277	0.146467	0.092099	0.0629266	0.116299	0.247487
a6	0.0144743	0.0174708	0.0305484	0.0889925	0.119093	0.129518	0.110732	0.0827891	0.164767	0.241615
a85	0.0112201	0.0114932	0.0187519	0.0670187	0.111102	0.152661	0.158454	0.113653	0.142616	0.213031
a98	0.00612827	0.00644821	0.0097644	0.0377643	0.0772398	0.136339	0.160973	0.133524	0.168363	0.263455
a25	0.00435698	0.00447384	0.00684127	0.025637	0.0550976	0.118961	0.163035	0.158633	0.192308	0.270657
a15	0.00301165	0.00343312	0.00510751	0.0175071	0.0370399	0.0913858	0.136574	0.168262	0.229431	0.308248
a47	0.0044496	0.0037437	0.0040103	0.00916735	0.0158744	0.0375565	0.0540393	0.069052	0.265861	0.536246
a85	0.00166177	0.00137485	0.00156112	0.0040762	0.0077947	0.0227266	0.0473792	0.0820634	0.30642	0.524942
a47	0.00105373	0.000856327	0.000839529	0.00204808	0.00387674	0.013537	0.0314596	0.091139	0.360415	0.494775
a36	0.000256271	0.000210146	0.000211641	0.000545255	0.00130506	0.00581158	0.0171481	0.0677371	0.352175	0.5546
a47	0.00169133	0.00119674	0.000914952	0.00157361	0.00215008	0.00649373	0.0162707	0.0744757	0.322726	0.572507
a37	0.000618517	0.000448827	0.000383879	0.00083157	0.00142092	0.00541304	0.0161516	0.0846927	0.32946	0.560579
a6	0.00592902	0.00468948	0.00353365	0.00511967	0.00704491	0.0193923	0.0382874	0.109773	0.324282	0.481948
a36	0.00267494	0.00239085	0.00204578	0.00343013	0.00546399	0.0160556	0.034874	0.126441	0.368787	0.437837
a26	0.014879	0.0121919	0.0100042	0.0108114	0.0141917	0.0311273	0.0645225	0.153768	0.35152	0.336984
a57	0.058929	0.0449309	0.032641	0.0415595	0.0536064	0.077104	0.102373	0.122345	0.223254	0.243257
a87	0.219447	0.13311	0.0718101	0.0606189	0.0672703	0.0808896	0.0919472	0.0968252	0.0827378	0.0953432
a23	0.307389	0.214075	0.116307	0.0828687	0.0665014	0.0559326	0.0532291	0.0452307	0.0287328	0.0297333
a99	0.101322	0.060864	0.0286892	0.019992	0.0179321	0.0207024	0.0351213	0.104261	0.305601	0.305515
a97	0.0511573	0.0296261	0.0144627	0.0118101	0.0117053	0.0186717	0.034215	0.0907359	0.348711	0.388905
</S>	0.0212151	0.0149481	0.00832621	0.00785682	0.00917786	0.0138873	0.020347	0.0559909	0.371928	0.476322
