 	je	lui	ai	parlé	mais	il	a	refusé	de	me	répondre	</S>
a66	0.10167	0.0856567	0.0925753	0.0980008	0.113797	0.118577	0.163415	0.117802	0.070704	0.0240707	0.0091142	0.00461742
a87	0.331917	0.177682	0.124229	0.066235	0.0463144	0.0471505	0.0416883	0.0327903	0.0202153	0.020322	0.0431174	0.0483381
a23	0.322209	0.179194	0.104196	0.0558552	0.0375164	0.0303532	0.0297763	0.0270402	0.025593	0.0273631	0.067654	0.0932503
a18	0.308524	0.185908	0.137923	0.0834496	0.0494613	0.0341818	0.0284309	0.0223904	0.0198071	0.0228057	0.0478938	0.0592242
a50	0.276849	0.180383	0.151078	0.0786178	0.0512519	0.0427733	0.051415	0.0418626	0.0361346	0.0321598	0.0311224	0.0263521
a31	0.295616	0.266719	0.202656	0.0698483	0.0305506	0.0208075	0.0253767	0.0193187	0.0220747	0.0211644	0.0173884	0.00847997
a88	0.266828	0.263837	0.19618	0.0904529	0.03832	0.0245084	0.0234349	0.0175676	0.0219115	0.0244053	0.0190789	0.013475
a0	0.20851	0.220278	0.180831	0.120591	0.0665169	0.0403447	0.0339708	0.0223761	0.0234138	0.0286911	0.0285953	0.0258815
a31	0.15633	0.176498	0.173911	0.142825	0.0818321	0.0470893	0.0369081	0.0241372	0.0244988	0.0340168	0.0465362	0.0554175
a47	0.139382	0.162717	0.1783	0.158653	0.0935958	0.0632805	0.0539342	0.0328637	0.0293791	0.0325679	0.030285	0.0250417
a75	0.109647	0.132707	0.154346	0.172164	0.131442	0.0825467	0.0631668	0.0356659	0.0254033	0.0286162	0.0324355	0.0318588
a98	0.0634225	0.0913129	0.137195	0.182294	0.130207	0.0889353	0.0789639	0.0572441	0.0452892	0.0430334	0.0417722	0.0403315
a79	0.0351787	0.0587761	0.0977944	0.157223	0.132997	0.108618	0.0965389	0.0707557	0.0583141	0.0571164	0.064727	0.0619612
a15	0.0350258	0.0506108	0.0836613	0.141993	0.131221	0.117387	0.100727	0.0661282	0.0479645	0.0528001	0.0761781	0.0963031
a7	0.023392	0.0334341	0.0631544	0.12939	0.142827	0.144593	0.124003	0.0837198	0.0462963	0.0388706	0.064563	0.105757
a84	0.018571	0.0216799	0.036693	0.109923	0.164176	0.187734	0.160632	0.109761	0.051744	0.035669	0.0405123	0.0629034
a13	0.0293196	0.0301248	0.0390607	0.107597	0.176945	0.187736	0.159933	0.112412	0.0509945	0.0303243	0.0326923	0.0428619
a75	0.0441128	0.0394728	0.0425259	0.100484	0.145619	0.155656	0.135708	0.100962	0.0553529	0.0407241	0.0501196	0.0892622
a47	0.00967108	0.0115709	0.016172	0.0479569	0.0888658	0.119782	0.109077	0.109944	0.0992186	0.0924301	0.106058	0.189253
a15	0.00824177	0.0100751	0.0145957	0.0463197	0.0808157	0.114159	0.101581	0.11523	0.0895364	0.0647044	0.107505	0.247236
a92	0.00911415	0.010972	0.0161879	0.0458102	0.0823571	0.114802	0.0985886	0.118727	0.106137	0.0723592	0.0953066	0.229639
a79	0.00612265	0.00745073	0.0109578	0.0337425	0.0633563	0.0909506	0.0869594	0.109599	0.118505	0.107269	0.125621	0.239466
a7	0.0072369	0.00830339	0.0113263	0.0296033	0.062429	0.0955817	0.0864553	0.111471	0.121458	0.109678	0.117109	0.239347
a98	0.0114067	0.0106547	0.0116128	0.024389	0.0461821	0.0723225	0.0685745	0.0892544	0.081338	0.0787376	0.114951	0.390577
a6	0.00735434	0.00727475	0.00814048	0.0162063	0.0269617	0.0421967	0.0353175	0.0491079	0.058952	0.0828143	0.167014	0.49866
a0	0.00524523	0.00529673	0.00665154	0.016499	0.0297177	0.0511768	0.0469571	0.0690344	0.093574	0.125839	0.174598	0.375411
a75	0.00745757	0.0062079	0.00564171	0.0101423	0.0133289	0.0189911	0.0160888	0.0244187	0.0302154	0.0577486	0.167142	0.642617
a85	0.00220086	0.00204608	0.00232539	0.00580053	0.00917804	0.0151752	0.0126128	0.0207646	0.0332983	0.0814038	0.239322	0.575873
a47	0.00148545	0.00136702	0.001538	0.00297997	0.00414793	0.00669771	0.00527288	0.00905793	0.0160888	0.0485539	0.196903	0.705907
a6	0.00183552	0.00162358	0.00160169	0.0030486	0.00418978	0.0061925	0.00428825	0.00633885	0.00987482	0.0298599	0.185803	0.745343
a54	0.00097968	0.000834788	0.000737661	0.00147884	0.00303815	0.0059103	0.00482839	0.00850801	0.0146082	0.0442902	0.198949	0.715836
a36	0.00106464	0.000971947	0.000929562	0.00149476	0.00211951	0.00362233	0.00275134	0.0049975	0.00959317	0.038837	0.226265	0.707353
a2	0.0130152	0.010574	0.0086376	0.00758914	0.00695808	0.00788592	0.00511859	0.00778113	0.0119111	0.0350141	0.233825	0.65169
a57	0.0876304	0.0698298	0.052419	0.0327339	0.0269614	0.0251627	0.018998	0.0265889	0.0300353	0.0511132	0.170146	0.408381
a87	0.273023	0.122325	0.0719311	0.0371542	0.0301049	0.0310238	0.0299097	0.0351456	0.0338835	0.0341978	0.0833761	0.217926
a23	0.255395	0.105272	0.055839	0.02695	0.0265472	0.0353769	0.0335914	0.0437757	0.0480146	0.0533391	0.113048	0.202852
a87	0.0539883	0.0238232	0.0111775	0.00455383	0.00369709	0.00608476	0.00559594	0.00968204	0.0209972	0.0521451	0.20488	0.603375
</S>	0.0183837	0.00855162	0.00553804	0.00449701	0.0037527	0.00394603	0.00328005	0.00457635	0.00954609	0.0330713	0.212366	0.692491
