 	le	féticheur	a	arraché	cet	enfant	de	la	mort	</S>
a87	0.196163	0.143346	0.135978	0.131374	0.148625	0.0948058	0.0666917	0.0374975	0.0246073	0.0209114
a23	0.324472	0.215991	0.124939	0.088685	0.0812917	0.0436756	0.0383144	0.0288096	0.0282953	0.0255267
a87	0.171286	0.139024	0.0902832	0.0878634	0.108532	0.0804525	0.0724836	0.0689807	0.075498	0.105596
a23	0.220315	0.209801	0.135507	0.0901676	0.0849081	0.0535025	0.0459906	0.0432169	0.0496408	0.0669504
a83	0.222718	0.190214	0.126082	0.107439	0.088958	0.0642691	0.0488258	0.0449021	0.0448554	0.0617367
a54	0.35692	0.258241	0.164033	0.0877348	0.046655	0.0229177	0.019241	0.01545	0.0135034	0.0153045
a92	0.259055	0.211909	0.178208	0.128343	0.0784082	0.0418524	0.0338612	0.0252312	0.0213344	0.0217973
a61	0.186211	0.179757	0.185899	0.156891	0.0960199	0.0541008	0.0444451	0.0332352	0.0284461	0.0349947
a75	0.207246	0.239612	0.204904	0.126863	0.0660979	0.0334355	0.0299143	0.0265893	0.0290363	0.0363004
a85	0.177446	0.204714	0.188137	0.143822	0.0830268	0.0474455	0.0394699	0.0332453	0.035436	0.0472576
a37	0.155795	0.170131	0.15139	0.108247	0.0817056	0.0656008	0.0647674	0.062625	0.0642246	0.0755139
a66	0.214628	0.237531	0.194536	0.116436	0.0756891	0.0425802	0.0348731	0.0280023	0.0265315	0.0291924
a61	0.143285	0.193063	0.200352	0.140604	0.105846	0.0604556	0.0476456	0.036713	0.0332241	0.0388123
a56	0.101598	0.144697	0.165582	0.146339	0.126882	0.0827253	0.0684469	0.0536184	0.0513848	0.0587256
a34	0.0954923	0.117276	0.132598	0.141063	0.131048	0.0919398	0.0782641	0.0646314	0.0662766	0.0814102
a98	0.0508657	0.0616135	0.0775331	0.111265	0.127334	0.120281	0.114721	0.101658	0.104696	0.130032
a92	0.0433491	0.0478407	0.0594002	0.0864498	0.0991124	0.111056	0.114969	0.123398	0.144389	0.170036
a35	0.0265659	0.0286015	0.0367466	0.0664022	0.0851844	0.122568	0.134545	0.145194	0.162468	0.191724
a98	0.024352	0.0249358	0.0296928	0.0421011	0.0486863	0.0824189	0.110774	0.160006	0.21198	0.265053
a85	0.0173175	0.0166004	0.0192069	0.0342954	0.0372247	0.0722388	0.0929901	0.153065	0.230573	0.326488
a92	0.0250645	0.0230025	0.0270997	0.0422362	0.045101	0.0767277	0.0995532	0.151272	0.213736	0.296207
a90	0.0240376	0.0208199	0.0230213	0.0377657	0.0398168	0.0699153	0.0927039	0.155843	0.230073	0.306004
a92	0.0033981	0.00311688	0.00411975	0.00960742	0.0123519	0.0319241	0.057222	0.145378	0.278546	0.454336
a75	0.0118047	0.0100825	0.0105923	0.0219075	0.0221313	0.0373793	0.0537929	0.122785	0.250785	0.45874
a61	0.0166603	0.0147973	0.0152999	0.0273852	0.0258921	0.0382521	0.0531794	0.118158	0.244546	0.445829
a47	0.00755883	0.00595361	0.00552179	0.00940226	0.0124732	0.0299586	0.0539491	0.134508	0.268367	0.472307
a83	0.00384321	0.00252917	0.00206603	0.0037536	0.00350755	0.0100378	0.0262481	0.104452	0.281302	0.56226
a9	0.00170241	0.00129415	0.00123027	0.00262517	0.00266219	0.00736178	0.018883	0.083482	0.259759	0.621
a57	0.00755732	0.00576886	0.0054843	0.01162	0.0113642	0.0302556	0.0553279	0.149069	0.293781	0.429772
a13	0.0510333	0.0385164	0.0350261	0.0423373	0.0476342	0.0826811	0.114166	0.164227	0.205795	0.218584
a99	0.0242067	0.0157948	0.0127424	0.0195858	0.0261898	0.0546062	0.0926091	0.177401	0.273174	0.30369
a87	0.0234009	0.0158351	0.0125713	0.019246	0.0295326	0.0579298	0.0942986	0.169978	0.2663	0.310907
a97	0.0400562	0.0308481	0.0261147	0.037051	0.0514892	0.0781321	0.103481	0.154291	0.219531	0.259006
a87	0.0783122	0.0661634	0.0584588	0.0744829	0.0827406	0.0856588	0.0945539	0.114562	0.154269	0.190799
a23	0.0886033	0.0743933	0.0656576	0.0753019	0.0776467	0.0765224	0.0842538	0.104854	0.149329	0.203438
a99	0.0286561	0.0248206	0.0235905	0.0275465	0.0304311	0.0485394	0.0750441	0.136243	0.247214	0.357915
a87	0.079228	0.0712726	0.0527971	0.0395538	0.0335894	0.041348	0.0589323	0.107185	0.192586	0.323507
</S>	0.0550522	0.0450042	0.0334328	0.0291578	0.0273292	0.0382047	0.0565788	0.108026	0.212996	0.394219
