 	cette	femme	faisait	danser	les	enfants	</S>
a66	0.439569	0.165532	0.159513	0.116511	0.057247	0.0332256	0.0284015
a87	0.377122	0.182651	0.144326	0.132257	0.0675117	0.0474449	0.0486863
a23	0.388762	0.18022	0.139056	0.0903838	0.0608851	0.0638109	0.0768827
a79	0.308798	0.187257	0.150748	0.102841	0.0666389	0.0817407	0.101976
a4	0.354527	0.22517	0.126477	0.0724164	0.0642073	0.0692997	0.0879016
a70	0.49181	0.245376	0.10299	0.0474467	0.0340605	0.0365763	0.04174
a96	0.386861	0.32916	0.141788	0.0552113	0.0288327	0.0282092	0.0299378
a93	0.293057	0.3389	0.175475	0.0844163	0.0418542	0.033216	0.0330814
a90	0.215129	0.305361	0.169476	0.0991471	0.0682582	0.0686391	0.07399
a25	0.227599	0.303692	0.162726	0.0900828	0.067459	0.0723984	0.0760426
a79	0.162847	0.265096	0.165589	0.11499	0.0870155	0.0972037	0.107259
a56	0.163282	0.213182	0.172115	0.123679	0.0947972	0.109953	0.12299
a12	0.1636	0.200448	0.188605	0.146628	0.102583	0.0972956	0.100841
a21	0.0689726	0.0931388	0.161307	0.189985	0.16481	0.154537	0.16725
a6	0.0311756	0.0457386	0.0994612	0.176375	0.215213	0.209134	0.222903
a0	0.0252824	0.0400163	0.078797	0.149344	0.191499	0.235592	0.279469
a47	0.027715	0.0428596	0.0742299	0.123902	0.184156	0.232988	0.31415
a31	0.0205512	0.0329223	0.0639945	0.108394	0.177123	0.251269	0.345747
a0	0.0110721	0.0174588	0.0367292	0.0762262	0.192332	0.300357	0.365824
a75	0.0094511	0.0125493	0.0200124	0.0357536	0.115667	0.306047	0.50052
a6	0.00177266	0.00360358	0.00975924	0.0307939	0.127312	0.342623	0.484136
a36	0.00144367	0.00290413	0.00769494	0.0223894	0.101767	0.322268	0.541532
a43	0.00699485	0.00912704	0.0143494	0.0268232	0.10907	0.309365	0.52427
a31	0.00879202	0.010019	0.0169056	0.0415222	0.147678	0.328003	0.44708
a0	0.00282384	0.00467096	0.00693893	0.0186168	0.101027	0.337111	0.528811
a10	0.0163783	0.0206076	0.0273711	0.0529368	0.162665	0.312397	0.407643
a87	0.0578615	0.0576389	0.0744836	0.114632	0.190192	0.240754	0.264437
a97	0.197125	0.100945	0.122246	0.145289	0.141422	0.143178	0.149795
a3	0.130273	0.069207	0.0796727	0.114092	0.161828	0.216604	0.228323
a97	0.142951	0.0806605	0.094174	0.120837	0.140152	0.195978	0.225247
a87	0.157283	0.0983905	0.110619	0.115333	0.11553	0.18097	0.221875
a23	0.129923	0.0736684	0.09011	0.107154	0.122953	0.212176	0.264017
a11	0.0142814	0.0133849	0.0224437	0.0514809	0.128627	0.346089	0.423693
</S>	0.0210907	0.0202732	0.0323486	0.0650572	0.151628	0.320275	0.389327
