 	c'	est	donc	toi	l'	orateur	du	jour	à	l'	église	</S>
a66	0.209948	0.129467	0.128494	0.145601	0.115719	0.0794068	0.0684942	0.0473651	0.0419838	0.0189034	0.0092183	0.0053998
a87	0.19938	0.121591	0.0990472	0.136365	0.13142	0.136122	0.0805004	0.0420029	0.0256336	0.0132491	0.00818309	0.00650565
a23	0.177043	0.180418	0.158721	0.152258	0.170268	0.109405	0.0276926	0.0113009	0.0047358	0.00337066	0.00240965	0.00237721
a87	0.218048	0.208324	0.155817	0.150577	0.147618	0.0792492	0.0165372	0.00600199	0.00312854	0.0036088	0.00438866	0.0067013
a23	0.211831	0.199962	0.162609	0.162109	0.144782	0.0735209	0.0169607	0.00705928	0.00432297	0.0046812	0.00525508	0.00690586
a13	0.224464	0.177694	0.124775	0.152297	0.126564	0.0816456	0.0227388	0.0103127	0.0109923	0.0178242	0.0218009	0.0288928
a57	0.202038	0.12956	0.088582	0.120011	0.0939928	0.108747	0.0491607	0.0301892	0.0383019	0.0576961	0.0426905	0.0390311
a38	0.197035	0.144953	0.08868	0.0835035	0.0856228	0.124138	0.0769649	0.0483228	0.038846	0.0438692	0.035585	0.0324793
a24	0.119151	0.110819	0.0663115	0.0533527	0.062297	0.111007	0.0993102	0.0882391	0.0718037	0.0878261	0.0693517	0.0605302
a0	0.0660612	0.0693464	0.0505496	0.0414823	0.0493245	0.0927307	0.141275	0.164526	0.110874	0.101559	0.063783	0.0484889
a75	0.0663617	0.0635957	0.0567729	0.0482167	0.052783	0.0888524	0.134982	0.148954	0.10086	0.0986193	0.0738	0.0662032
a6	0.0341584	0.0348094	0.0416339	0.0365635	0.0450474	0.0604666	0.121896	0.161851	0.125641	0.131698	0.111364	0.0948715
a5	0.0312976	0.0277627	0.0366976	0.0335166	0.0408685	0.0441595	0.0891239	0.117891	0.119126	0.14453	0.160669	0.154358
a75	0.061696	0.0438931	0.061536	0.0627068	0.0746436	0.0682798	0.132057	0.152442	0.102441	0.0861675	0.0779959	0.0761416
a85	0.0193947	0.0147956	0.0217879	0.0254901	0.0273731	0.0280551	0.0815511	0.126515	0.16299	0.168317	0.173212	0.150517
a92	0.0129493	0.0108886	0.0177548	0.0214379	0.0218087	0.0227394	0.0670394	0.105157	0.168951	0.192193	0.197711	0.161371
a37	0.0153378	0.010859	0.0180852	0.0220829	0.01978	0.0168397	0.0574498	0.100393	0.19142	0.191919	0.187215	0.168619
a98	0.0252589	0.0192004	0.0264881	0.0279306	0.0250417	0.0217108	0.0491836	0.0649169	0.13991	0.188814	0.191945	0.2196
a15	0.0043674	0.00316548	0.00476059	0.00545068	0.00439424	0.00442117	0.0131925	0.0236423	0.103483	0.211746	0.273031	0.348346
a98	0.00500986	0.00445639	0.00642793	0.00611379	0.00455852	0.00434329	0.0101686	0.0151678	0.0474182	0.138572	0.262889	0.494874
a92	0.00452061	0.00376606	0.00541352	0.00607113	0.0047096	0.00508064	0.0136918	0.0209952	0.0655237	0.166276	0.276846	0.427106
a36	0.00155804	0.00135486	0.0018734	0.00192777	0.00152689	0.00172641	0.0048532	0.00896763	0.0409591	0.149077	0.296284	0.489892
a85	0.00758012	0.00640106	0.0073276	0.00580747	0.00490146	0.00533099	0.0096785	0.0108596	0.0306949	0.093382	0.232402	0.585635
a37	0.00212704	0.00166057	0.00176148	0.00163196	0.00122568	0.00184437	0.00529265	0.00957785	0.0311734	0.102887	0.273963	0.566855
a96	0.00504144	0.00391073	0.00426187	0.00345147	0.00268557	0.00366417	0.00830577	0.0125187	0.0372495	0.10293	0.234053	0.581927
a54	0.00540263	0.00405672	0.0043183	0.00398794	0.00303015	0.00457089	0.00799395	0.0118952	0.0365197	0.097014	0.239433	0.581777
a44	0.000692722	0.000595414	0.000616447	0.000584515	0.000459531	0.000929999	0.00225797	0.00411081	0.0159696	0.0796855	0.26398	0.630117
a58	0.00142152	0.00112849	0.00118469	0.00113645	0.000928707	0.00194728	0.00352344	0.00595285	0.0211258	0.0880589	0.250132	0.62346
a84	0.0280961	0.0189337	0.0189451	0.0218108	0.0197291	0.0335469	0.0562541	0.067132	0.100067	0.149217	0.187447	0.298821
a87	0.0836876	0.0637433	0.0610884	0.0755053	0.0895888	0.09807	0.0991414	0.0812884	0.0776713	0.0781638	0.0823983	0.109653
a23	0.154719	0.109712	0.0967087	0.127214	0.147444	0.133287	0.072876	0.0473212	0.0341284	0.0301153	0.0240179	0.0224565
a87	0.108126	0.0880349	0.0891463	0.132704	0.15236	0.14196	0.0634429	0.0376976	0.0373115	0.0438906	0.0475357	0.0577898
</S>	0.0210819	0.0215221	0.0189611	0.0249501	0.0329655	0.0449834	0.0393623	0.0362653	0.0595484	0.134247	0.220737	0.345376
