 	certaines	personnes	ont	du	mépris	pour	le	travail	des	autres	</S>
a15	0.160217	0.13398	0.11577	0.130611	0.124545	0.131504	0.114858	0.0418816	0.017954	0.0150653	0.0136156
a66	0.199152	0.117201	0.0861482	0.0956789	0.0619839	0.090836	0.12132	0.0892168	0.0497646	0.046003	0.0426956
a10	0.386083	0.223121	0.095581	0.0675748	0.0282717	0.0259657	0.0352511	0.0295909	0.0326522	0.0373142	0.0385941
a87	0.41518	0.227101	0.12338	0.0744868	0.0353005	0.0192763	0.0265031	0.0204588	0.017906	0.0196958	0.0207116
a3	0.302619	0.201794	0.134041	0.0938662	0.056242	0.0389911	0.0536206	0.0346562	0.0278749	0.0279428	0.0283526
a87	0.271654	0.197814	0.129995	0.0942144	0.0693008	0.0440799	0.0603952	0.037716	0.0318148	0.0326167	0.0303991
a99	0.232518	0.157354	0.0980101	0.0807769	0.0567032	0.057162	0.0974187	0.0664014	0.054764	0.0527188	0.0461735
a54	0.242649	0.132997	0.0835538	0.0653025	0.0440734	0.041644	0.0952001	0.103593	0.0789377	0.0614631	0.0505865
a5	0.147898	0.0758751	0.0721517	0.0599562	0.0676027	0.0446568	0.087554	0.129795	0.116635	0.10041	0.0974659
a18	0.0957852	0.105125	0.132552	0.116044	0.249923	0.0790799	0.0783414	0.0530991	0.0302154	0.0272933	0.0325418
a54	0.0833449	0.100392	0.128197	0.116763	0.208936	0.0886126	0.0830218	0.0604065	0.0399288	0.0384763	0.0519201
a6	0.0563487	0.076351	0.116874	0.122336	0.272501	0.1021	0.0738743	0.0467706	0.0365424	0.0415874	0.0547142
a37	0.0529687	0.0773025	0.122742	0.127249	0.298777	0.105672	0.0635921	0.0367411	0.0301035	0.036796	0.0480559
a92	0.0701399	0.0935941	0.134598	0.144827	0.267052	0.110474	0.0620564	0.0297908	0.0241834	0.0277142	0.0355709
a47	0.038083	0.0755145	0.115056	0.118089	0.253272	0.121848	0.0803802	0.0420614	0.0363584	0.0516831	0.0676539
a36	0.0358855	0.0639067	0.0932878	0.11639	0.200806	0.170731	0.103764	0.0464665	0.0411136	0.0550798	0.072569
a6	0.051699	0.0960012	0.108938	0.125576	0.162971	0.136845	0.09296	0.0393378	0.034604	0.0603715	0.0906972
a37	0.0327722	0.0774619	0.100496	0.112172	0.174069	0.115612	0.0782477	0.0427752	0.0484328	0.0847282	0.133233
a61	0.0164102	0.0410205	0.0621283	0.0943442	0.178588	0.191466	0.126874	0.0625122	0.0473583	0.072173	0.107126
a5	0.00980291	0.0263726	0.0471503	0.07861	0.19643	0.180851	0.133741	0.0888198	0.0600004	0.0758135	0.102407
a36	0.0145985	0.0292658	0.0453249	0.0669782	0.182916	0.141378	0.125873	0.121967	0.0815942	0.086237	0.103868
a37	0.00830596	0.0146434	0.0228358	0.0334403	0.0661056	0.108332	0.109411	0.119757	0.0957894	0.168346	0.253033
a21	0.00984295	0.0165381	0.0235409	0.0292496	0.0530163	0.0655047	0.0756069	0.107769	0.0988146	0.192884	0.327233
a12	0.00748586	0.0107439	0.0164634	0.022453	0.0552636	0.0554976	0.0737988	0.148215	0.162639	0.200664	0.246776
a62	0.00302482	0.00442677	0.00807094	0.0120287	0.0314561	0.0334968	0.0452578	0.115925	0.164912	0.257574	0.323827
a88	0.00177189	0.00235082	0.00395789	0.00592624	0.00990051	0.0153872	0.0216894	0.0790838	0.135973	0.307855	0.416104
a0	0.00267869	0.00289837	0.00459493	0.00697515	0.00642293	0.0100624	0.0163473	0.0573265	0.109396	0.30129	0.482008
a54	0.00615106	0.00580402	0.00765622	0.0114369	0.00623965	0.00888458	0.0153731	0.0469884	0.0943646	0.281179	0.515923
a6	0.000403452	0.000416011	0.0005798	0.000753379	0.00102785	0.00232908	0.0047651	0.0265641	0.06319	0.269129	0.630843
a92	0.00023388	0.000264768	0.000341181	0.000409076	0.000627998	0.00183564	0.00416683	0.0257666	0.067781	0.280829	0.617744
a6	0.000176447	0.000209172	0.000251286	0.000295586	0.000428419	0.00131633	0.00323539	0.0242477	0.072598	0.283346	0.613896
a36	0.00022299	0.000256786	0.000293462	0.000310602	0.000316556	0.000791123	0.00186042	0.0139391	0.0537296	0.27147	0.65681
a26	0.00226611	0.00200293	0.00238134	0.00281071	0.00130126	0.00290236	0.00615387	0.0302342	0.0849924	0.288598	0.576357
a18	0.0453639	0.0297662	0.0285298	0.0405694	0.0122769	0.0316963	0.0409965	0.0724544	0.117912	0.227203	0.353232
a27	0.0965851	0.0645493	0.0477051	0.0542757	0.017545	0.0317027	0.0418159	0.0623244	0.0997928	0.191578	0.292126
a10	0.138469	0.0996306	0.069949	0.0688539	0.0233146	0.0335543	0.0377894	0.0593058	0.0952091	0.16702	0.206904
a87	0.106635	0.0921629	0.0720249	0.0693976	0.0311962	0.035095	0.0351006	0.0552196	0.0964447	0.180619	0.226104
a23	0.0635633	0.0671738	0.0587798	0.0617046	0.0297253	0.0390676	0.0424346	0.0667963	0.120313	0.202821	0.247621
a87	0.0453437	0.0420985	0.0276499	0.0251717	0.00603762	0.0092084	0.0132843	0.0388684	0.151534	0.283114	0.357689
a85	0.00606074	0.00777487	0.00681338	0.00753287	0.00292007	0.00574743	0.00882877	0.0325002	0.14101	0.331808	0.449004
</S>	0.0122749	0.0166673	0.0140705	0.0147805	0.00568625	0.0107522	0.0157997	0.0464033	0.158232	0.323036	0.382298
