 	il	regarde	en	l'	air	</S>
a23	0.285714	0.181564	0.14544	0.125358	0.132088	0.129836
a87	0.367434	0.100172	0.0819059	0.0921155	0.151779	0.206593
a23	0.311393	0.140745	0.119611	0.126249	0.141995	0.160006
a87	0.236502	0.0980391	0.0824931	0.117075	0.21668	0.249211
a23	0.229843	0.144075	0.11963	0.135537	0.180069	0.190845
a79	0.182713	0.0916023	0.0882618	0.118636	0.212044	0.306743
a20	0.372667	0.128266	0.136525	0.119669	0.122434	0.12044
a30	0.35236	0.202034	0.192094	0.127772	0.0728725	0.0528669
a35	0.339701	0.261029	0.217499	0.113217	0.0431473	0.0254058
a30	0.278612	0.237805	0.233249	0.146182	0.0643792	0.0397727
a44	0.234499	0.234718	0.235802	0.16803	0.0718073	0.0551433
a57	0.19877	0.21356	0.223779	0.185595	0.0972337	0.0810631
a87	0.0735316	0.0943501	0.160826	0.224134	0.224565	0.222593
a79	0.0452167	0.0577656	0.0874762	0.134321	0.275923	0.399297
a30	0.042577	0.0518587	0.0904798	0.148264	0.308962	0.357858
a41	0.120867	0.152944	0.187177	0.197237	0.183367	0.158408
a24	0.0745921	0.100021	0.115384	0.157123	0.246139	0.306741
a25	0.0309314	0.0422678	0.0500781	0.101566	0.284644	0.490512
a87	0.0159355	0.0213062	0.0299868	0.0638622	0.276271	0.592638
a79	0.00274246	0.00451137	0.00836275	0.0293781	0.25404	0.700965
a90	0.00441241	0.00633725	0.0141516	0.0487687	0.234177	0.692153
a70	0.01221	0.0107656	0.017656	0.0605875	0.283459	0.615322
a4	0.00863449	0.00805457	0.014447	0.0506854	0.227924	0.690255
a57	0.00504279	0.00455521	0.00905249	0.033473	0.192079	0.755798
a9	0.01607	0.0114309	0.0188638	0.0549068	0.176586	0.722143
a87	0.0289903	0.0296161	0.0287565	0.0665026	0.161211	0.684924
</S>	0.0348988	0.0428118	0.040316	0.0704495	0.20169	0.609833
