 	son	ami	lui	a	donné	un	coup	de	poing	au	visage	</S>
a66	0.260022	0.172818	0.115366	0.0783383	0.0600426	0.0616663	0.0673946	0.0606745	0.0429558	0.0320034	0.0264944	0.0222246
a87	0.269891	0.180559	0.116713	0.0816703	0.0694174	0.0515233	0.0449095	0.0347832	0.0297631	0.0342955	0.0425588	0.043915
a23	0.30259	0.225548	0.137743	0.0891723	0.0629838	0.0398528	0.0231851	0.0169839	0.0184404	0.0225919	0.0276739	0.0332352
a79	0.267831	0.201312	0.111544	0.0738059	0.0569713	0.0375912	0.0247623	0.0198556	0.0299653	0.0494262	0.059375	0.0675596
a13	0.346709	0.22058	0.112919	0.0717609	0.0582044	0.0446899	0.0343584	0.0227022	0.0211706	0.0231582	0.0218328	0.0219144
a38	0.198936	0.162402	0.124403	0.116542	0.10289	0.0789495	0.0526893	0.0355298	0.0375379	0.035968	0.0288309	0.0253207
a62	0.133768	0.13819	0.129415	0.137346	0.132424	0.104854	0.066623	0.0452479	0.0433004	0.0327807	0.0192967	0.0167542
a21	0.0583286	0.0713967	0.0903843	0.12828	0.152435	0.139539	0.0939282	0.0673526	0.0682534	0.0566122	0.0391987	0.0342918
a5	0.053153	0.0720936	0.104926	0.150647	0.175191	0.161946	0.0979952	0.0552636	0.0405203	0.0344339	0.0274639	0.0263676
a43	0.044012	0.0521841	0.0785127	0.122774	0.156836	0.157492	0.108911	0.0724002	0.0571121	0.0523161	0.0493256	0.0481241
a11	0.0352597	0.0382239	0.063603	0.113981	0.158914	0.172465	0.122283	0.0728764	0.0544047	0.0527033	0.0560298	0.0592563
a93	0.0337471	0.0315063	0.0457654	0.0788724	0.117504	0.151962	0.131908	0.0928673	0.0730064	0.071883	0.0857114	0.0852666
a90	0.0409826	0.0354703	0.0476892	0.0752234	0.103918	0.136897	0.135701	0.110083	0.0812443	0.0725778	0.0797909	0.0804219
a69	0.0268327	0.022497	0.031562	0.0486803	0.0702406	0.0972618	0.120193	0.125513	0.110775	0.112918	0.117963	0.115563
a90	0.0154597	0.0123678	0.0172208	0.0267219	0.0412316	0.0612127	0.0942342	0.128235	0.144262	0.154364	0.154872	0.149819
a56	0.0154872	0.0115207	0.0142034	0.0191405	0.0286491	0.042617	0.0708759	0.115053	0.157108	0.178934	0.174805	0.171606
a32	0.0058116	0.00396519	0.00458891	0.00559475	0.00875927	0.0143839	0.0305977	0.0702987	0.136027	0.222479	0.242824	0.254671
a31	0.00296763	0.00179602	0.00207517	0.0025709	0.00427092	0.00620729	0.0125957	0.0315582	0.0835458	0.204326	0.293379	0.354708
a12	0.000700475	0.000389963	0.000414408	0.000491462	0.000785763	0.00114067	0.00292278	0.00935678	0.0342923	0.123517	0.306312	0.519676
a88	0.000902461	0.000503839	0.000517964	0.000595513	0.000908389	0.00119647	0.00295745	0.00862399	0.0283608	0.1079	0.309378	0.538154
a71	0.000387612	0.00021601	0.000237435	0.000281088	0.000449844	0.000669127	0.00198443	0.00630021	0.0220814	0.0941879	0.304778	0.568426
a9	0.0233052	0.0131592	0.0130912	0.0125147	0.0154173	0.0173713	0.0308622	0.0505244	0.0753364	0.119284	0.229895	0.399239
a87	0.182173	0.0992569	0.0759032	0.0556254	0.0509223	0.0451942	0.0510967	0.0603306	0.0695922	0.074389	0.0966052	0.138911
a23	0.221853	0.158968	0.117231	0.0845035	0.0686625	0.0553283	0.0424324	0.0427099	0.0454482	0.0454835	0.0528617	0.0645188
a87	0.121825	0.0675819	0.0397547	0.0238151	0.0186626	0.0137269	0.0135	0.0218342	0.0441655	0.123512	0.189599	0.322022
</S>	0.015974	0.0093639	0.00751143	0.00621445	0.00643036	0.0062494	0.00922444	0.01986	0.0555419	0.159744	0.255564	0.448322
