 	l'	enfant	d'	ondongo	a	commis	le	délit	de	voler	des	beignets	</S>
a66	0.127012	0.127437	0.135438	0.154331	0.153765	0.118496	0.0841257	0.0420962	0.0226848	0.0145735	0.00757769	0.00640288	0.00606071
a87	0.321897	0.155947	0.067954	0.0870887	0.128851	0.0910989	0.0568983	0.0241723	0.0156951	0.0133435	0.0113051	0.0140612	0.0116878
a57	0.200132	0.1354	0.0996402	0.155927	0.178658	0.0981784	0.0582832	0.0212191	0.0105527	0.00928013	0.00901683	0.0118791	0.0118333
a87	0.161435	0.149519	0.144365	0.18433	0.168332	0.0756829	0.0519158	0.0156906	0.00947372	0.00889204	0.00854249	0.0109558	0.0108662
a23	0.150768	0.143983	0.151437	0.188775	0.169185	0.0739413	0.0564479	0.0185636	0.0110469	0.00946401	0.00828679	0.00918915	0.00891212
a90	0.111972	0.0974871	0.104575	0.146726	0.159068	0.112298	0.0836743	0.0409904	0.0297561	0.0269612	0.0287917	0.0290732	0.0286262
a98	0.177023	0.152684	0.106636	0.0980384	0.132953	0.142423	0.0857042	0.037661	0.0201953	0.0144173	0.0120247	0.0101564	0.0100831
a92	0.119548	0.136314	0.114873	0.0916293	0.144321	0.175709	0.11156	0.0465556	0.0199413	0.0123756	0.0102987	0.0083775	0.00849674
a56	0.094068	0.0945862	0.0751431	0.0756668	0.136559	0.177233	0.133203	0.0845036	0.0486296	0.0223781	0.021611	0.0177862	0.0186318
a93	0.0961785	0.101625	0.094082	0.101392	0.172497	0.17671	0.136606	0.0572769	0.0250295	0.0112643	0.00954104	0.00850565	0.0092934
a56	0.109091	0.125579	0.117062	0.111972	0.158133	0.147966	0.125381	0.0507843	0.0207315	0.00977176	0.00830846	0.00716965	0.00805081
a75	0.112417	0.115906	0.100208	0.0958384	0.141353	0.14106	0.130814	0.0669402	0.0337149	0.0163254	0.0154872	0.0144637	0.0154735
a5	0.0426707	0.0399216	0.0482536	0.0592254	0.0962972	0.124742	0.172062	0.139311	0.10023	0.0555776	0.042045	0.0382914	0.0413733
a21	0.0548786	0.0532956	0.0727881	0.0902098	0.132965	0.147486	0.166868	0.112929	0.0618679	0.0327684	0.0253357	0.023764	0.0248439
a12	0.0284272	0.0272122	0.0457376	0.0744748	0.113034	0.133326	0.170223	0.133092	0.0887091	0.0597217	0.0454698	0.039856	0.0407167
a62	0.0193277	0.0184994	0.0327847	0.0660776	0.109038	0.126976	0.169826	0.140995	0.0971237	0.072175	0.0519391	0.0473058	0.0479323
a31	0.0226253	0.0233958	0.0394354	0.0847935	0.122573	0.128907	0.184321	0.164653	0.0929924	0.0529822	0.0291827	0.0266912	0.0274477
a88	0.0131202	0.0130154	0.0199345	0.0455976	0.0682478	0.0797144	0.140426	0.183267	0.143559	0.102125	0.0661105	0.0617386	0.0631435
a71	0.012034	0.01336	0.0201118	0.0417142	0.0550898	0.0595677	0.108295	0.184511	0.163257	0.135808	0.0696025	0.068035	0.0686139
a11	0.0156918	0.0219917	0.0403171	0.0834115	0.0818122	0.0634771	0.0852521	0.118309	0.125944	0.142741	0.0742399	0.0755844	0.0712279
a70	0.0175815	0.0240523	0.0407589	0.0713348	0.0662817	0.0554751	0.0654847	0.0906518	0.112672	0.158584	0.0975725	0.103986	0.0955643
a93	0.0146282	0.0175558	0.0248588	0.0390926	0.0379694	0.0334787	0.0423335	0.0717172	0.111487	0.193323	0.143268	0.139016	0.131271
a56	0.0132651	0.0124761	0.0144048	0.0232665	0.0256596	0.0248149	0.0369615	0.0764882	0.123022	0.199609	0.16611	0.151409	0.132514
a75	0.00293328	0.00280886	0.00369647	0.00723269	0.00943681	0.0112824	0.0220941	0.0545953	0.100836	0.170087	0.201294	0.214692	0.199011
a85	0.00159734	0.00165187	0.00282174	0.00638537	0.00844207	0.010446	0.0202431	0.0422587	0.076778	0.137219	0.203459	0.244428	0.24427
a6	0.0010531	0.00112913	0.00260543	0.00569622	0.00651959	0.00794975	0.0142959	0.030738	0.0530511	0.114834	0.202205	0.26299	0.296932
a36	0.00156205	0.00139052	0.00206385	0.00462793	0.0046493	0.00488332	0.00851667	0.0180857	0.0381907	0.0907429	0.182936	0.291637	0.350715
a2	0.00251141	0.0020197	0.0026214	0.00609452	0.00544699	0.00470818	0.00642495	0.0112762	0.0274257	0.0594137	0.153574	0.321835	0.396648
a57	0.0358171	0.0273718	0.0270683	0.0310762	0.0332684	0.0349988	0.0265129	0.0246992	0.0354514	0.0487057	0.117097	0.241392	0.316541
a87	0.0546058	0.0397544	0.0440144	0.0608846	0.0741389	0.0723714	0.0525329	0.0464114	0.060682	0.0794747	0.106835	0.131147	0.177148
a23	0.120559	0.0640924	0.0452458	0.0773513	0.0969058	0.0797883	0.0533415	0.0482189	0.0616592	0.066554	0.0814791	0.0874296	0.117375
a10	0.0333028	0.0157294	0.0111033	0.0216068	0.0277968	0.022401	0.0231436	0.0282891	0.0597954	0.102152	0.168688	0.249092	0.236899
a38	0.0098101	0.0057594	0.00477811	0.0119209	0.0168797	0.0145808	0.0197871	0.0267831	0.0521366	0.0890813	0.164616	0.294652	0.289215
a50	0.00878073	0.0050477	0.00456071	0.0165084	0.0288538	0.0260009	0.0356056	0.0373632	0.0647257	0.0947183	0.150827	0.264124	0.262884
a75	0.00527482	0.00283315	0.00236876	0.00797143	0.0136445	0.0130292	0.0164153	0.0213879	0.0500486	0.0976516	0.191353	0.287486	0.290536
a92	0.0013441	0.000607614	0.000559228	0.00179719	0.00347441	0.00441986	0.00906827	0.0213853	0.0631333	0.117846	0.202615	0.269689	0.30406
a79	0.000200307	0.000158494	0.000307623	0.000920826	0.00150458	0.00219584	0.00553388	0.0162343	0.0521693	0.107176	0.24128	0.274604	0.297715
a92	0.000112531	0.000118012	0.000269069	0.000763399	0.00110689	0.00144959	0.00357685	0.00950656	0.027716	0.0596802	0.199638	0.325174	0.370888
a12	0.000164336	0.000155967	0.000291694	0.000837348	0.00126756	0.00178496	0.00440999	0.0109893	0.0278803	0.0544663	0.181603	0.336108	0.380042
a47	0.000185661	0.000173325	0.000212113	0.000439467	0.000599509	0.000749969	0.00163446	0.0058092	0.0184497	0.0441263	0.159727	0.354427	0.413466
a61	0.000134258	0.000122072	0.00017061	0.00038824	0.00053163	0.00062187	0.00127377	0.0044383	0.0150503	0.0392927	0.149067	0.362729	0.426181
a31	0.000362884	0.000279375	0.000289299	0.000547838	0.00071564	0.000763229	0.00108839	0.00281134	0.0089576	0.0273616	0.127748	0.39542	0.433656
a88	0.000547879	0.000441278	0.00046755	0.000873683	0.00119259	0.00123068	0.00181612	0.00444181	0.0109464	0.0324335	0.136999	0.379185	0.429425
a71	0.000938125	0.000858785	0.00108676	0.00208328	0.00255397	0.00224916	0.00275393	0.00514336	0.0126849	0.0398689	0.157088	0.363805	0.408886
a75	0.0180514	0.0124461	0.0114384	0.0130282	0.014744	0.0157487	0.0137422	0.019975	0.0401564	0.0838911	0.200046	0.255504	0.301228
a5	8.23301e-05	6.16452e-05	7.99046e-05	0.000197662	0.000270739	0.000284194	0.000483878	0.00120422	0.00481651	0.0197787	0.124828	0.407435	0.440477
