 	cet	homme	est	musclé	</S>
a66	0.52281	0.228819	0.112354	0.0739648	0.0620518
a87	0.514955	0.256615	0.120402	0.0682895	0.0397394
a23	0.459139	0.292478	0.144854	0.0707704	0.0327582
a9	0.321412	0.216915	0.171964	0.2138	0.0759088
a20	0.266399	0.178776	0.176795	0.27096	0.107071
a6	0.430329	0.236963	0.168986	0.124543	0.03918
a37	0.32148	0.31217	0.270734	0.0744466	0.0211691
a18	0.0815596	0.192916	0.380705	0.236168	0.108652
a31	0.0600664	0.126954	0.302617	0.279516	0.230846
a0	0.0257503	0.043912	0.115417	0.254389	0.560532
a88	0.0355308	0.040824	0.0796337	0.169483	0.674529
a71	0.0341955	0.0485044	0.0881101	0.159396	0.669794
a9	0.137114	0.126338	0.126006	0.121846	0.488696
a87	0.393984	0.189061	0.142541	0.108734	0.16568
a23	0.465041	0.245735	0.153319	0.0730654	0.0628386
a87	0.464126	0.229347	0.119712	0.0617098	0.125105
</S>	0.364613	0.242614	0.157419	0.0660952	0.169258
