 	depuis	que	j'	ai	emmenagé	dans	cette	maison	je	souffre	d'	insomnie	</S>
a85	0.0858159	0.0533839	0.0334372	0.0322854	0.0605801	0.110061	0.117355	0.145191	0.167936	0.134256	0.0345898	0.0139981	0.0111092
a87	0.0709371	0.0233068	0.0239031	0.0425141	0.0603852	0.106121	0.132543	0.175156	0.173569	0.0942119	0.0425442	0.0328378	0.0219715
a23	0.0800692	0.0765534	0.0930771	0.09933	0.0842402	0.0932191	0.0858239	0.0666085	0.0751135	0.0653297	0.0583092	0.0554832	0.066843
a87	0.110812	0.0854554	0.106699	0.126086	0.0828078	0.0819742	0.0843029	0.0755366	0.0868993	0.0599781	0.0327085	0.0285715	0.0381686
a23	0.0934786	0.0780289	0.0874493	0.112832	0.0628511	0.067524	0.0811957	0.0858621	0.109283	0.0932429	0.0517388	0.0331557	0.0433573
a87	0.123547	0.0985004	0.1119	0.144539	0.053951	0.0526723	0.0563065	0.05842	0.0676571	0.0600357	0.0486805	0.0451574	0.0786328
a83	0.0949894	0.0919256	0.0990158	0.118563	0.0557334	0.0556401	0.0608286	0.0583752	0.0690237	0.0781453	0.0678474	0.0550536	0.0948594
a62	0.213625	0.188461	0.134038	0.132193	0.0475691	0.0384741	0.0326487	0.0317288	0.0291168	0.0280709	0.029793	0.0417652	0.0525176
a47	0.275819	0.245109	0.157893	0.158028	0.0464183	0.0280117	0.019997	0.0208109	0.0161001	0.00958025	0.00595545	0.00954203	0.00673628
a88	0.159706	0.161653	0.150576	0.19147	0.101403	0.0589817	0.0422819	0.0379099	0.0305004	0.0192615	0.0117313	0.0196263	0.0148999
a9	0.116659	0.140459	0.148159	0.185672	0.131919	0.0718155	0.0514966	0.0480404	0.0350652	0.023808	0.0138209	0.0165456	0.0165403
a38	0.0803385	0.111044	0.128717	0.151817	0.136664	0.0797163	0.0652272	0.0571225	0.0491234	0.042514	0.0354334	0.0259899	0.0362922
a56	0.0481007	0.0832627	0.132589	0.167221	0.148828	0.0772702	0.0597407	0.0488871	0.0368947	0.033165	0.0348122	0.0421111	0.0871174
a21	0.050428	0.0751754	0.117972	0.152395	0.180947	0.104417	0.0780321	0.0625687	0.0408954	0.0290559	0.0193733	0.0367595	0.0519805
a47	0.0513194	0.0742803	0.144102	0.18676	0.186507	0.102056	0.0809451	0.0672629	0.0375266	0.022655	0.00911483	0.0164836	0.0209883
