 	il	débrousse	les	alentours	de	la	case	</S>
a23	0.195442	0.1609	0.196493	0.169612	0.0891924	0.0679308	0.0635783	0.0568509
a53	0.0920759	0.112715	0.166629	0.172565	0.117281	0.103915	0.103407	0.131412
a20	0.323503	0.229523	0.196477	0.12195	0.0530966	0.0367853	0.0230195	0.0156452
a30	0.366814	0.276474	0.161997	0.0933235	0.0437444	0.0321039	0.0165338	0.00900985
a35	0.276375	0.218126	0.18294	0.143883	0.0692795	0.0496533	0.0354069	0.0243355
a30	0.311865	0.253678	0.176239	0.123426	0.0560718	0.0361591	0.0251062	0.017454
a14	0.317622	0.235895	0.165918	0.132851	0.0582712	0.0398229	0.027628	0.0219921
a35	0.23307	0.208886	0.179238	0.165624	0.0829571	0.0575182	0.0416743	0.0310332
a57	0.204242	0.196483	0.185376	0.174948	0.0935135	0.0646905	0.0470642	0.0336828
a10	0.0867826	0.11442	0.153334	0.189418	0.137551	0.12101	0.10751	0.0899741
a11	0.0713538	0.0912722	0.134124	0.167649	0.132502	0.137085	0.137053	0.128962
a75	0.0681758	0.0772224	0.111066	0.139459	0.118344	0.147612	0.167548	0.170573
a30	0.144162	0.152844	0.138496	0.127036	0.107096	0.125746	0.113007	0.0916127
a44	0.0880864	0.108044	0.135071	0.141722	0.133081	0.147422	0.1335	0.113073
a57	0.0717678	0.0775842	0.105943	0.131541	0.131753	0.153099	0.165787	0.162524
a10	0.0206523	0.0320583	0.0658618	0.096993	0.115094	0.185744	0.237308	0.246288
a94	0.0140907	0.0249296	0.0549144	0.0775204	0.099728	0.177315	0.247359	0.304143
a35	0.02167	0.0360818	0.0648651	0.0890408	0.115724	0.184816	0.228177	0.259625
a94	0.0271304	0.0290176	0.0544934	0.0746342	0.104999	0.159463	0.210642	0.339621
a13	0.00646115	0.00681793	0.0152962	0.029768	0.0580591	0.126288	0.247375	0.509934
a9	0.010021	0.013294	0.0373771	0.0652105	0.0925458	0.14624	0.231927	0.403384
a87	0.00371149	0.00596823	0.0234648	0.0510579	0.0847232	0.157425	0.259915	0.413734
a79	0.00496404	0.00616003	0.03609	0.0857835	0.122087	0.177501	0.230402	0.337013
a41	0.0107338	0.0108154	0.0580292	0.098609	0.130383	0.170054	0.221859	0.299517
a66	0.0150642	0.0140386	0.0429194	0.06755	0.0952931	0.147439	0.244975	0.372721
a25	0.00309876	0.00478173	0.0228574	0.052009	0.0932114	0.165419	0.266558	0.392065
a38	0.00270172	0.00405877	0.0205992	0.0418414	0.0718662	0.130062	0.262229	0.466641
a41	0.00230996	0.00304329	0.0203169	0.0467757	0.0778623	0.140818	0.271471	0.437402
a35	0.00128416	0.00196422	0.0140165	0.0341298	0.0679035	0.142652	0.277488	0.460562
a14	0.00103174	0.00128038	0.00765772	0.0205653	0.0498793	0.118624	0.272627	0.528335
a35	0.00144757	0.001764	0.00806119	0.0213951	0.0550539	0.127179	0.269421	0.515678
a66	0.00168626	0.00182033	0.00938501	0.0244044	0.0471284	0.105492	0.249143	0.560941
a24	0.0044609	0.00472077	0.0237806	0.0505583	0.0738788	0.131389	0.253751	0.457461
a41	0.00427312	0.00448494	0.0242258	0.0545949	0.0759979	0.13043	0.238284	0.467709
a12	0.00334563	0.00365103	0.0176523	0.0374602	0.055202	0.105793	0.251054	0.525841
a98	0.00421987	0.00398805	0.0178898	0.0420764	0.0630307	0.118265	0.232519	0.518011
a25	0.00462084	0.00479081	0.0201437	0.0400504	0.0586134	0.108751	0.241772	0.521258
a87	0.0115553	0.00978427	0.0335831	0.0606478	0.0839758	0.127449	0.23758	0.435425
</S>	0.0100784	0.00923953	0.0333224	0.075679	0.102287	0.141932	0.254183	0.373279
