 	dans	ce	village	on	parle	mal	de	ngala	parce	qu'	elle	a	fait	une	bonne	récolte	d'	ignames	</S>
a27	0.0993283	0.0649549	0.0497956	0.0487428	0.0678471	0.077232	0.0817721	0.0605559	0.0462647	0.0398216	0.0406734	0.0466016	0.0395646	0.0468285	0.0571638	0.0505938	0.0410744	0.0235584	0.0176265
a57	0.143954	0.0971884	0.0648359	0.0479403	0.0547163	0.0546973	0.057417	0.0455116	0.0301415	0.0297054	0.0343413	0.0373093	0.0431914	0.0570858	0.0678286	0.0566637	0.0427892	0.025083	0.00960017
a27	0.218647	0.165064	0.0916744	0.0829279	0.0807926	0.0635434	0.0565453	0.0363757	0.0226021	0.0181553	0.0197403	0.0191342	0.0187226	0.0249522	0.0272027	0.0200733	0.0155265	0.0118605	0.00646063
a87	0.235605	0.153742	0.0886173	0.0872877	0.0807185	0.0657796	0.0590843	0.0385905	0.0231447	0.0197388	0.0199598	0.019942	0.0174493	0.0208103	0.0217592	0.0159632	0.0153214	0.010647	0.00583994
a23	0.243375	0.153453	0.0809628	0.0824801	0.0804566	0.061258	0.0553112	0.0347502	0.0210545	0.0185022	0.0201427	0.0219435	0.0193992	0.0251449	0.0265205	0.0197807	0.0198836	0.0111186	0.00446232
a30	0.147928	0.0819104	0.0606	0.0671474	0.0786584	0.0827121	0.0801695	0.0594086	0.0463839	0.0432477	0.0393757	0.0411092	0.0328943	0.0375104	0.0326862	0.020758	0.0250745	0.0149981	0.00742753
a53	0.0995408	0.061387	0.0459869	0.0485664	0.0612108	0.0712126	0.0730368	0.0566806	0.0441833	0.0427142	0.0378715	0.0454722	0.0418532	0.0448729	0.0501282	0.0395857	0.0626253	0.0448909	0.0281809
a70	0.147635	0.116107	0.112329	0.118947	0.0655663	0.0532654	0.0463662	0.0267531	0.0218164	0.0189702	0.0212448	0.028714	0.0285405	0.0294759	0.036275	0.0357994	0.0503854	0.030757	0.0110531
a94	0.109519	0.11933	0.125736	0.127262	0.0658601	0.0516022	0.0429697	0.0281668	0.0235397	0.0211626	0.0278914	0.0324832	0.0365476	0.0318541	0.0364143	0.0344215	0.0435177	0.0296264	0.0120961
a44	0.0840488	0.10082	0.112274	0.122551	0.0726655	0.0590137	0.0489519	0.0326966	0.0287929	0.025853	0.0351065	0.040615	0.0449702	0.0364679	0.0407535	0.0359717	0.0373054	0.0259461	0.0151965
a20	0.0586533	0.0725179	0.0906419	0.116083	0.0942373	0.076967	0.0626208	0.0398233	0.0345118	0.0300143	0.0362813	0.0391564	0.0439517	0.0340479	0.0380391	0.0337401	0.0349696	0.0350383	0.0287045
a54	0.0759085	0.0841958	0.0939868	0.115762	0.0804086	0.0650923	0.0524837	0.0339305	0.0286759	0.0233261	0.033564	0.0438384	0.0464413	0.0389293	0.045276	0.037336	0.0360051	0.0319968	0.0328426
a56	0.0477579	0.0533015	0.0720046	0.0925152	0.0846587	0.072505	0.0595304	0.0411734	0.0327734	0.0258721	0.0354146	0.0445977	0.0507117	0.0433353	0.051138	0.0431653	0.0456082	0.0480275	0.0559094
a96	0.0255243	0.0319873	0.0504933	0.0644527	0.0917086	0.0876681	0.0816337	0.0608431	0.0518348	0.0398796	0.0362116	0.03568	0.0397974	0.0304108	0.0331482	0.0276016	0.0323726	0.0613228	0.11743
a44	0.0168448	0.0203879	0.034641	0.0447521	0.0825131	0.0887535	0.0884998	0.0713949	0.0621044	0.0492621	0.0404204	0.035887	0.0401955	0.0287419	0.0311321	0.0245762	0.0285307	0.0609607	0.150402
a54	0.0147338	0.0184914	0.0355476	0.0509692	0.108602	0.110352	0.10173	0.0741961	0.0633967	0.0486205	0.0386191	0.0343896	0.0382128	0.0263308	0.0272431	0.0234937	0.0267481	0.0501453	0.108178
a44	0.013078	0.0160692	0.0290231	0.0417319	0.0767068	0.0855369	0.0846013	0.0694565	0.0588728	0.0471221	0.0471016	0.046486	0.0552778	0.0381467	0.038024	0.0338524	0.041374	0.0628961	0.114643
a54	0.0102622	0.0116235	0.0203234	0.0292333	0.0563142	0.0745637	0.0821628	0.0725283	0.0613117	0.0485534	0.0480545	0.0473512	0.0541076	0.0388011	0.0384518	0.0312163	0.038447	0.0722971	0.164397
a94	0.00846843	0.00944792	0.0166429	0.0246759	0.047082	0.0654625	0.0758439	0.0730773	0.0613727	0.0499822	0.0541174	0.0569263	0.066416	0.044444	0.0411876	0.0329513	0.044297	0.0704193	0.157185
a70	0.00532482	0.00615894	0.0123507	0.0190501	0.0468118	0.0706189	0.0859685	0.0786482	0.0652677	0.0528643	0.0465203	0.0464351	0.0515885	0.0341727	0.0326298	0.0271605	0.0371674	0.0735135	0.207748
a96	0.00459809	0.00517032	0.0101679	0.0159719	0.0428757	0.0632305	0.0783352	0.0735851	0.0629841	0.0520043	0.042533	0.043116	0.0464588	0.0302061	0.0288009	0.0221334	0.0327616	0.0697417	0.275325
a83	0.00345276	0.00389893	0.00810187	0.0132364	0.0421887	0.0668018	0.082983	0.0734471	0.062376	0.0505562	0.0401618	0.0419673	0.0442388	0.0266437	0.0252484	0.0197941	0.0293437	0.0609462	0.304613
a11	0.00244451	0.00262443	0.00550758	0.00900828	0.0284373	0.047439	0.0606082	0.057921	0.0511806	0.0433603	0.0323901	0.0318474	0.0333673	0.0202936	0.0189834	0.0141609	0.0218487	0.0527174	0.46586
a75	0.00240696	0.00245471	0.00480455	0.00741657	0.0211154	0.0350285	0.0461363	0.0487962	0.044626	0.0392626	0.0299005	0.0292401	0.0323442	0.0201094	0.0184527	0.014165	0.0229719	0.057871	0.522898
a54	0.00335494	0.00366598	0.0074848	0.0127886	0.0311796	0.0483968	0.0656771	0.0769712	0.0650976	0.0573329	0.0536263	0.0592266	0.0631602	0.0380881	0.0321935	0.0232679	0.0338209	0.0509525	0.273715
a7	0.00303381	0.00346519	0.0073923	0.0131113	0.025601	0.0428253	0.063102	0.0790726	0.0666506	0.0587768	0.0662232	0.0747481	0.0830101	0.0548664	0.0499241	0.0323103	0.040327	0.0425171	0.193043
a26	0.00160359	0.00166723	0.00365089	0.00668563	0.0161222	0.0270277	0.0377619	0.0524127	0.0476266	0.045389	0.0489484	0.0631399	0.0645277	0.0411814	0.0307309	0.0195211	0.0325097	0.0538608	0.405633
a2	0.00105861	0.0010346	0.00178583	0.00244486	0.00494351	0.00878634	0.0114689	0.0155578	0.0153747	0.0162272	0.0140418	0.0175627	0.0218881	0.0146349	0.00981486	0.00671263	0.0137966	0.058536	0.76433
a57	0.00856008	0.00627232	0.00763876	0.00790147	0.00950701	0.0125616	0.0146553	0.0227527	0.0225621	0.0263603	0.0281562	0.03924	0.0457444	0.0360932	0.0245691	0.0153125	0.0210598	0.0828134	0.56824
a87	0.0371326	0.0224805	0.0219903	0.0212223	0.0197161	0.0217687	0.0230634	0.0400685	0.0406323	0.0460725	0.055899	0.0806364	0.0742514	0.0593461	0.0396671	0.0237109	0.0251277	0.0861321	0.261082
a23	0.0726464	0.0398288	0.0291858	0.0274629	0.0237189	0.0261615	0.028263	0.0509809	0.0461008	0.0479744	0.0729453	0.103857	0.0934429	0.0769219	0.0527806	0.033864	0.0323458	0.060082	0.0814368
a87	0.130416	0.0702852	0.0491846	0.0389366	0.0263124	0.0261173	0.0265873	0.0460997	0.0366859	0.0350888	0.0573065	0.084677	0.0715348	0.048749	0.0373011	0.0298991	0.0245578	0.0571182	0.103143
</S>	0.0740109	0.0511658	0.0433158	0.0396643	0.0289188	0.0324895	0.0372336	0.0609524	0.0489896	0.0422225	0.0700995	0.10898	0.0906407	0.0566778	0.0369606	0.0252747	0.0206438	0.0411643	0.0905952
