 	la	manière	dont	il	caresse	t'	enfant	montre	son	amour	</S>
a66	0.258817	0.15063	0.102438	0.122854	0.101893	0.0896142	0.0691569	0.0376318	0.025105	0.0208768	0.0209835
a87	0.431341	0.225605	0.137548	0.0559877	0.0376502	0.0372625	0.0245214	0.0165754	0.0126595	0.0117055	0.0091436
a79	0.339358	0.288482	0.213417	0.0693876	0.0253963	0.0177131	0.0109329	0.00918803	0.00847994	0.00946482	0.00817956
a5	0.243748	0.280392	0.21042	0.0614988	0.041616	0.0395861	0.0268304	0.0255001	0.0208028	0.0237212	0.0258847
a37	0.260446	0.218996	0.157369	0.0775788	0.0531944	0.0503066	0.0402359	0.0359733	0.0327421	0.0372417	0.0359153
a85	0.354833	0.319874	0.165048	0.0608883	0.029895	0.0189357	0.0128519	0.010823	0.00836321	0.0100151	0.00847329
a92	0.225639	0.196038	0.117462	0.105533	0.0827337	0.0596174	0.0456725	0.046165	0.037779	0.0431403	0.0402196
a21	0.182274	0.20562	0.147008	0.127695	0.114223	0.0755321	0.0415206	0.0335872	0.0241995	0.0250828	0.0232575
a85	0.164962	0.194177	0.192792	0.13477	0.111527	0.073521	0.0364131	0.0258677	0.019217	0.0208775	0.0258764
a21	0.0369169	0.0549395	0.0645145	0.107567	0.150442	0.163957	0.126091	0.0982276	0.068187	0.062713	0.0664441
a47	0.120744	0.111155	0.124378	0.148266	0.146246	0.123342	0.0682957	0.0464893	0.0356694	0.0334946	0.0419195
a21	0.0664588	0.0579644	0.0873911	0.192028	0.199585	0.178313	0.089429	0.0521146	0.0290276	0.0227716	0.0249175
a47	0.0303653	0.0257823	0.0356121	0.142746	0.181168	0.194627	0.115117	0.0840272	0.0628854	0.0578734	0.0697964
a31	0.0224403	0.0194897	0.0251637	0.125982	0.169365	0.205786	0.137865	0.0975934	0.0640044	0.0585805	0.0737299
a75	0.0255414	0.0226206	0.0267343	0.0959329	0.135231	0.187901	0.134927	0.101315	0.0733042	0.0893355	0.107157
a93	0.00520525	0.00427273	0.00490748	0.0350397	0.0720797	0.13025	0.138097	0.146449	0.137928	0.142619	0.183153
a70	0.0103792	0.00727641	0.00716776	0.0334338	0.0497228	0.0852723	0.105423	0.131776	0.135515	0.187232	0.246802
a11	0.0133042	0.00828804	0.00722347	0.0208229	0.0230434	0.0357497	0.0622658	0.112214	0.161522	0.244759	0.310808
a62	0.0083719	0.00512043	0.00428314	0.0116631	0.0136597	0.0215174	0.0425735	0.0946655	0.184541	0.282876	0.330729
a88	0.00193852	0.00126193	0.00115857	0.00444994	0.00609115	0.0109694	0.021914	0.0582492	0.153623	0.32292	0.417424
a71	0.000868701	0.000544763	0.000536072	0.00211968	0.00284795	0.00523203	0.0111015	0.0345975	0.13127	0.333011	0.47787
a9	0.00657754	0.00362017	0.00290968	0.00749308	0.00745193	0.00921124	0.021006	0.0563988	0.143307	0.285828	0.456197
a87	0.0332135	0.0196625	0.0175191	0.0339421	0.0341551	0.0399539	0.0642726	0.0974817	0.131997	0.203527	0.324275
a23	0.0714308	0.0338912	0.0256198	0.0626569	0.0793173	0.1006	0.135876	0.14002	0.111293	0.110024	0.129271
a30	0.0193223	0.0118333	0.0103806	0.0317313	0.0576767	0.0841093	0.103699	0.17534	0.180589	0.163734	0.161584
a87	0.00601792	0.00501581	0.00593593	0.0228713	0.0435455	0.0579369	0.0657664	0.130819	0.169058	0.227597	0.265436
a23	0.0138301	0.00842759	0.00622243	0.0219026	0.0364022	0.045365	0.0485854	0.0926754	0.134305	0.241634	0.35065
a87	0.0062609	0.00580649	0.00700961	0.0284941	0.0560584	0.0804406	0.083467	0.146256	0.165826	0.203359	0.217022
</S>	0.00791139	0.00617497	0.00534611	0.0210814	0.0424773	0.0562712	0.0587721	0.111648	0.151512	0.246299	0.292507
