 	ma	femme	a	porté	un	foulard	bleu-clair	</S>
a87	0.326139	0.189145	0.15189	0.0966212	0.0828243	0.0698363	0.0565596	0.0269849
a10	0.216067	0.108371	0.0842197	0.0866571	0.110616	0.139891	0.121111	0.133068
a38	0.360226	0.196485	0.141648	0.102665	0.0654528	0.052982	0.0360777	0.0444634
a11	0.383652	0.208406	0.133602	0.0753589	0.0400334	0.0381773	0.0469634	0.0738068
a98	0.35772	0.228081	0.131502	0.0869477	0.0565517	0.0610908	0.0379738	0.0401335
a85	0.349906	0.260715	0.171056	0.0900091	0.0382287	0.0315002	0.0272719	0.0313139
a0	0.272795	0.244951	0.195973	0.139007	0.0629358	0.0445892	0.0229314	0.0168178
a75	0.226492	0.217131	0.169761	0.156468	0.0764236	0.0680367	0.0546259	0.0310617
a6	0.211585	0.195697	0.150139	0.157151	0.0984702	0.0882834	0.0607152	0.0379586
a37	0.18057	0.173164	0.137573	0.155477	0.113052	0.108253	0.0787964	0.0531159
a85	0.176734	0.176177	0.146685	0.166663	0.121996	0.105408	0.0644541	0.0418839
a5	0.0831802	0.0833252	0.0759623	0.112512	0.149402	0.201585	0.177052	0.116982
a85	0.162768	0.135163	0.0965138	0.109026	0.150709	0.161555	0.108357	0.0759082
a5	0.107911	0.0867058	0.0668483	0.0786567	0.133476	0.187743	0.156739	0.18192
a21	0.117978	0.0945995	0.0649132	0.0771061	0.137573	0.189727	0.173351	0.144752
a61	0.147558	0.107554	0.0695128	0.0644032	0.098262	0.143248	0.141929	0.227533
a88	0.0297	0.0241553	0.0176267	0.0327457	0.0932286	0.18905	0.210605	0.402889
a11	0.0116545	0.00949335	0.00786323	0.0152301	0.0445476	0.110128	0.218943	0.582139
a34	0.00340514	0.00305823	0.00274685	0.00594855	0.0199429	0.0558594	0.174807	0.734232
a21	0.0052076	0.00490148	0.00437926	0.00875595	0.025332	0.0609811	0.152066	0.738376
a85	0.00381502	0.0034349	0.0031195	0.00485417	0.0124368	0.0324892	0.0857633	0.854087
a36	0.00156038	0.00169806	0.00176063	0.00310244	0.00939086	0.0313476	0.0794738	0.871666
a27	0.0042847	0.00423788	0.0052875	0.00980096	0.026669	0.0654083	0.111187	0.773125
a61	0.0471508	0.03034	0.0245657	0.0306841	0.0551892	0.109176	0.150895	0.551999
a62	0.00263909	0.00207394	0.00180167	0.00260742	0.00785992	0.0200798	0.0478299	0.915108
a88	0.00261998	0.00261603	0.00242668	0.00423918	0.0125202	0.0301138	0.0634399	0.882024
a75	0.00143748	0.00150111	0.00147636	0.00275264	0.00880518	0.0243056	0.0565608	0.903161
a25	0.00284572	0.0031499	0.00338759	0.00459376	0.0111847	0.025949	0.0505917	0.898298
a90	0.000586416	0.000773442	0.00113376	0.002971	0.0114062	0.0370982	0.0825517	0.863479
a69	0.000399177	0.000513196	0.00073848	0.00195417	0.00834024	0.0266185	0.0587009	0.902735
a27	0.000461058	0.00065003	0.000986716	0.00288002	0.0121303	0.0348717	0.085935	0.862085
a10	0.013804	0.0138827	0.016076	0.0226428	0.0434968	0.0903849	0.170946	0.628766
a87	0.104341	0.0797347	0.0626815	0.0641311	0.0920834	0.135565	0.178592	0.282872
a10	0.121027	0.0798909	0.0561063	0.0545704	0.0750108	0.108133	0.153353	0.351908
a87	0.0561793	0.0390078	0.0302025	0.0353975	0.0608112	0.110499	0.199985	0.467918
</S>	0.0432143	0.0314716	0.0246121	0.0306403	0.0620292	0.107596	0.173392	0.527045
