 	je	n'	ai	pas	d'	argent	</S>
a87	0.336475	0.156517	0.130743	0.146222	0.115183	0.0683756	0.0464833
a23	0.400151	0.21075	0.1353	0.0953092	0.0726847	0.0468365	0.0389693
a83	0.369014	0.264512	0.164901	0.0787582	0.0487942	0.0380485	0.0359721
a31	0.517129	0.236515	0.115456	0.054659	0.0371929	0.0217426	0.0173053
a47	0.482431	0.291879	0.144989	0.043515	0.0185964	0.0105571	0.00803164
a61	0.407379	0.303393	0.175937	0.0570878	0.0249516	0.01656	0.0146923
a21	0.384546	0.286111	0.189027	0.0737678	0.0320113	0.01939	0.0151471
a96	0.362817	0.283163	0.201371	0.0817902	0.0355344	0.0208628	0.0144624
a61	0.186355	0.218956	0.226878	0.161452	0.0951492	0.061461	0.0497493
a21	0.141786	0.17143	0.200128	0.186828	0.131412	0.0917803	0.0766348
a61	0.128312	0.132484	0.169067	0.20453	0.160342	0.117344	0.0879209
a75	0.0559524	0.0675854	0.102626	0.202539	0.242726	0.185981	0.142591
a85	0.0644304	0.0657557	0.0879306	0.168649	0.22211	0.209611	0.181514
a56	0.0447574	0.047879	0.063054	0.120988	0.199584	0.246792	0.276946
a94	0.0224288	0.0248762	0.0343502	0.0880723	0.199873	0.31	0.3204
a76	0.0177806	0.0175602	0.0225185	0.0558475	0.141851	0.301177	0.443265
a56	0.0062209	0.006604	0.00916838	0.0297833	0.0990251	0.284636	0.564562
a90	0.00230134	0.00259696	0.00407445	0.0162158	0.0653507	0.244532	0.664928
a57	0.00422386	0.00455774	0.00661207	0.0210786	0.0720388	0.260689	0.6308
a40	0.00073601	0.000886534	0.0016924	0.00857966	0.0461254	0.218544	0.723436
a54	0.00342969	0.00327229	0.00483511	0.0150062	0.0524849	0.19547	0.725502
a47	0.00199599	0.00200664	0.00335022	0.0114517	0.0462733	0.18884	0.746082
a36	0.00266483	0.00371082	0.00749097	0.0254053	0.0900798	0.263641	0.607007
a57	0.00139516	0.00141763	0.00282817	0.0117416	0.0571203	0.239656	0.685841
a87	0.0137014	0.0105878	0.0127544	0.0230334	0.0676927	0.238841	0.633389
a23	0.126887	0.0999336	0.0964794	0.116845	0.154257	0.20323	0.202369
a10	0.0688724	0.0507215	0.0505291	0.0899045	0.180188	0.279744	0.280041
a87	0.0193685	0.0196346	0.0267779	0.0625531	0.144129	0.279157	0.448379
a23	0.0299737	0.0309636	0.0411747	0.0851638	0.162314	0.274527	0.375883
a87	0.0216235	0.0233242	0.0302221	0.0725574	0.158746	0.290734	0.402793
a23	0.0211562	0.0222294	0.0292061	0.06356	0.137642	0.267226	0.458981
a97	0.041122	0.0344657	0.0365256	0.07334	0.147915	0.267947	0.398684
</S>	0.0640977	0.0530662	0.0542597	0.0849439	0.146461	0.235125	0.362047
