 	le	poulet	qu'	ils	sont	en	train	de	manger	a	crevé	d'	étouffement	</S>
a23	0.0863917	0.0796147	0.0859361	0.0891261	0.106411	0.148285	0.137646	0.110305	0.0592476	0.0342822	0.0220732	0.0152296	0.0125344	0.0129183
a87	0.0861171	0.0710347	0.0721428	0.0789454	0.085132	0.0993561	0.108293	0.134228	0.0977664	0.0532111	0.0357795	0.0248484	0.0280631	0.0250829
a10	0.0801314	0.0903753	0.0826043	0.0690342	0.0658983	0.0616961	0.0471353	0.0656503	0.0655773	0.0669915	0.0704831	0.072371	0.0856124	0.0764396
a75	0.131792	0.0983385	0.0848069	0.0593668	0.0634701	0.0654624	0.0494166	0.0731484	0.0764391	0.0729639	0.06744	0.0511145	0.059645	0.0465961
a61	0.311387	0.126569	0.097897	0.0728041	0.0689782	0.0540093	0.0380597	0.0301206	0.0314268	0.0409936	0.0459067	0.0361389	0.0288096	0.0168995
a43	0.350783	0.186313	0.137462	0.0810819	0.0636188	0.043316	0.0233883	0.0170539	0.0133912	0.0148656	0.0170751	0.017417	0.0186034	0.0156299
a21	0.214814	0.165645	0.140469	0.0973268	0.0968554	0.0756733	0.0518255	0.0339464	0.0237142	0.0212243	0.0187513	0.0176404	0.020308	0.0218061
a61	0.234377	0.16751	0.152377	0.114003	0.118711	0.0745253	0.0388962	0.0166569	0.0136424	0.013013	0.0125702	0.0135013	0.0160658	0.0141509
a47	0.163459	0.155489	0.152409	0.121945	0.119479	0.076483	0.0483396	0.0242765	0.0225421	0.0219934	0.0218735	0.0223128	0.0231041	0.026294
a83	0.130444	0.147569	0.148285	0.132243	0.128849	0.0830758	0.0587487	0.0271259	0.0242437	0.0214084	0.0221026	0.0226715	0.0234273	0.0298077
a75	0.0803945	0.131447	0.134675	0.12552	0.108364	0.0735598	0.0643043	0.034813	0.0348924	0.0331575	0.0362864	0.0413346	0.0440728	0.0571788
a41	0.0875713	0.124022	0.128026	0.127152	0.121732	0.0897292	0.0722349	0.0323495	0.0303471	0.0269013	0.0322089	0.0398074	0.0401976	0.0477203
a44	0.0553626	0.0874503	0.0989694	0.111253	0.118679	0.102183	0.0865503	0.0402138	0.0370414	0.0351856	0.0434549	0.0571803	0.0550203	0.0714571
a98	0.0394076	0.0620023	0.0727006	0.088754	0.0895757	0.084858	0.0946668	0.0499959	0.0488306	0.046721	0.0600137	0.0790964	0.0782423	0.105135
a85	0.038973	0.0493784	0.0596516	0.0736379	0.0800901	0.078449	0.0896718	0.0488934	0.0480279	0.0475401	0.0668971	0.0957922	0.0973798	0.125618
a27	0.0318684	0.0370376	0.0507134	0.064911	0.067148	0.0575131	0.0757348	0.0442932	0.0525265	0.0464354	0.0725754	0.113158	0.125829	0.160256
a75	0.0194092	0.0247459	0.0264219	0.0313296	0.032173	0.0349538	0.0619245	0.0551451	0.0714478	0.077965	0.0994862	0.143235	0.137721	0.184042
a85	0.0194629	0.0189523	0.0224822	0.0271877	0.0261672	0.0220771	0.0454112	0.037064	0.0595124	0.0572834	0.0982783	0.160279	0.176898	0.228944
a73	0.0218922	0.02047	0.0261423	0.0319663	0.0339012	0.0295972	0.0492329	0.0436049	0.0648915	0.0632175	0.106803	0.1589	0.163148	0.186233
a44	0.00609428	0.00682176	0.00753186	0.00882833	0.00864862	0.00778498	0.0175777	0.0201465	0.0494729	0.0751568	0.134731	0.213768	0.201292	0.242145
a34	0.00381515	0.00454257	0.00484342	0.00568032	0.00531998	0.00456814	0.012227	0.0153935	0.046718	0.0744675	0.129668	0.213708	0.215152	0.263896
a62	0.00273018	0.00336823	0.004037	0.00501369	0.00492218	0.00449516	0.0126171	0.0182693	0.0526633	0.0785834	0.126833	0.185371	0.206314	0.294782
a83	0.00215359	0.00295066	0.00332423	0.00418161	0.00413498	0.00383966	0.0092468	0.0140106	0.0404659	0.0649007	0.0998168	0.172578	0.227997	0.3504
a71	0.000618991	0.000940814	0.00103057	0.00136293	0.00140481	0.0014052	0.00370827	0.00696528	0.0238873	0.0526936	0.0790078	0.176167	0.267442	0.383365
a83	0.00067597	0.000559477	0.000476509	0.000530107	0.000496795	0.000574274	0.00184834	0.00543728	0.0255207	0.0696276	0.0989186	0.201437	0.269687	0.324211
a99	0.000196941	0.000231951	0.000226623	0.000278689	0.000284539	0.000359933	0.00113659	0.00422707	0.0184911	0.0639902	0.0951652	0.21367	0.283059	0.318682
a87	0.000432579	0.000296536	0.000250936	0.000320415	0.000321249	0.000428782	0.00146567	0.00544866	0.0191054	0.0496529	0.0732143	0.194851	0.301561	0.352651
a10	0.00837352	0.00485679	0.00464164	0.00612549	0.00605032	0.0073244	0.0158078	0.038231	0.0833789	0.110505	0.121178	0.176416	0.198316	0.218795
a27	0.0144561	0.0103664	0.0105293	0.0132254	0.0119567	0.0139127	0.0271013	0.0521679	0.0941365	0.11289	0.132399	0.173087	0.161759	0.172014
a10	0.0197416	0.0156361	0.0177698	0.023602	0.0235442	0.0270705	0.0414966	0.0644524	0.108303	0.127223	0.127529	0.143687	0.124221	0.135724
a38	0.0258505	0.0190576	0.0222829	0.0298977	0.0338857	0.0362839	0.0513083	0.0652943	0.105959	0.117519	0.11696	0.123077	0.119796	0.132829
a87	0.00669353	0.00695422	0.00900807	0.0138441	0.0153725	0.0158322	0.0292457	0.0400763	0.0897193	0.109857	0.130946	0.162643	0.168839	0.200969
</S>	0.00494569	0.00477774	0.00601782	0.00859228	0.0091683	0.0101046	0.0187107	0.0328509	0.0725437	0.111667	0.141171	0.167608	0.177913	0.233928
