 	c'	est	une	assiette	en	terre	</S>
a23	0.457723	0.275147	0.0772521	0.0453104	0.0511171	0.0482061	0.0452449
a85	0.343411	0.250916	0.150929	0.0965969	0.0643916	0.0487475	0.0450076
a87	0.341868	0.277429	0.142043	0.0752025	0.0507694	0.0484683	0.06422
a23	0.232205	0.2208	0.182667	0.13051	0.0882741	0.0705147	0.0750295
a99	0.235812	0.199918	0.145344	0.116997	0.0902286	0.095277	0.116423
a24	0.375256	0.310734	0.149046	0.0624976	0.032946	0.0315997	0.0379208
a32	0.342957	0.287235	0.192169	0.086015	0.0402152	0.0285081	0.0229008
a11	0.303038	0.26585	0.192026	0.105951	0.0590196	0.0412893	0.032826
a20	0.234402	0.226046	0.208464	0.143225	0.0855792	0.057205	0.0450787
a73	0.275223	0.262756	0.185641	0.101997	0.069042	0.0559774	0.0493636
a94	0.273764	0.275921	0.206592	0.104905	0.0632845	0.0431475	0.0323859
a24	0.182484	0.221441	0.225742	0.148229	0.0962148	0.0692505	0.0566393
a9	0.145118	0.169695	0.176354	0.155155	0.141549	0.122322	0.0898082
a10	0.0368028	0.0518649	0.0952061	0.15772	0.197463	0.220909	0.240035
a84	0.0311531	0.0433714	0.0887652	0.162193	0.192932	0.213778	0.267809
a40	0.0241957	0.0333437	0.0661396	0.121007	0.172332	0.237923	0.345059
a73	0.0521717	0.0685226	0.115416	0.146453	0.15803	0.191751	0.267656
a58	0.0437471	0.0543401	0.0837213	0.128924	0.176765	0.239181	0.273321
a53	0.0116797	0.0143517	0.0300769	0.0823889	0.150004	0.275802	0.435696
a76	0.0169322	0.0210551	0.0365902	0.100573	0.191423	0.290433	0.342994
a94	0.0231453	0.0278657	0.0403955	0.0827032	0.179203	0.284875	0.361813
a98	0.00853323	0.00983678	0.0164558	0.0464376	0.128392	0.283841	0.506504
a94	0.00674216	0.00749073	0.0138597	0.0457782	0.135557	0.306623	0.483949
a76	0.00388104	0.0041635	0.00790246	0.0269971	0.0924164	0.268533	0.596106
a90	0.00996691	0.0102753	0.0173243	0.0423399	0.113544	0.281745	0.524805
a58	0.00657916	0.00719598	0.0130967	0.0365166	0.10058	0.275564	0.560468
a11	0.0047604	0.00462628	0.00835048	0.0235007	0.0697709	0.235199	0.653792
a75	0.00616288	0.00546351	0.0091974	0.0275029	0.0844295	0.245979	0.621265
a41	0.00473303	0.00462938	0.00923224	0.0302949	0.0875733	0.237757	0.62578
a98	0.0113087	0.00974925	0.0147983	0.0369942	0.102989	0.255576	0.568585
a38	0.00823614	0.00777535	0.0126949	0.0337371	0.0956797	0.251339	0.590538
a13	0.00859795	0.00713986	0.0106711	0.0290426	0.0833867	0.224572	0.63659
a25	0.0118557	0.0100621	0.0149892	0.0352874	0.0954631	0.235804	0.596539
a87	0.030957	0.0253306	0.0306117	0.0529433	0.120168	0.227938	0.512051
</S>	0.0203101	0.018483	0.0270533	0.0652446	0.16431	0.275828	0.428771
