 	cette	jeune	fille	garde	rancune	contre	toi	parce	que	tu	avais	refusé	de	l'	épouser	</S>
a66	0.054455	0.0676355	0.115597	0.206964	0.227172	0.094602	0.0723428	0.0536057	0.0352846	0.028676	0.0161198	0.0103211	0.00555251	0.00426027	0.00378783	0.00362415
a87	0.218528	0.164673	0.141504	0.226459	0.140222	0.0156409	0.0101952	0.00645058	0.00581965	0.00704415	0.00566217	0.00770603	0.011917	0.0142115	0.0127304	0.0112365
a23	0.357799	0.224031	0.163961	0.101989	0.0505154	0.0158991	0.0111135	0.00851452	0.00620983	0.00552008	0.00421708	0.0049747	0.00905632	0.0117168	0.01227	0.0122123
a83	0.350853	0.23406	0.157279	0.0650431	0.0358445	0.0119652	0.0104784	0.0145982	0.0140022	0.0146875	0.0100693	0.0123606	0.0151709	0.0166195	0.0179696	0.0189984
a54	0.142515	0.0857631	0.114934	0.123836	0.136124	0.0623599	0.0453564	0.0341052	0.0287615	0.0265011	0.0185583	0.0229384	0.0304527	0.0358458	0.0432629	0.0486865
a98	0.0686729	0.0558005	0.0757784	0.185472	0.20713	0.0988913	0.0689016	0.0440778	0.0374053	0.0308383	0.0193263	0.0179987	0.0232643	0.0225316	0.0226988	0.0212113
a92	0.0552609	0.0465982	0.0747542	0.227414	0.235816	0.0988718	0.0670199	0.0407997	0.0318725	0.0254438	0.0169043	0.0129566	0.0150712	0.014766	0.0174567	0.0189937
a12	0.0906022	0.076538	0.105975	0.209867	0.15628	0.0871664	0.0667325	0.0478749	0.0338814	0.0290679	0.0180507	0.0142238	0.015268	0.0139133	0.0163004	0.0182585
a56	0.0793489	0.0613853	0.0843312	0.156668	0.131302	0.110221	0.0936775	0.0841675	0.0635033	0.0466921	0.024906	0.0157532	0.0123063	0.0103548	0.0125057	0.0128765
a90	0.0617587	0.0506538	0.0787892	0.152379	0.136842	0.119889	0.102422	0.0926279	0.0659392	0.0452129	0.0244731	0.015012	0.0127324	0.0114709	0.0145287	0.0152685
a98	0.0357717	0.0336363	0.0544319	0.109632	0.100939	0.105507	0.100671	0.102935	0.087055	0.0698301	0.0514958	0.0335419	0.0256672	0.024247	0.0306824	0.0339567
a79	0.0178627	0.020366	0.03233	0.0647581	0.0715739	0.0916249	0.105266	0.128814	0.105389	0.0858261	0.0667858	0.0453867	0.0305246	0.0299126	0.0431566	0.0604235
a92	0.0216139	0.0253432	0.0410868	0.0738748	0.0893849	0.0968819	0.101555	0.121627	0.0999755	0.0854114	0.0686546	0.0449045	0.0278236	0.0269184	0.0342266	0.0407181
a12	0.0138948	0.0177156	0.0355804	0.0665796	0.083415	0.0884607	0.0930439	0.109857	0.0969615	0.0899261	0.0815122	0.0592257	0.0370547	0.0349315	0.0425139	0.049327
a21	0.00723294	0.00779593	0.0154311	0.0322947	0.0614401	0.0907105	0.106571	0.13642	0.115434	0.100575	0.0939681	0.0629431	0.0383261	0.0379851	0.0451569	0.047715
a61	0.00418562	0.00413013	0.00730364	0.0159227	0.0328848	0.0577932	0.0752161	0.113436	0.110685	0.106382	0.114471	0.0873537	0.0596462	0.0611718	0.0723743	0.0770432
a43	0.00472803	0.00444377	0.00646365	0.0123505	0.0257214	0.0633062	0.0922518	0.147482	0.128944	0.113249	0.104087	0.0805331	0.0496227	0.0488692	0.0569982	0.0609497
a61	0.00725013	0.0078672	0.0105697	0.0147078	0.0248546	0.0725401	0.10212	0.17715	0.156196	0.119495	0.0868895	0.0608456	0.0325553	0.0327676	0.0421995	0.0519915
a34	0.00607102	0.00626175	0.00832124	0.0137858	0.0240692	0.0633314	0.0905259	0.149832	0.136887	0.113937	0.095775	0.0800345	0.0511172	0.0472293	0.0531658	0.0596556
a75	0.00442899	0.00509311	0.00705668	0.0105863	0.0181154	0.0540643	0.0808458	0.151888	0.153901	0.125532	0.0990188	0.081864	0.0490614	0.0455066	0.0525478	0.0604907
a92	0.000662085	0.000652472	0.000930927	0.00143935	0.00319934	0.0144408	0.0304637	0.0810661	0.0999525	0.102409	0.125031	0.120408	0.096377	0.102132	0.107869	0.112967
a37	0.00102088	0.000923698	0.00116711	0.00170182	0.0033088	0.0150836	0.0306992	0.0804802	0.0984832	0.10546	0.134148	0.124137	0.0884643	0.0906601	0.107065	0.117198
a92	0.0021322	0.00200342	0.00256779	0.00313804	0.00468457	0.0177169	0.0301578	0.0697061	0.0857204	0.092075	0.116183	0.112554	0.0784923	0.0898258	0.130202	0.162841
a79	0.00121631	0.00102362	0.00115478	0.00173127	0.00278571	0.00936722	0.017681	0.045086	0.0661183	0.0783729	0.116476	0.119876	0.0972849	0.113071	0.15012	0.178635
a7	0.00178311	0.00156744	0.00178193	0.00194914	0.00272115	0.0100673	0.0166274	0.038395	0.0551547	0.0652933	0.106104	0.117649	0.0933623	0.113437	0.16419	0.209917
a84	0.0185891	0.0159223	0.0141151	0.0122751	0.0131329	0.0301376	0.0409295	0.0666032	0.0788341	0.0836966	0.109739	0.100378	0.0660551	0.07907	0.121351	0.149171
a82	0.0263379	0.0255961	0.0264762	0.0299428	0.0306773	0.045251	0.0541423	0.0675864	0.0760277	0.0788474	0.0929241	0.0772587	0.0682441	0.0792047	0.105349	0.116134
a11	0.0327401	0.0258915	0.0267774	0.0284171	0.0316467	0.0473547	0.0530811	0.0625159	0.0760083	0.0836558	0.0920408	0.0919156	0.0925029	0.0814864	0.0873011	0.0866647
a75	0.0243936	0.0173845	0.0175283	0.021557	0.023821	0.0364938	0.0410569	0.0527228	0.0697372	0.0790852	0.0868988	0.107223	0.115636	0.100146	0.103188	0.103129
a92	0.000415445	0.000265928	0.000312298	0.0006579	0.00117014	0.00350203	0.00583294	0.0117371	0.0155822	0.0193609	0.0286243	0.0344049	0.0693713	0.13656	0.284339	0.387864
a85	0.000331235	0.000284464	0.00039644	0.000852582	0.00216629	0.00784793	0.0132162	0.0234544	0.0300261	0.0377656	0.0568883	0.062172	0.0902751	0.139833	0.235203	0.299287
a6	0.000359206	0.000384041	0.000639234	0.00144881	0.00401794	0.0134523	0.0210958	0.0342136	0.0388005	0.0424738	0.0587232	0.0644383	0.0880587	0.137104	0.215689	0.279102
a36	0.000286275	0.000292837	0.000480526	0.00128424	0.0038686	0.0122052	0.019064	0.0305586	0.0368559	0.0451558	0.0632331	0.0707823	0.0959723	0.142835	0.216343	0.260783
a92	0.000498592	0.000463229	0.000573226	0.000959583	0.00181126	0.00567961	0.00868702	0.0174362	0.0219899	0.0266527	0.0458662	0.0546985	0.0953759	0.164187	0.268404	0.286717
a56	0.000202731	0.000164702	0.000171358	0.000312384	0.000677093	0.00246671	0.00451432	0.0105979	0.016105	0.0219048	0.0405225	0.0493637	0.0858894	0.145697	0.257645	0.363766
a25	0.000273299	0.000313278	0.000360013	0.00056088	0.000883062	0.00209319	0.00310564	0.00640773	0.0103149	0.0137033	0.030243	0.0439005	0.0870701	0.17027	0.277575	0.352926
a79	0.000198294	0.000154211	0.000138434	0.000155122	0.000225479	0.000892644	0.00164686	0.00454931	0.00753465	0.0091827	0.020315	0.0284369	0.0608215	0.146275	0.30683	0.412644
a98	0.000250498	0.000174577	0.000121866	0.000120728	0.000140344	0.000459599	0.000861777	0.00258482	0.00514775	0.00678043	0.0177502	0.0294662	0.0632305	0.154314	0.312113	0.406483
