 	ma	femme	poursuit	encore	ses	études	</S>
a66	0.227971	0.35248	0.279824	0.0849091	0.03158	0.0136867	0.00955016
a87	0.348092	0.505456	0.124556	0.00962991	0.00425466	0.00372701	0.00428506
a23	0.544392	0.340292	0.0920008	0.011603	0.00367629	0.00302409	0.00501164
a87	0.651275	0.252085	0.0387686	0.0119311	0.00809244	0.0139749	0.0238724
a23	0.597445	0.284353	0.0695133	0.0141036	0.00967526	0.00997246	0.0149367
a54	0.56106	0.196657	0.0700147	0.0305075	0.0336564	0.042811	0.0652938
a47	0.0890107	0.190817	0.585289	0.0844014	0.0239819	0.0127548	0.0137454
a0	0.0712905	0.135766	0.593634	0.148374	0.0289545	0.0105123	0.0114687
a85	0.0842874	0.114411	0.559871	0.187596	0.0336137	0.0104207	0.00979932
a6	0.0794299	0.130109	0.445791	0.240979	0.0607342	0.0241994	0.0187565
a85	0.0892702	0.124272	0.425307	0.238088	0.0637183	0.0339828	0.0253614
a6	0.039411	0.0738551	0.264099	0.22473	0.129662	0.144561	0.123681
a0	0.0572647	0.0971095	0.245276	0.233447	0.13574	0.141301	0.0898613
a75	0.0461636	0.0625684	0.244839	0.292278	0.14923	0.128883	0.0760394
a47	0.00750493	0.010992	0.0728724	0.24928	0.211028	0.269947	0.178375
a85	0.00307254	0.00384748	0.0250279	0.212789	0.249682	0.321672	0.18391
a79	0.00168212	0.00200913	0.00902643	0.0883009	0.182611	0.377513	0.338857
a37	0.00077027	0.0010685	0.00532014	0.0768335	0.200651	0.397749	0.317607
a92	0.0014672	0.00142385	0.00440723	0.0333811	0.150275	0.392016	0.417029
a5	0.000281001	0.000354983	0.00157623	0.0161105	0.116703	0.397905	0.467069
a36	0.000777624	0.000818836	0.00309896	0.0128323	0.0723552	0.351885	0.558232
a90	0.000753345	0.000681475	0.00192147	0.0118698	0.0484444	0.270806	0.665523
a79	0.000238882	0.000223106	0.000926837	0.00817113	0.0455837	0.295702	0.649155
a44	8.21997e-05	8.11837e-05	0.000495242	0.00592676	0.0386401	0.283092	0.671682
a58	0.000173574	0.000179174	0.00106364	0.0078593	0.0352972	0.231532	0.723895
a82	0.0006631	0.000561135	0.00261798	0.0114446	0.0502696	0.264967	0.669476
a3	0.0283361	0.0231238	0.0459882	0.0729033	0.122851	0.254195	0.452603
a87	0.189617	0.172007	0.0764987	0.0693916	0.0998981	0.155877	0.236711
a10	0.28262	0.284763	0.0890259	0.0620383	0.0652871	0.0987459	0.117519
a87	0.219545	0.223486	0.0614603	0.0493524	0.0835362	0.15889	0.20373
a23	0.144945	0.150267	0.0817515	0.0610177	0.101781	0.188323	0.271914
a87	0.0520532	0.0447788	0.0310791	0.0352291	0.104267	0.258202	0.474391
</S>	0.0247688	0.0200849	0.0223528	0.0441716	0.101786	0.23779	0.549046
