 	les	porcs	sont	en	train	de	s'	accoupler	</S>
a66	0.209674	0.245871	0.180845	0.144149	0.11968	0.0711466	0.0211994	0.00437173	0.003063
a87	0.66959	0.101949	0.0394431	0.0314462	0.0519443	0.0343137	0.0270729	0.0217787	0.022462
a40	0.405454	0.0807425	0.0452033	0.0641192	0.1215	0.0858946	0.0721543	0.0573177	0.0676151
a7	0.300576	0.215986	0.144876	0.0805746	0.101266	0.0719486	0.049554	0.0181632	0.0170554
a44	0.25752	0.28152	0.162705	0.0731161	0.0795624	0.056224	0.0456367	0.0239434	0.0197729
a93	0.210243	0.235881	0.139758	0.0993058	0.109936	0.078104	0.0640935	0.0368151	0.0258643
a4	0.144683	0.274236	0.17203	0.119034	0.111743	0.0740498	0.0536262	0.0328401	0.0177588
a93	0.0583153	0.152217	0.156946	0.189769	0.186864	0.113225	0.0607574	0.0421915	0.0397143
a4	0.0667678	0.17224	0.164241	0.185594	0.166825	0.0990429	0.054657	0.0425903	0.0480423
a90	0.0660934	0.180562	0.170327	0.175205	0.159375	0.0905998	0.0508227	0.0455843	0.0614304
a15	0.048384	0.131888	0.145796	0.169868	0.16683	0.110904	0.0642617	0.062872	0.0991957
a47	0.0401173	0.0941516	0.114452	0.148719	0.164131	0.109954	0.0748311	0.0930267	0.160617
a36	0.027832	0.0492252	0.0765211	0.125971	0.129089	0.0921981	0.0628396	0.105217	0.331107
a7	0.0315767	0.0337939	0.0504818	0.112568	0.115696	0.103173	0.0785046	0.144101	0.330106
a5	0.016797	0.0215863	0.0475083	0.110837	0.12514	0.128375	0.10138	0.14712	0.301257
a18	0.0235003	0.0281972	0.0522767	0.0913139	0.0898436	0.10607	0.104652	0.14905	0.355096
a21	0.00423699	0.00848567	0.0201642	0.0406645	0.0396183	0.0544535	0.070929	0.195175	0.566272
a85	0.00255547	0.00536253	0.0106362	0.0180898	0.0167048	0.0279637	0.0487559	0.208955	0.660976
a6	0.000382717	0.00118199	0.0050505	0.0102954	0.0106781	0.0154203	0.0315111	0.214441	0.711039
a36	0.000410019	0.00141493	0.00459286	0.00960843	0.0113247	0.018371	0.039164	0.221823	0.693291
a23	0.00128647	0.00364274	0.00873379	0.0146429	0.0154487	0.0189702	0.0345191	0.193022	0.709734
a27	0.00109314	0.00257876	0.00598668	0.0107325	0.0127752	0.0173376	0.0430826	0.2411	0.665313
a57	0.0183632	0.0180045	0.024245	0.038062	0.0532474	0.0727938	0.0973771	0.168702	0.509205
a87	0.175373	0.0733818	0.0606678	0.0880866	0.139343	0.120151	0.105737	0.0855962	0.151664
a23	0.259981	0.137645	0.101413	0.125473	0.136864	0.104413	0.0664429	0.0335184	0.0342492
a87	0.117976	0.066014	0.0576865	0.0560692	0.0860678	0.0799421	0.1237	0.177821	0.234723
</S>	0.0226743	0.0216456	0.0233005	0.0315433	0.052078	0.0629703	0.134146	0.280435	0.371206
