 	cette	manière	de	dire	au-revoir	est	celle	de	quelqu'	un	qui	ne	veut	pas	parler	</S>
a66	0.0688661	0.0483905	0.0552598	0.0506995	0.0549832	0.111716	0.124028	0.135274	0.141122	0.0882368	0.052783	0.0277481	0.0132498	0.00990415	0.00895901	0.00877958
a87	0.337412	0.196225	0.152662	0.0720757	0.0198922	0.0160365	0.0164498	0.0201419	0.017062	0.0245746	0.020313	0.0219742	0.022246	0.0184704	0.0230435	0.0214202
a23	0.4436	0.239396	0.114788	0.0568139	0.0245779	0.0232036	0.0176021	0.0162639	0.0130631	0.00872509	0.00680589	0.00598717	0.0049434	0.00464902	0.00781944	0.0117608
a87	0.392534	0.271642	0.113207	0.048644	0.0226322	0.0235635	0.0204278	0.0226291	0.025767	0.0114489	0.00871221	0.00725168	0.00526495	0.00495405	0.00772041	0.0136005
a23	0.294962	0.271442	0.12413	0.0573613	0.0239897	0.0331782	0.030286	0.0366353	0.0416866	0.0267017	0.0200915	0.0140636	0.00780782	0.00578973	0.00556872	0.00630604
a12	0.297599	0.221147	0.097754	0.0531861	0.0295937	0.0503869	0.0501909	0.0427275	0.0464914	0.0237852	0.0202716	0.0176244	0.0119845	0.0109677	0.0117123	0.014578
a5	0.262453	0.152021	0.106944	0.0683865	0.0633172	0.0947913	0.0867289	0.0456591	0.0443319	0.0174636	0.0115231	0.0102349	0.00807182	0.00931141	0.00977828	0.0089837
a6	0.154968	0.122503	0.119076	0.101644	0.0931632	0.101127	0.0963127	0.0491487	0.0575309	0.0237028	0.0164895	0.0156861	0.0117277	0.0135496	0.0128219	0.0105496
a5	0.108741	0.0815133	0.0942404	0.0835761	0.0984123	0.114228	0.115598	0.0726285	0.09092	0.0331877	0.0213803	0.0178911	0.0125044	0.017999	0.0194278	0.017753
a12	0.0860743	0.0835369	0.0933172	0.0933237	0.120046	0.121889	0.11636	0.0819748	0.085914	0.0353213	0.0225666	0.0168704	0.0104842	0.0122475	0.0105357	0.00953819
a47	0.049768	0.0611954	0.0680165	0.0750216	0.115856	0.132506	0.13306	0.105797	0.11432	0.0533483	0.0321705	0.0202905	0.0104587	0.0105171	0.0090015	0.00867274
a31	0.0341441	0.0517447	0.0624145	0.0687425	0.114605	0.141774	0.14162	0.117083	0.102143	0.0552194	0.0325151	0.0239745	0.0147943	0.0134893	0.0120536	0.0136817
a47	0.0235142	0.0398089	0.0455843	0.0600826	0.118167	0.13109	0.133081	0.122625	0.126282	0.0818012	0.0451923	0.0249461	0.0130038	0.0113116	0.0114345	0.0120762
a31	0.0207058	0.0285528	0.0322466	0.0413011	0.109883	0.132309	0.13654	0.131479	0.115653	0.0976222	0.0609915	0.0382387	0.0181722	0.0126757	0.0111403	0.0124894
a62	0.00892649	0.0148011	0.0157443	0.0215241	0.0837249	0.116218	0.132609	0.148916	0.138654	0.122299	0.0798932	0.046767	0.0218714	0.0150916	0.0149468	0.0180132
a83	0.00517054	0.00893587	0.00947814	0.0123809	0.0539114	0.0935879	0.122395	0.159294	0.159097	0.145402	0.0997554	0.05706	0.0244791	0.0153408	0.0150754	0.0186368
a9	0.00504877	0.00617055	0.00777356	0.00911922	0.030035	0.0650081	0.103531	0.166063	0.182886	0.158591	0.11343	0.0664286	0.0280406	0.0173354	0.017588	0.02295
a83	0.00553926	0.00555738	0.00736114	0.00792098	0.0132393	0.0380441	0.0672613	0.146923	0.237334	0.175805	0.134176	0.0780645	0.0316587	0.0178877	0.0153982	0.0178292
a62	0.00312188	0.00366865	0.00428279	0.00486131	0.0111758	0.0282618	0.055715	0.124958	0.199161	0.190729	0.148908	0.094245	0.0434689	0.0252756	0.0271494	0.0350179
a21	0.0029794	0.0045097	0.00535924	0.00629652	0.0208429	0.0357978	0.0552461	0.105732	0.15222	0.151034	0.135634	0.117146	0.0803373	0.0444029	0.0368822	0.0455811
a92	0.00528444	0.00592975	0.00624018	0.00689792	0.0205538	0.0324218	0.0383352	0.0646484	0.111574	0.126272	0.142885	0.1452	0.121862	0.0708445	0.0504717	0.050579
a37	0.00209047	0.00294132	0.00287047	0.00333462	0.0110572	0.019313	0.0230931	0.0457464	0.0887872	0.11238	0.132539	0.133488	0.121183	0.0904923	0.0931075	0.117577
a93	0.0022268	0.00295029	0.00338428	0.00380475	0.0095245	0.0186319	0.0306374	0.0664476	0.126719	0.138522	0.145107	0.135288	0.111751	0.0670679	0.0605406	0.0773974
