 	les	petits	enfants	sont	en	train	d'	allumer	le	feu	dans	la	forêt	il	faut	les	blâmer	</S>
a66	0.072007	0.071792	0.0742564	0.120042	0.153079	0.150315	0.122849	0.100473	0.0297099	0.0238783	0.0203278	0.0161884	0.0137626	0.00955559	0.00693891	0.00566776	0.00478536	0.00437218
a87	0.409143	0.168397	0.0975544	0.061887	0.0535061	0.0339055	0.031719	0.0384234	0.0145963	0.0179034	0.0138728	0.00931571	0.00713312	0.00486879	0.00716142	0.00749968	0.00854653	0.0145665
a23	0.281026	0.120708	0.0798707	0.0711136	0.0817552	0.0854701	0.07779	0.0769356	0.0310327	0.0254427	0.0156759	0.0101947	0.00845473	0.00541662	0.00533649	0.00534428	0.00715467	0.0112781
a40	0.179685	0.0673971	0.0439166	0.0301708	0.0343823	0.0400409	0.0637004	0.115686	0.0935061	0.07719	0.053561	0.0341437	0.0260503	0.0181628	0.0168213	0.0193882	0.0312493	0.0549478
a6	0.074349	0.0491471	0.0264369	0.0296004	0.044915	0.0670504	0.109343	0.175586	0.106365	0.0746082	0.0643099	0.0485153	0.0400685	0.0267014	0.0214571	0.0161038	0.0128046	0.0126384
a47	0.0909486	0.0600693	0.0377495	0.0371548	0.0456829	0.0570247	0.0862166	0.112594	0.11811	0.0751017	0.062681	0.044459	0.0326056	0.0234279	0.0292437	0.0304146	0.0278019	0.0287149
a6	0.0883579	0.0574523	0.0525666	0.0485424	0.0510557	0.0503033	0.067537	0.0866496	0.105926	0.071388	0.0591866	0.0418705	0.0309492	0.0239215	0.0333023	0.0433903	0.0436756	0.0439254
a37	0.0777907	0.0596229	0.0733223	0.0636134	0.060053	0.0439428	0.0470289	0.0447696	0.0680958	0.0501855	0.0456658	0.0334418	0.026713	0.0255976	0.0465947	0.0703742	0.0771091	0.0860787
a12	0.10806	0.102783	0.11318	0.0978484	0.0993173	0.0883645	0.0736069	0.0376641	0.042066	0.0297551	0.0304693	0.0231833	0.0200212	0.0190711	0.0238111	0.0271443	0.0303146	0.0333399
a43	0.074648	0.0708612	0.0809961	0.0913943	0.101004	0.111549	0.115252	0.0830103	0.0658487	0.0438925	0.0363141	0.02541	0.0189541	0.0153316	0.0145672	0.0157714	0.01748	0.0177153
a0	0.0322326	0.03273	0.0486731	0.0737434	0.093552	0.126428	0.136139	0.100419	0.0791597	0.0547083	0.0440296	0.0329369	0.0243286	0.0206969	0.0202414	0.0231142	0.0274445	0.0294233
a24	0.0238059	0.0254957	0.0382793	0.0664292	0.0914077	0.121806	0.140799	0.108628	0.0837286	0.0629967	0.0486682	0.0356025	0.0259221	0.0221072	0.0218206	0.0233857	0.0266379	0.0324792
a38	0.0197872	0.0181799	0.0214584	0.0387699	0.0573344	0.0890561	0.114045	0.101543	0.1066	0.0776204	0.0611198	0.0456635	0.0342195	0.0295841	0.0320305	0.0383762	0.0481383	0.0664744
a93	0.0145091	0.0138651	0.0164479	0.0308458	0.0462037	0.0729986	0.102272	0.0983006	0.117278	0.0855467	0.0675226	0.0495856	0.0370677	0.0313689	0.034542	0.0439261	0.0562164	0.0815034
a4	0.0101122	0.0106685	0.0143995	0.0286233	0.0465771	0.076078	0.114707	0.113591	0.141425	0.112901	0.0795926	0.0538617	0.0347974	0.0259746	0.0240452	0.0285748	0.0363569	0.0477133
a98	0.0106763	0.0115063	0.0147554	0.0276394	0.0444886	0.0724931	0.110262	0.109231	0.132102	0.103387	0.0782483	0.0565466	0.0399018	0.0288514	0.0264609	0.0320959	0.0423203	0.0590346
a15	0.00659682	0.00757696	0.00956727	0.0145272	0.0218497	0.0349785	0.0686375	0.0554751	0.117797	0.115343	0.101662	0.0819382	0.0713397	0.0587875	0.0454535	0.0464471	0.0598954	0.0821281
a0	0.00440367	0.00636631	0.010865	0.0258911	0.0433388	0.0681942	0.133837	0.0941376	0.123865	0.0864097	0.0770551	0.0584548	0.0571737	0.042978	0.0283779	0.0342359	0.0446044	0.0598118
a56	0.0143821	0.0164325	0.0212311	0.0383906	0.0544327	0.0752855	0.116239	0.0894968	0.10318	0.06385	0.0624791	0.0517528	0.0556841	0.0411814	0.0289205	0.0372897	0.053489	0.0762831
a75	0.0104719	0.0141301	0.0175073	0.0307425	0.0430416	0.0614614	0.0842759	0.0967347	0.097098	0.076524	0.0645533	0.057189	0.0552862	0.0423794	0.0348083	0.0459273	0.0704468	0.0974225
a92	0.00242645	0.00432658	0.00696483	0.0156968	0.0270046	0.0471001	0.0726081	0.0479743	0.069126	0.0563707	0.0574168	0.0612397	0.0862611	0.0901835	0.0630702	0.0740489	0.0975232	0.120658
