 	les	juges	lui	ont	donné	raison	dans	ce	procès	</S>
a66	0.171006	0.149039	0.161179	0.137956	0.159152	0.139883	0.0550027	0.0156748	0.00624797	0.00485964
a87	0.446742	0.183056	0.0983987	0.0679035	0.0735788	0.0446423	0.0275909	0.0168281	0.0194424	0.0218178
a23	0.378351	0.210592	0.117342	0.0972551	0.0890404	0.0473468	0.0188487	0.0104267	0.0111128	0.0196842
a87	0.403711	0.172377	0.0866601	0.0810964	0.0884539	0.0559165	0.0218308	0.0155918	0.0200529	0.0543102
a23	0.290071	0.158509	0.100649	0.103282	0.124999	0.0985581	0.0454785	0.0261659	0.0217141	0.0305737
a87	0.261311	0.125241	0.0867337	0.0953717	0.110144	0.0815663	0.0541046	0.0470972	0.049322	0.0891082
a23	0.254612	0.138432	0.0951434	0.107431	0.134525	0.100587	0.0555446	0.0382901	0.0318313	0.0436042
a40	0.265655	0.124903	0.0866854	0.0878338	0.0950498	0.068869	0.0536468	0.0514232	0.0588539	0.10708
a2	0.383984	0.165715	0.102561	0.0766799	0.0836792	0.0644161	0.0491169	0.0322147	0.022979	0.0186537
a40	0.257524	0.166247	0.12889	0.0848346	0.0727647	0.0568172	0.0483952	0.0549461	0.063268	0.0663125
a6	0.141496	0.0950146	0.0962769	0.0997295	0.119503	0.130948	0.0992935	0.0911927	0.0740092	0.052536
a36	0.0750757	0.0634066	0.0818322	0.0981841	0.130312	0.155537	0.118789	0.110219	0.0943375	0.0723069
a37	0.121236	0.0995269	0.113982	0.116044	0.131743	0.127868	0.0930014	0.0690261	0.0604104	0.0671629
a96	0.0997275	0.115293	0.137452	0.13993	0.152477	0.136985	0.0918488	0.0493205	0.0366048	0.0403628
a5	0.051364	0.0882568	0.127577	0.141626	0.160036	0.176153	0.11773	0.0554276	0.0390618	0.042767
a6	0.0236963	0.0509846	0.0876139	0.10836	0.135124	0.205067	0.157734	0.0859625	0.0615238	0.0839342
a85	0.0165415	0.0366312	0.0601381	0.0728856	0.0883628	0.143886	0.130914	0.12317	0.129952	0.197519
a6	0.0190088	0.0514544	0.084167	0.0961286	0.105351	0.139426	0.12952	0.11518	0.108076	0.151688
a0	0.0103638	0.0373945	0.0776161	0.102794	0.119069	0.17037	0.152086	0.114596	0.0937304	0.121981
a93	0.0127411	0.0421577	0.0869505	0.123799	0.126661	0.181736	0.140834	0.0751846	0.0702381	0.139699
a0	0.0111067	0.0300092	0.0602792	0.1028	0.117066	0.219312	0.188505	0.117343	0.0657386	0.0878415
a11	0.0146552	0.0359632	0.0646911	0.102022	0.10898	0.205458	0.184791	0.107437	0.0666219	0.109381
a90	0.0138488	0.0322581	0.0582568	0.0829489	0.0870773	0.173699	0.179264	0.130956	0.0918312	0.14986
a79	0.00521253	0.0132587	0.0266496	0.0489557	0.059024	0.132509	0.156583	0.185125	0.161237	0.211444
a56	0.00438641	0.0106992	0.0207782	0.0370336	0.0399654	0.0770126	0.0993228	0.154663	0.197053	0.359087
a62	0.00403049	0.0104984	0.0226331	0.0389055	0.0424361	0.0822486	0.103643	0.162252	0.201268	0.332085
a96	0.00485047	0.0115507	0.0234131	0.0349364	0.035153	0.0547755	0.0682015	0.134705	0.225115	0.4073
a53	0.00409178	0.00962142	0.0194843	0.0287639	0.0278833	0.0367475	0.0427953	0.0958109	0.232331	0.502471
a90	0.0013147	0.00355851	0.00800101	0.014526	0.0154815	0.0261933	0.0407267	0.120329	0.295502	0.474366
a79	0.00125146	0.00303261	0.00628084	0.0118757	0.0128302	0.0246278	0.0389747	0.110714	0.273681	0.516731
a56	0.00123171	0.00283444	0.00562346	0.0101657	0.0101887	0.0163286	0.0237077	0.0674108	0.235365	0.627144
a96	0.00160109	0.00310718	0.00539782	0.00754874	0.00611909	0.00722794	0.0111441	0.0354022	0.194448	0.728004
a88	0.00181174	0.00369947	0.00655296	0.00854142	0.00755127	0.00795483	0.0119407	0.0391292	0.230243	0.682576
a38	0.00101651	0.00195019	0.00364579	0.00526206	0.00530494	0.00583835	0.00797487	0.0297661	0.193763	0.745479
a0	0.00188387	0.00280584	0.00467084	0.00595147	0.00598954	0.00632959	0.00996569	0.0360285	0.204308	0.722066
a24	0.00226338	0.00333712	0.00599163	0.00786098	0.00828141	0.00892082	0.012864	0.0421946	0.228982	0.679304
a88	0.00147928	0.00196949	0.00291987	0.00354541	0.00389008	0.0049439	0.00737615	0.0246018	0.161266	0.788008
a98	0.00557876	0.00667661	0.00922371	0.0101776	0.00899132	0.00974935	0.0129273	0.0389327	0.207999	0.689743
a36	0.00026414	0.00041275	0.000762256	0.00107781	0.00135271	0.00205068	0.00407552	0.0224295	0.169438	0.798137
a2	0.0036256	0.00375228	0.00435489	0.00460415	0.0048339	0.00507995	0.00845176	0.0293898	0.190628	0.74528
a57	0.0520742	0.0540456	0.0578177	0.0449363	0.0248452	0.0144511	0.0273298	0.077808	0.239072	0.40762
a87	0.187726	0.0999043	0.0720828	0.0680446	0.0574076	0.0397757	0.0630496	0.083603	0.144031	0.184376
a23	0.173017	0.111645	0.0807572	0.0747981	0.0719407	0.0604003	0.0882045	0.103932	0.124657	0.110648
a87	0.103758	0.0726427	0.0344882	0.0358186	0.0384722	0.0371197	0.0635502	0.09971	0.22372	0.29072
</S>	0.0161597	0.010593	0.00641819	0.00760351	0.00852688	0.010822	0.0196554	0.051003	0.230901	0.638317
