 	je	viens	de	semer	l'	oseille	dans	mon	champs	</S>
a66	0.339673	0.204928	0.156203	0.0916003	0.0565511	0.0418219	0.0256703	0.0241674	0.0308753	0.0285094
a87	0.34305	0.221322	0.219303	0.131917	0.036085	0.0106337	0.00755706	0.00764691	0.0125689	0.00991612
a23	0.337025	0.312163	0.198057	0.0991814	0.0280551	0.00643734	0.00320002	0.00328275	0.00558071	0.00701713
a50	0.383353	0.323848	0.138524	0.0636952	0.0181798	0.00603969	0.00611478	0.0109113	0.0244102	0.0249248
a96	0.403836	0.263202	0.107249	0.0452009	0.0163092	0.011177	0.0123252	0.0206744	0.0544611	0.0655661
a94	0.525199	0.237803	0.0807156	0.0453793	0.0182017	0.013738	0.0150826	0.0187653	0.0257447	0.019371
a93	0.297697	0.208647	0.114872	0.087276	0.0862455	0.0584025	0.0422873	0.0396784	0.0390358	0.0258579
a56	0.136307	0.131294	0.131606	0.129414	0.184516	0.121017	0.0546664	0.0401367	0.0404737	0.0305698
a0	0.0681444	0.0854428	0.12425	0.149134	0.234707	0.177931	0.0667823	0.0315459	0.0317098	0.0303535
a75	0.0613918	0.0743058	0.111657	0.120066	0.262226	0.181164	0.0655162	0.034349	0.0402882	0.0490361
a85	0.0157742	0.0179521	0.0355502	0.0600402	0.169384	0.276804	0.166844	0.0862454	0.0930678	0.0783377
a79	0.0135513	0.0157305	0.0342923	0.0686751	0.162133	0.250534	0.161941	0.0931556	0.0997336	0.100254
a6	0.00834939	0.00673521	0.011451	0.016979	0.125538	0.256939	0.159211	0.10044	0.152329	0.162029
a75	0.00564988	0.00398559	0.00589978	0.00816448	0.0510291	0.135825	0.135785	0.131538	0.248622	0.273502
a5	0.00234004	0.00149971	0.00211608	0.00343615	0.0128059	0.0403676	0.06742	0.128237	0.355996	0.385781
a75	0.00303861	0.00147647	0.00168357	0.0023118	0.00580023	0.0180816	0.048743	0.116976	0.291026	0.510862
a92	0.000440889	0.000197962	0.000238098	0.000437391	0.00149079	0.00825773	0.0328684	0.0917959	0.287129	0.577144
a44	0.0002384	0.000112852	0.000127742	0.000250025	0.000854808	0.00560545	0.026832	0.0816604	0.271451	0.612868
a13	0.000669925	0.00028814	0.000277944	0.000360872	0.00139626	0.00703479	0.0308551	0.094568	0.294808	0.569741
a26	0.00892333	0.00389238	0.00303032	0.00190953	0.00368956	0.0109448	0.0317355	0.102696	0.26701	0.566169
a57	0.0521068	0.0153312	0.0113528	0.00861056	0.0145687	0.0291709	0.0549389	0.110533	0.237884	0.465503
a87	0.22409	0.130811	0.12497	0.0559574	0.0372296	0.0383894	0.049862	0.0649008	0.108127	0.165663
a23	0.299707	0.178233	0.18592	0.111444	0.0498664	0.036652	0.0350241	0.0317837	0.0406785	0.0306911
a87	0.158532	0.137348	0.133495	0.0933025	0.0407327	0.0421177	0.0722761	0.0994655	0.123298	0.0994322
</S>	0.0116034	0.0108888	0.018607	0.0260491	0.020028	0.0353496	0.0826266	0.150533	0.323632	0.320682
