 	beaucoup	de	gens	trouvent	que	la	lecture	du	mbochi	est	difficile	</S>
a66	0.169463	0.188062	0.216699	0.163487	0.109044	0.0530189	0.0365172	0.0170911	0.017142	0.0115298	0.00912548	0.00882047
a87	0.355167	0.343833	0.157414	0.0606366	0.0138439	0.00979318	0.00429585	0.00577371	0.0097392	0.00901904	0.0131266	0.0173582
a23	0.397665	0.212573	0.105534	0.0597264	0.0551357	0.0418614	0.0229184	0.0115583	0.018147	0.016627	0.0227811	0.035472
a40	0.375778	0.168053	0.0626201	0.0412236	0.0340514	0.0407653	0.0433023	0.0342438	0.0415883	0.0339932	0.0408216	0.0835588
a36	0.243188	0.20054	0.128844	0.0942928	0.0651264	0.075482	0.0521264	0.0288195	0.0275972	0.0245817	0.026784	0.0326177
a6	0.237134	0.288063	0.16899	0.119737	0.0659891	0.0405102	0.0187504	0.00902093	0.00808516	0.00871949	0.0123384	0.0226629
a5	0.168642	0.232392	0.163033	0.149948	0.0873944	0.0702503	0.0388758	0.0213994	0.015607	0.013346	0.0150517	0.024061
a12	0.138095	0.156919	0.136054	0.147511	0.127776	0.1155	0.0662144	0.0364127	0.0215548	0.0184497	0.0150682	0.0204461
a96	0.101036	0.111781	0.113907	0.128323	0.151906	0.142416	0.122065	0.0521177	0.0278894	0.0183276	0.0135747	0.0166558
a54	0.0612247	0.0701193	0.0814166	0.0948482	0.164884	0.162394	0.153513	0.0752205	0.0461739	0.0330367	0.026058	0.0311119
a15	0.0172273	0.0305735	0.0651198	0.10944	0.143436	0.148677	0.145675	0.122827	0.0652793	0.0467318	0.0382769	0.0667363
a47	0.0236236	0.0373449	0.0682956	0.102132	0.142903	0.138692	0.144913	0.121826	0.064598	0.0484132	0.0382129	0.0690466
a6	0.0177974	0.0291522	0.0600045	0.114348	0.202915	0.167558	0.131508	0.0850699	0.0498552	0.0395994	0.0354574	0.0667349
a36	0.0180109	0.0237974	0.0465923	0.0800725	0.157373	0.160878	0.156754	0.11884	0.0740827	0.0523809	0.0422819	0.0689376
a85	0.0135022	0.0151837	0.0244171	0.0475364	0.156562	0.169526	0.19646	0.119896	0.0845962	0.0567014	0.0446642	0.0709553
a47	0.00603416	0.00774402	0.014509	0.0358284	0.107984	0.15189	0.168356	0.149763	0.109485	0.0782729	0.0646895	0.105443
a15	0.00596772	0.00801478	0.0147521	0.0372345	0.141387	0.192159	0.18478	0.130852	0.0917443	0.060844	0.04891	0.0833538
a98	0.00485382	0.00554091	0.00934816	0.0250993	0.112025	0.20577	0.192447	0.145274	0.104872	0.0633118	0.0464839	0.0849741
a6	0.00583815	0.00750717	0.0140203	0.0404601	0.132092	0.173963	0.147133	0.131883	0.104195	0.0783972	0.0615102	0.103001
a92	0.00460985	0.00509732	0.00778707	0.0209178	0.0840731	0.153765	0.187633	0.140662	0.115488	0.0930812	0.076174	0.110711
a12	0.00240262	0.00262534	0.00428743	0.0120831	0.052286	0.120212	0.167396	0.166521	0.130723	0.116419	0.0998415	0.125202
a37	0.00211772	0.00265504	0.00463173	0.0120927	0.0410482	0.104437	0.178178	0.23248	0.173252	0.0955693	0.0663565	0.0871809
a66	0.00285695	0.00330339	0.00508212	0.0117604	0.0364333	0.0791785	0.133431	0.230066	0.182072	0.109616	0.0855185	0.120681
a83	0.00587151	0.00692022	0.0103803	0.0221373	0.0514347	0.0736461	0.106133	0.268995	0.19656	0.101598	0.0723917	0.0839318
a71	0.00727315	0.0084478	0.0124578	0.0240866	0.052533	0.070552	0.0868244	0.241406	0.191516	0.117297	0.0929148	0.0946907
