 	la	nuit	est	tombée	</S>
a66	0.384538	0.23213	0.174599	0.136237	0.0724962
a87	0.223596	0.221169	0.226782	0.20681	0.121643
a10	0.506318	0.255844	0.123541	0.0734566	0.0408404
a38	0.522462	0.26994	0.118445	0.0556067	0.0335473
a56	0.431593	0.23971	0.14619	0.120103	0.0624036
a31	0.436528	0.248526	0.145485	0.114071	0.0553905
a43	0.362194	0.27385	0.175096	0.116666	0.0721931
a75	0.272219	0.276429	0.217458	0.139079	0.0948159
a25	0.244216	0.245611	0.220918	0.182036	0.10722
a56	0.222747	0.21496	0.20885	0.19971	0.153734
a21	0.161726	0.158414	0.204471	0.249864	0.225525
a75	0.103465	0.120379	0.210533	0.290588	0.275035
a47	0.0598475	0.0829287	0.186071	0.303535	0.367619
a12	0.0296627	0.0349265	0.099378	0.266953	0.56908
a61	0.0272069	0.0325275	0.0841587	0.228895	0.627212
a75	0.0230126	0.0281923	0.0713554	0.202413	0.675027
a6	0.0166923	0.0209091	0.0522558	0.159376	0.750767
a37	0.0126878	0.0156406	0.0406841	0.14205	0.788937
a26	0.0199421	0.0246631	0.0535791	0.18614	0.715675
a38	0.121476	0.116397	0.138923	0.208043	0.415161
a27	0.108042	0.109531	0.143218	0.225935	0.413273
a26	0.130201	0.11965	0.140375	0.208133	0.401641
a27	0.187468	0.141125	0.140983	0.187636	0.342788
a82	0.330093	0.189245	0.141915	0.142249	0.196498
a30	0.426195	0.218511	0.130894	0.107648	0.116753
</S>	0.215105	0.151009	0.139549	0.194428	0.299909
