 	comment	t'	appelles-tu	</S>
a87	0.535506	0.243353	0.123351	0.0977913
a82	0.417039	0.280493	0.180655	0.121814
a83	0.486865	0.282371	0.151199	0.0795646
a62	0.356083	0.20318	0.198871	0.241866
a21	0.618795	0.265913	0.0746352	0.0406567
a75	0.608939	0.305576	0.0584874	0.0269978
a21	0.407731	0.393119	0.126354	0.0727963
a85	0.245821	0.40358	0.234104	0.116495
a75	0.17406	0.296559	0.298634	0.230746
a85	0.127261	0.227418	0.345291	0.30003
a61	0.0250955	0.0717629	0.359743	0.543398
a70	0.0270027	0.0635592	0.300572	0.608866
a75	0.0203955	0.0596922	0.276741	0.643171
a36	0.0135882	0.0550157	0.271606	0.65979
a2	0.0255356	0.0818317	0.264947	0.627686
a57	0.0802925	0.101368	0.23552	0.582819
a87	0.327403	0.181248	0.150119	0.34123
a23	0.380692	0.213511	0.175767	0.230029
a57	0.277965	0.27458	0.242546	0.204909
a87	0.0877768	0.205152	0.351747	0.355324
a23	0.101486	0.208983	0.320868	0.368663
a87	0.103539	0.209515	0.35596	0.330986
a23	0.112026	0.226763	0.360416	0.300794
a97	0.199348	0.259219	0.312933	0.2285
</S>	0.167024	0.229158	0.332613	0.271205
