 	les	élèves	ont	réussi	l'	examen	</S>
a66	0.531733	0.283235	0.0963656	0.0419885	0.0227818	0.0120238	0.0118729
a87	0.517399	0.321072	0.0900659	0.0213122	0.0196251	0.0127933	0.0177323
a23	0.601499	0.295466	0.058831	0.0123746	0.010119	0.00835964	0.0133511
a87	0.614823	0.286285	0.0390943	0.0134413	0.0148967	0.0124625	0.0189974
a23	0.56163	0.27074	0.0532128	0.0260554	0.0299592	0.0260864	0.0323172
a44	0.343803	0.21042	0.0807859	0.085474	0.106433	0.0847068	0.0883766
a83	0.0890666	0.0907465	0.0978748	0.171357	0.220905	0.167284	0.162765
a54	0.0611102	0.110847	0.158586	0.145001	0.185268	0.160464	0.178724
a56	0.0751301	0.170079	0.272978	0.191056	0.130386	0.0728903	0.0874807
a34	0.0516598	0.128453	0.230311	0.157985	0.128987	0.121649	0.180955
a56	0.0602138	0.0997266	0.174488	0.129058	0.123483	0.166381	0.246649
a4	0.0399611	0.0586175	0.132111	0.140744	0.14204	0.198636	0.287891
a44	0.0279102	0.0378972	0.105924	0.142371	0.152182	0.217539	0.316176
a53	0.0239854	0.0355716	0.106046	0.150536	0.173017	0.209628	0.301216
a79	0.0217111	0.0249781	0.0777052	0.151006	0.202997	0.228768	0.292834
a93	0.0192862	0.0277428	0.0916723	0.194868	0.21098	0.208402	0.247049
a54	0.00808228	0.00898314	0.0293187	0.112695	0.212665	0.256441	0.371815
a41	0.00293746	0.00375707	0.0146715	0.0936793	0.233742	0.278884	0.372328
a96	0.00410379	0.0037905	0.0121849	0.0761092	0.223614	0.271541	0.408657
a70	0.000694575	0.000673903	0.00223537	0.0213336	0.115241	0.239467	0.620355
a0	0.000181565	0.000170136	0.000689288	0.00737606	0.0597041	0.209387	0.722492
a62	0.000333753	0.000350025	0.00127787	0.00950812	0.0559736	0.198348	0.734208
a83	0.000447437	0.000424632	0.00111857	0.00737437	0.0389695	0.187385	0.76428
a24	0.000333566	0.000337707	0.00105956	0.00662779	0.0360178	0.16721	0.788413
a83	0.000422262	0.000447058	0.00138475	0.00851623	0.035478	0.172631	0.781121
a18	0.000258324	0.000286718	0.00115783	0.00864528	0.0377368	0.182219	0.769696
a11	0.00069539	0.000796034	0.00322504	0.0159247	0.0418817	0.169458	0.768019
a56	0.00858408	0.00486016	0.00709818	0.0239468	0.0463518	0.164747	0.744412
a94	0.00161423	0.00172763	0.00600038	0.0305006	0.0669211	0.186765	0.706471
a66	0.000399651	0.000457119	0.00187877	0.0130848	0.0392544	0.157303	0.787623
a13	0.00711301	0.0041776	0.00634464	0.0197434	0.0418573	0.163153	0.757611
a99	0.00814761	0.0047314	0.00708281	0.0228886	0.0467045	0.168375	0.74207
a9	0.0251032	0.0107501	0.00988123	0.0199066	0.0426463	0.148114	0.743598
a87	0.179745	0.0633053	0.0222422	0.026282	0.0538016	0.138426	0.516198
a23	0.275741	0.161996	0.0491272	0.0376181	0.060607	0.115756	0.299155
a87	0.152521	0.0781864	0.0341685	0.0387112	0.100204	0.188093	0.408116
</S>	0.114626	0.0927775	0.0454448	0.0515506	0.136732	0.193564	0.365305
