 	il	y	a	un	serpent	sous	cette	roche	</S>
a23	0.413983	0.247484	0.13306	0.0698738	0.0348556	0.015856	0.014304	0.0249454	0.0456386
a83	0.27887	0.227798	0.155411	0.0976375	0.0586089	0.0496089	0.0633392	0.0393016	0.0294247
a70	0.32458	0.236468	0.16499	0.0973562	0.0473368	0.0270236	0.0212603	0.0300273	0.0509584
a38	0.242126	0.224836	0.18436	0.15713	0.100216	0.0366473	0.0192694	0.0227286	0.0126866
a75	0.132981	0.15954	0.182227	0.208566	0.178918	0.0710301	0.0343736	0.0227656	0.00959892
a41	0.124327	0.125721	0.152062	0.189254	0.184395	0.101637	0.0583775	0.0444615	0.0197657
a94	0.114193	0.139578	0.182309	0.209658	0.182322	0.0858338	0.0425738	0.0277089	0.0158242
a26	0.0608199	0.0773709	0.14087	0.210813	0.214938	0.140916	0.0921322	0.0445114	0.017629
a38	0.0526744	0.0580393	0.110488	0.179682	0.197901	0.173799	0.140155	0.0631509	0.024109
a24	0.0430373	0.0453368	0.0896197	0.156444	0.188594	0.192562	0.168759	0.0843582	0.0312879
a76	0.0433537	0.0412121	0.0739054	0.125829	0.157009	0.195022	0.184011	0.132381	0.0472756
a90	0.0936125	0.0987002	0.120042	0.148087	0.149843	0.137042	0.128324	0.0807694	0.0435813
a58	0.0901618	0.0819145	0.0954506	0.124786	0.14024	0.143663	0.145098	0.114243	0.0644441
a11	0.06147	0.0486202	0.0609206	0.0871995	0.108798	0.13464	0.161308	0.213854	0.12319
a24	0.0462634	0.0350386	0.0421929	0.0632739	0.0875261	0.120432	0.144815	0.266246	0.194212
a98	0.0449065	0.0371653	0.0408789	0.0541761	0.0718447	0.100523	0.115387	0.247578	0.287541
a71	0.0497662	0.0438339	0.0471411	0.0570966	0.0728593	0.0875328	0.0950724	0.210733	0.335965
a24	0.0411102	0.0297646	0.0319771	0.0416372	0.0623511	0.088087	0.101965	0.2241	0.379008
a98	0.0415326	0.0268149	0.0244354	0.0307763	0.0443872	0.0663659	0.0795981	0.213536	0.472553
a71	0.0545804	0.0362032	0.0316837	0.0362767	0.0464391	0.0656424	0.0783311	0.180906	0.469937
a24	0.0457672	0.0287563	0.0251158	0.0291099	0.0414962	0.0771824	0.0914114	0.172851	0.48831
a25	0.0553345	0.0360442	0.0261655	0.0294487	0.0384581	0.0549561	0.0658715	0.156928	0.536793
a87	0.0440884	0.026824	0.0202489	0.023524	0.0338187	0.0550146	0.06595	0.136832	0.593699
</S>	0.0199166	0.0124393	0.00871589	0.0077925	0.00956018	0.0188108	0.0244606	0.110631	0.787673
