 	tout	le	village	connaît	cette	jeune	fille	à	cause	de	son	attitude	dégagée	</S>
a66	0.115275	0.117847	0.106922	0.102873	0.114707	0.106581	0.0736193	0.102889	0.0825391	0.0512753	0.0144119	0.00539122	0.00312055	0.00255049
a87	0.290443	0.132265	0.0616662	0.0409083	0.031226	0.0354873	0.0472372	0.0664348	0.0722614	0.0624715	0.0483557	0.0445279	0.0376676	0.0290483
a53	0.12056	0.0789725	0.0651933	0.0535773	0.0518063	0.0476518	0.0622196	0.0777302	0.0895132	0.137235	0.124595	0.0347338	0.0262435	0.0299691
a90	0.121412	0.0592986	0.0418448	0.0291354	0.026846	0.0415883	0.0640698	0.0997188	0.113104	0.173206	0.140727	0.0546534	0.0170184	0.0173774
a98	0.232042	0.196141	0.156106	0.0849173	0.0449197	0.0341822	0.025725	0.0288666	0.0313482	0.0668929	0.0591642	0.0238014	0.00898037	0.00691302
a15	0.150738	0.140807	0.13392	0.0921737	0.054849	0.0430507	0.0363731	0.0370767	0.0411868	0.0695277	0.0962455	0.0598507	0.0228305	0.02137
a56	0.123877	0.11366	0.115603	0.0922015	0.0766434	0.0648604	0.0619748	0.0560781	0.0489568	0.049579	0.0531665	0.0622508	0.0429266	0.0382212
a92	0.100932	0.10429	0.114532	0.100769	0.0885598	0.0712583	0.0648033	0.0536737	0.0481338	0.0407095	0.0457481	0.0572047	0.0525239	0.0568613
a21	0.069087	0.075509	0.0869779	0.0892334	0.0877788	0.0788899	0.081005	0.0722262	0.0659624	0.0511848	0.0435998	0.0566488	0.0673812	0.0745159
a47	0.0651969	0.0751379	0.0921995	0.101458	0.116744	0.100783	0.100971	0.0833248	0.0688128	0.0396137	0.0268158	0.0294047	0.0474984	0.0520399
a21	0.0489223	0.0702232	0.106161	0.120181	0.13032	0.110472	0.10293	0.0805151	0.061334	0.0331324	0.023303	0.0214108	0.0414702	0.0496259
a98	0.0383904	0.0542204	0.0699844	0.0944434	0.11895	0.0988346	0.0925939	0.0738684	0.0623845	0.0346411	0.0260388	0.0322175	0.0915908	0.111841
a92	0.0133902	0.0270562	0.051502	0.0967976	0.11078	0.0967648	0.107175	0.0751864	0.0643853	0.0448018	0.0389336	0.0424991	0.100983	0.129746
a56	0.015413	0.0272786	0.044797	0.0839715	0.108995	0.0994988	0.108441	0.074691	0.0581308	0.0340195	0.0268825	0.0382731	0.130378	0.14923
a96	0.0127141	0.0213056	0.0385928	0.0839916	0.125915	0.129722	0.135219	0.0961796	0.0757735	0.0396241	0.0279841	0.0300944	0.0843388	0.0985451
a93	0.00900831	0.0126582	0.0217126	0.0445044	0.0950372	0.12203	0.146469	0.107241	0.0836714	0.0401314	0.0307077	0.0339977	0.118559	0.134272
a90	0.00876295	0.0122812	0.0209517	0.0437423	0.0868813	0.108266	0.122684	0.09828	0.08249	0.0498039	0.0457213	0.0475035	0.127705	0.144927
a92	0.00318026	0.00481984	0.008011	0.0176676	0.039377	0.0584347	0.0884711	0.0734683	0.0694395	0.0597997	0.0722877	0.0816357	0.181557	0.241851
a21	0.00206253	0.00307573	0.00488195	0.0114222	0.0257809	0.0398708	0.0655804	0.0535352	0.0538129	0.0467958	0.059601	0.0816044	0.227605	0.324371
a5	0.00245971	0.00338506	0.00550361	0.0112323	0.0242403	0.0364581	0.0593368	0.0422687	0.0382435	0.0284002	0.0482791	0.0906791	0.261838	0.347676
a43	0.000870292	0.00132358	0.00232401	0.00413084	0.00851198	0.0141732	0.0307222	0.0231626	0.0229466	0.017082	0.0375517	0.0856756	0.304504	0.447021
a75	0.000554954	0.000795077	0.00142198	0.00233767	0.00444119	0.0074779	0.0165093	0.0141206	0.0150637	0.0111046	0.0221512	0.0622686	0.359149	0.482604
a85	0.000255801	0.000337117	0.000607735	0.00126392	0.00254901	0.00460058	0.0104892	0.00800571	0.00883275	0.00718406	0.0202214	0.0647782	0.273174	0.597701
a47	0.000208201	0.000250943	0.000410518	0.000942527	0.00168964	0.00279941	0.00565004	0.00445516	0.00493494	0.00378924	0.00956967	0.0391641	0.27046	0.655675
a36	0.000368592	0.000343324	0.000457812	0.000809182	0.0014675	0.00265554	0.00657769	0.00489312	0.00512219	0.00477896	0.0158655	0.0461441	0.262934	0.647582
a2	0.000818215	0.000641494	0.000697076	0.00107185	0.00144201	0.00217965	0.00480983	0.00405174	0.00519819	0.00439845	0.0147705	0.0626677	0.311959	0.585294
a57	0.0410786	0.0262093	0.0204647	0.0161765	0.0152728	0.0187767	0.0262105	0.034309	0.0481085	0.0387105	0.0407643	0.0749804	0.237827	0.361111
a87	0.0715695	0.0420662	0.0383673	0.0292845	0.0276561	0.0382275	0.0484646	0.064817	0.0845582	0.0899877	0.0756218	0.0664624	0.124224	0.198693
a23	0.0614708	0.0297927	0.0228316	0.0231343	0.0257274	0.0410009	0.0657839	0.097923	0.128294	0.121487	0.105725	0.0771393	0.0875114	0.112179
a83	0.0167772	0.00599808	0.00336015	0.00282475	0.00222813	0.00333498	0.00521834	0.00874796	0.0157242	0.0291335	0.0787682	0.132574	0.279161	0.41615
a99	0.00565339	0.00207898	0.00120943	0.00105998	0.00119017	0.0021488	0.00483438	0.00712749	0.0136783	0.02986	0.0701993	0.127871	0.30107	0.432019
a26	0.00152411	0.000763527	0.000634796	0.000725008	0.000957361	0.00188337	0.00415613	0.00518564	0.00759478	0.011607	0.0235611	0.0660216	0.322743	0.552642
</S>	0.00242422	0.00152129	0.00143728	0.00221264	0.00295913	0.00567474	0.00966033	0.0102195	0.0112556	0.0103398	0.0165357	0.0410775	0.282807	0.601875
