 	donne-moi	une	bouteille	de	vin	</S>
a66	0.477878	0.20482	0.132098	0.0846858	0.0523536	0.0481644
a87	0.511873	0.243811	0.126138	0.0624059	0.0276581	0.0281138
a97	0.584495	0.222373	0.0861633	0.0399793	0.0300566	0.0369327
a87	0.58938	0.207997	0.0720471	0.0360491	0.0356898	0.0588368
a10	0.586661	0.225726	0.07841	0.0345036	0.0283745	0.0463248
a87	0.577954	0.206468	0.0853438	0.0381663	0.0353276	0.0567396
a79	0.51223	0.218581	0.107635	0.0483771	0.0439455	0.0692317
a6	0.537366	0.223041	0.134881	0.0530684	0.0271131	0.0245301
a37	0.415116	0.305092	0.165995	0.0610779	0.030758	0.0219625
a15	0.333159	0.29027	0.186995	0.101452	0.0531665	0.0349577
a98	0.158461	0.252684	0.244221	0.186148	0.0987612	0.0597256
a92	0.158977	0.265368	0.237693	0.180599	0.097738	0.0596251
a85	0.114309	0.157176	0.173987	0.227239	0.191811	0.135477
a37	0.0624555	0.095924	0.16507	0.237044	0.236345	0.203161
a75	0.052479	0.0639346	0.111177	0.199684	0.275672	0.297054
a56	0.0189766	0.0249434	0.0621327	0.182013	0.329084	0.38285
a98	0.00369101	0.00523624	0.0169509	0.0873984	0.297837	0.588886
a47	0.000805755	0.00127726	0.0053099	0.0444097	0.262391	0.685807
a37	0.000383015	0.000802986	0.00463353	0.0408751	0.233188	0.720118
a18	0.00127254	0.00192426	0.00547459	0.0294085	0.171509	0.790411
a25	0.0074432	0.00665587	0.014717	0.056617	0.187741	0.726826
a87	0.0601098	0.0340106	0.0352565	0.0754039	0.200947	0.594272
a97	0.343458	0.184894	0.100964	0.0793915	0.0999121	0.191381
a87	0.223831	0.15539	0.0941323	0.0951178	0.139541	0.291987
a23	0.133402	0.0855523	0.0582009	0.0910615	0.204437	0.427346
a87	0.0484868	0.0378602	0.030861	0.0745168	0.221812	0.586463
a97	0.0133144	0.0131008	0.0197282	0.079908	0.258408	0.61554
</S>	0.0192229	0.0186757	0.0268662	0.0755527	0.216217	0.643466
