 	cet	homme	est	un	brigand	</S>
a10	0.407498	0.199899	0.123636	0.103553	0.0790146	0.0864003
a38	0.258493	0.146575	0.157182	0.13703	0.128355	0.172365
a90	0.365289	0.157185	0.123482	0.0986484	0.112826	0.14257
a15	0.491825	0.186128	0.0969576	0.0860535	0.0723314	0.0667043
a73	0.525063	0.262881	0.102832	0.0529751	0.0322394	0.0240102
a26	0.438143	0.301968	0.132881	0.0632787	0.0358061	0.0279226
a75	0.330737	0.268691	0.175243	0.109144	0.0626597	0.0535251
a73	0.271342	0.261259	0.183255	0.128754	0.0831417	0.0722488
a84	0.157202	0.209257	0.228335	0.18992	0.115429	0.0998575
a53	0.0873315	0.119869	0.160338	0.197727	0.210546	0.224188
a56	0.0845909	0.11282	0.187441	0.262106	0.184926	0.168116
a11	0.0940848	0.129901	0.210722	0.245363	0.175407	0.144522
a24	0.0463072	0.0580979	0.114663	0.213354	0.255078	0.312499
a0	0.0728533	0.0794378	0.112053	0.166902	0.223332	0.345421
a9	0.0463155	0.0514312	0.0801011	0.148352	0.22646	0.44734
a10	0.0144474	0.0171369	0.0308687	0.0760253	0.166535	0.694987
a11	0.0213193	0.0207755	0.0375488	0.0934271	0.200198	0.626731
a66	0.00648638	0.00666348	0.016433	0.0514691	0.173047	0.745901
a54	0.00512279	0.00521988	0.0141946	0.0484229	0.168975	0.758065
a73	0.0113797	0.0101845	0.0208747	0.0675256	0.184495	0.70554
a84	0.00645982	0.00583542	0.0123658	0.0487936	0.164692	0.761853
a10	0.00803382	0.00769442	0.014213	0.0418371	0.155	0.773221
a87	0.0351022	0.0206792	0.0286301	0.0684309	0.197479	0.649679
a10	0.0573374	0.0375723	0.0567089	0.127141	0.230054	0.491186
</S>	0.0899353	0.0689643	0.0868542	0.147961	0.206042	0.400244
