 	la	piste	est	bourbeuse	</S>
a87	0.422966	0.197966	0.15598	0.112342	0.110745
a23	0.479775	0.185308	0.153099	0.104408	0.0774101
a53	0.568733	0.158242	0.10883	0.0817053	0.0824896
a15	0.275582	0.172981	0.195455	0.195774	0.160207
a73	0.476493	0.235491	0.15669	0.0783944	0.0529314
a37	0.495748	0.288245	0.127048	0.0548429	0.0341152
a75	0.306705	0.279215	0.207607	0.121088	0.0853848
a37	0.150963	0.191958	0.242621	0.213904	0.200554
a66	0.113464	0.158382	0.225193	0.25415	0.248811
a61	0.0577428	0.0814268	0.140148	0.297834	0.422849
a83	0.0469974	0.0762044	0.147544	0.282027	0.447227
a75	0.0310363	0.0499405	0.107765	0.271954	0.539304
a30	0.0339447	0.0586139	0.123061	0.276878	0.507502
a2	0.0192685	0.0356433	0.115297	0.314342	0.515448
a57	0.029344	0.0411648	0.109701	0.244156	0.575633
a10	0.0696135	0.0611426	0.11226	0.246264	0.51072
a87	0.0619863	0.0658826	0.115397	0.256982	0.499752
a23	0.15697	0.119114	0.151326	0.245256	0.327333
a87	0.0875395	0.109137	0.172018	0.298163	0.333142
</S>	0.0454426	0.0659528	0.12607	0.346444	0.416091
