 	il	est	très	fatigué	il	travaille	beaucoup	</S>
a23	0.388678	0.15098	0.0656241	0.0605985	0.0541489	0.0580322	0.102244	0.119694
a30	0.358314	0.165014	0.0948763	0.0938258	0.0648772	0.0620762	0.0661694	0.094847
a53	0.250984	0.145203	0.0792189	0.106687	0.0941543	0.0758886	0.0868337	0.16103
a20	0.285214	0.138684	0.0889367	0.0959068	0.103598	0.0765653	0.101293	0.109801
a94	0.376988	0.228684	0.124282	0.0884562	0.0726365	0.0342678	0.0364414	0.0382447
a62	0.349217	0.239978	0.143335	0.0979701	0.0577655	0.0269338	0.0372618	0.0475385
a88	0.352995	0.237814	0.137818	0.0926807	0.0556043	0.0287563	0.0424308	0.0519014
a61	0.217363	0.221108	0.203002	0.121931	0.0799356	0.0431959	0.0501661	0.0632986
a75	0.248765	0.220215	0.175015	0.113909	0.0868236	0.0506502	0.0491719	0.0554514
a25	0.100476	0.0797031	0.0762993	0.101132	0.143101	0.1622	0.166202	0.170887
a69	0.125963	0.102233	0.0951468	0.112725	0.160613	0.161201	0.124033	0.118085
a58	0.0714113	0.0662702	0.0842186	0.144884	0.200494	0.160695	0.129439	0.142589
a90	0.0575944	0.047081	0.0536172	0.121683	0.195926	0.172655	0.158091	0.193352
a4	0.0324756	0.0291443	0.0387394	0.0966698	0.190603	0.222899	0.193174	0.196294
a90	0.0219231	0.0206796	0.0302498	0.0668067	0.15195	0.24447	0.237995	0.225925
a58	0.0152772	0.0163777	0.0291451	0.0672423	0.158999	0.24482	0.245074	0.223064
a84	0.0051351	0.00445594	0.00678386	0.0220478	0.0586979	0.154201	0.291567	0.457112
a87	0.00188819	0.00129779	0.00145528	0.00405243	0.0123568	0.0542593	0.274122	0.650568
a23	0.045361	0.0258288	0.0222057	0.0380179	0.0616258	0.137671	0.269675	0.399614
a30	0.00598072	0.00312855	0.00276805	0.0112675	0.0336374	0.164563	0.372908	0.405747
a53	0.000501908	0.000330846	0.000439882	0.00319928	0.0163027	0.108412	0.36658	0.504234
a20	0.00257927	0.00197373	0.00283766	0.0102701	0.0364615	0.1138	0.334536	0.497541
a79	0.00173088	0.00151534	0.00248113	0.00890689	0.0338139	0.0997245	0.329476	0.522351
a54	0.00227308	0.00224817	0.00384866	0.0112431	0.0309733	0.0860476	0.312747	0.550619
a36	0.00134943	0.0016013	0.00356855	0.0153623	0.0492258	0.120705	0.320425	0.487762
a2	0.000563961	0.000571017	0.00111192	0.00415748	0.0158927	0.0659365	0.29929	0.612477
a75	0.000762878	0.000561365	0.000728061	0.00254734	0.00897213	0.0529139	0.293317	0.640197
a96	0.000854514	0.000831166	0.00158844	0.00670026	0.0252728	0.0764722	0.29774	0.590541
a75	0.00129066	0.00115604	0.00175603	0.00433976	0.0129988	0.0464099	0.242065	0.689984
a56	0.0014441	0.00128791	0.00183799	0.00608531	0.0190872	0.0532987	0.262398	0.654561
a43	0.000377745	0.000375453	0.000676591	0.00252642	0.00881822	0.0368045	0.240417	0.710004
a11	0.000457887	0.000448359	0.000786503	0.00287528	0.0096146	0.0439419	0.254472	0.687404
a75	0.000766339	0.000694505	0.00110517	0.00338252	0.0109798	0.0496234	0.260799	0.672649
a34	0.00134386	0.000989632	0.0010226	0.00267437	0.00859579	0.0426961	0.258375	0.684302
a93	0.000962937	0.000776663	0.00107265	0.00317388	0.010868	0.0558873	0.262476	0.664783
a70	0.000782636	0.000695463	0.000924571	0.0024826	0.00741401	0.037691	0.254594	0.695416
a24	0.00199485	0.00163734	0.00189327	0.00393831	0.0107109	0.0470742	0.25422	0.678531
a9	0.00489363	0.00441228	0.00549113	0.00939393	0.021569	0.0603314	0.2454	0.648508
a87	0.0111002	0.0088882	0.0111321	0.0240267	0.0635216	0.136954	0.292681	0.451696
a23	0.138213	0.0713303	0.0490513	0.0643652	0.0835064	0.126592	0.194224	0.272718
a87	0.0162269	0.00958324	0.0103422	0.0310761	0.0585561	0.14832	0.328276	0.397619
</S>	0.00722512	0.00446643	0.00526818	0.0193224	0.0428086	0.140516	0.330402	0.449992
