 	ceux-ci	sont	des	médicaments	contre	les	maux	de	têtes	ceux-là	contre	les	maux	de	ventre	</S>
a66	0.092444	0.0788947	0.0615428	0.0389714	0.0629944	0.0758249	0.0950737	0.118059	0.0952332	0.129315	0.0783381	0.0340119	0.0179572	0.00852168	0.00675882	0.00605883
a87	0.192275	0.11623	0.0681732	0.0405211	0.0512187	0.0469413	0.0508235	0.0737871	0.0766381	0.112463	0.0650952	0.0393438	0.0275752	0.0173398	0.0119715	0.0096026
a23	0.297495	0.184935	0.107921	0.0698791	0.0611958	0.0406044	0.0336546	0.0370292	0.0232208	0.0360995	0.0227388	0.0124948	0.0100448	0.0130538	0.0200896	0.0295435
a87	0.305637	0.195036	0.12413	0.098276	0.0708269	0.0409255	0.0343621	0.0289732	0.0145184	0.0177203	0.0137412	0.0101225	0.00768744	0.00972801	0.0115754	0.0167414
a23	0.301903	0.191915	0.136149	0.107971	0.0748761	0.0330531	0.0277413	0.0254758	0.0142164	0.0230295	0.0157219	0.0109166	0.00822145	0.00891521	0.00862401	0.0112712
a97	0.225875	0.140982	0.130444	0.133609	0.0987809	0.0385873	0.0377873	0.0305625	0.0184264	0.0317725	0.0196995	0.0158855	0.0125376	0.0174945	0.0190878	0.0284681
a87	0.191381	0.131226	0.125314	0.10411	0.0869982	0.046584	0.0478743	0.0454597	0.0251141	0.0639364	0.0389901	0.0259869	0.0179939	0.0187643	0.0145288	0.0157383
a23	0.214757	0.141152	0.105691	0.0728776	0.0663067	0.0459971	0.0405325	0.0449727	0.0284105	0.0809367	0.0558385	0.0334316	0.0223885	0.0187393	0.0143169	0.0136506
a83	0.158887	0.116536	0.134862	0.12136	0.0859913	0.0476624	0.0455157	0.0472409	0.0318395	0.0562914	0.0378829	0.0304015	0.0221098	0.022519	0.018777	0.0221236
a54	0.130458	0.116459	0.16255	0.119927	0.0823949	0.028549	0.0245369	0.0191645	0.0150219	0.0598137	0.0431807	0.0413183	0.030627	0.0473033	0.0388772	0.0398184
a47	0.0494554	0.0469547	0.0865412	0.119545	0.11595	0.0621685	0.0628318	0.0460852	0.0365151	0.054799	0.0573859	0.0601579	0.0460607	0.0706828	0.0476149	0.0372527
a85	0.0459135	0.0484742	0.0879425	0.129931	0.116838	0.0655631	0.0591079	0.0406627	0.034391	0.0467723	0.0535182	0.0550606	0.0493557	0.0699301	0.0538588	0.0426805
a21	0.0416705	0.0453303	0.0768835	0.120488	0.119843	0.076029	0.0565653	0.0377058	0.0296839	0.0392403	0.0519633	0.0518306	0.0515768	0.0677258	0.0686545	0.064809
a61	0.0524234	0.050019	0.07356	0.106748	0.123875	0.0926902	0.0687272	0.0523896	0.0471493	0.0697154	0.0853012	0.0565308	0.042006	0.0303815	0.0245963	0.0238871
a31	0.0528089	0.0501854	0.0687636	0.118318	0.144433	0.109797	0.086758	0.0597507	0.0521429	0.0546638	0.0642516	0.0428784	0.03233	0.0241151	0.0196812	0.0191222
a83	0.0424537	0.0375388	0.0491925	0.11236	0.148331	0.118085	0.099047	0.0627217	0.0593691	0.0504669	0.0598693	0.0455691	0.0365559	0.0268331	0.0240955	0.0275119
a70	0.0297729	0.0243681	0.0324676	0.0929566	0.140972	0.127885	0.136017	0.0838277	0.0809964	0.0509997	0.0516089	0.0406673	0.0311698	0.0241015	0.0228839	0.0293054
a93	0.0189705	0.0158191	0.0235817	0.0721836	0.133327	0.128774	0.119583	0.0852418	0.0841242	0.0578801	0.0711872	0.0509146	0.0387641	0.0285142	0.0308127	0.0403228
a4	0.0162123	0.013443	0.0185926	0.0495783	0.100079	0.108	0.103432	0.0834292	0.0917778	0.0701384	0.0854945	0.0626236	0.0504654	0.0381287	0.0457006	0.0629042
a93	0.00853317	0.00722213	0.0109289	0.0357273	0.0936176	0.115917	0.12384	0.098679	0.117064	0.075327	0.0826585	0.0627336	0.0494329	0.0329649	0.0365767	0.0487774
a90	0.0104028	0.00848253	0.0114038	0.0315547	0.0779176	0.0983828	0.104321	0.0901434	0.114153	0.0744666	0.0855135	0.0719378	0.0608056	0.042035	0.0491284	0.069352
a44	0.00580705	0.00487274	0.00689047	0.0208101	0.0545791	0.0844733	0.0976374	0.0853905	0.108233	0.0553347	0.0664487	0.0791045	0.0820088	0.061309	0.0737437	0.113357
a57	0.00316581	0.00276634	0.00419609	0.0143028	0.0414864	0.0824941	0.120851	0.109739	0.155317	0.0445553	0.0516667	0.0663619	0.0702216	0.0509352	0.0652841	0.116657
a3	0.0059163	0.00623812	0.0100958	0.0239518	0.0483391	0.10177	0.167131	0.146508	0.178452	0.0458023	0.052973	0.0477643	0.0402102	0.0233634	0.0322227	0.0692614
a87	0.00937812	0.0100976	0.0156598	0.0273271	0.0408374	0.0788098	0.122517	0.116112	0.170717	0.078005	0.0811103	0.063013	0.0516308	0.0290163	0.0361029	0.0696654
a23	0.0154355	0.0116132	0.0112889	0.0139858	0.0277038	0.0469748	0.0612115	0.065167	0.103722	0.109087	0.114473	0.0963633	0.0894443	0.0752906	0.0721585	0.0860815
a99	0.0104496	0.00706887	0.00551754	0.00662807	0.0155	0.0245029	0.0304627	0.0319461	0.0515748	0.119216	0.118675	0.11104	0.108739	0.099755	0.109801	0.149124
a83	0.000870393	0.000659019	0.000891464	0.00239209	0.00855417	0.0145245	0.0177975	0.0142407	0.0231361	0.0716871	0.0794063	0.0927919	0.103913	0.137501	0.17275	0.258884
a54	0.000195515	0.000127569	0.000167758	0.000548947	0.00208447	0.00447389	0.00781077	0.00638654	0.0149811	0.0170955	0.019376	0.0339993	0.0509695	0.156238	0.256763	0.428782
a47	0.000697723	0.000612242	0.000930373	0.00249066	0.00545092	0.0125906	0.0200097	0.015221	0.0291816	0.0273157	0.0357631	0.0458482	0.0564381	0.112435	0.20396	0.431055
a37	0.00126413	0.00108295	0.00162884	0.00385517	0.00803513	0.0190885	0.0292288	0.0220997	0.0306804	0.022327	0.0274073	0.0446901	0.0635542	0.125191	0.203267	0.396599
a62	0.00201328	0.00170262	0.00229739	0.00545338	0.00956325	0.0154718	0.027285	0.0251411	0.0456422	0.0324363	0.0260474	0.0368304	0.0517215	0.113513	0.199792	0.40509
a61	0.00158343	0.00145829	0.00229661	0.00534662	0.00856023	0.0128618	0.0172937	0.0180215	0.032866	0.0302518	0.0276953	0.0410036	0.0612869	0.137553	0.224296	0.377625
a34	0.00125563	0.00117451	0.00154621	0.00304157	0.00520947	0.00909841	0.0142756	0.0157594	0.0331258	0.0279451	0.0267677	0.0390156	0.0571398	0.142395	0.234793	0.387457
a70	0.000767842	0.000751277	0.00120518	0.00284144	0.00484216	0.00800977	0.0122583	0.0122192	0.024051	0.0146834	0.0138911	0.0242356	0.0424314	0.120994	0.231062	0.485757
a93	0.000675113	0.000697841	0.00108339	0.0021217	0.00338163	0.00569157	0.0096413	0.00995848	0.0237903	0.0107901	0.0117403	0.0205483	0.0366969	0.101822	0.208072	0.55329
a15	0.00030575	0.000323554	0.000530313	0.00128637	0.00258396	0.00466754	0.00932374	0.00920152	0.0251969	0.00967159	0.00992041	0.0174568	0.0278879	0.0923061	0.211312	0.578025
a7	0.000122956	0.000122924	0.000175495	0.000379961	0.000780262	0.00159245	0.00284842	0.00236939	0.00452954	0.0020887	0.00239594	0.00461637	0.00949466	0.0472333	0.182233	0.739017
a84	0.000568954	0.000515717	0.000821547	0.0014374	0.00237026	0.00391058	0.00576122	0.00531274	0.0101653	0.00473052	0.00519316	0.00927798	0.0191106	0.0737683	0.221251	0.635805
a82	0.0264506	0.018969	0.0190708	0.020129	0.0162817	0.0209623	0.0253221	0.0204163	0.0279109	0.0323253	0.0287379	0.0413812	0.0679763	0.121494	0.195978	0.316594
a87	0.0925712	0.0539556	0.0359618	0.0298978	0.0221777	0.0287319	0.0308098	0.0313546	0.046875	0.0501121	0.042263	0.0503855	0.0666566	0.0937701	0.136134	0.188343
a23	0.0984288	0.0590753	0.0402588	0.0291778	0.0250505	0.0391457	0.0425182	0.0533568	0.0853957	0.0871884	0.0668591	0.0768924	0.0730248	0.0705063	0.0755686	0.0775527
a87	0.0818786	0.0435271	0.0221121	0.0172392	0.0139559	0.0157575	0.01533	0.016136	0.0241738	0.0515909	0.0415446	0.061526	0.0767835	0.126777	0.168247	0.223421
</S>	0.0579118	0.0269593	0.0120027	0.00981608	0.0116539	0.0198337	0.0217351	0.0209823	0.0269917	0.0434379	0.0360308	0.0474179	0.057021	0.115319	0.18474	0.308148
