 	il	est	pour	moi	un	neveu	</S>
a66	0.220238	0.210001	0.265764	0.19807	0.0678412	0.0268006	0.0112862
a87	0.318375	0.219801	0.195208	0.141697	0.0632691	0.0388171	0.0228319
a23	0.405678	0.269328	0.179305	0.0822894	0.0313301	0.0169782	0.0150912
a99	0.380637	0.2915	0.185177	0.0793525	0.0269372	0.0163959	0.0200003
a30	0.321666	0.269474	0.194028	0.0959026	0.0390962	0.0401964	0.0396365
a53	0.267598	0.238403	0.202389	0.125698	0.0508564	0.0675679	0.047488
a15	0.240264	0.232141	0.212537	0.172722	0.0857964	0.035914	0.0206259
a92	0.13991	0.138064	0.144243	0.188125	0.225962	0.118268	0.0454274
a36	0.156542	0.145748	0.139039	0.179872	0.203579	0.120352	0.054869
a12	0.134192	0.128333	0.138049	0.184275	0.221796	0.130352	0.0630037
a21	0.146021	0.145996	0.164583	0.208931	0.192953	0.0973684	0.0441483
a85	0.12466	0.133263	0.164169	0.21413	0.180588	0.119517	0.0636732
a92	0.0422609	0.0636281	0.0941957	0.161275	0.190048	0.202237	0.246355
a37	0.0587141	0.0735367	0.102885	0.151556	0.175385	0.224204	0.213719
a98	0.0636029	0.0681603	0.100684	0.154246	0.184863	0.221656	0.206787
a15	0.0189308	0.0237469	0.0431039	0.0901927	0.152136	0.28164	0.390249
a98	0.0151312	0.0164904	0.0271049	0.0514979	0.110846	0.365259	0.41367
a85	0.0153396	0.0166812	0.0272872	0.0588145	0.125148	0.361799	0.394931
a6	0.00580929	0.00639633	0.0118219	0.0323391	0.095785	0.37757	0.470279
a36	0.00700035	0.00565274	0.00841032	0.0202764	0.0714599	0.317362	0.569839
a44	0.00748086	0.00385173	0.00367658	0.00710543	0.0350837	0.196084	0.746717
a36	0.00783124	0.00379624	0.00349396	0.00653061	0.0323156	0.185395	0.760637
a26	0.00778663	0.00387901	0.00350509	0.00619048	0.0259891	0.193075	0.759575
a57	0.0670142	0.0330149	0.0290371	0.0423221	0.092033	0.208631	0.527948
a87	0.259059	0.128047	0.0917925	0.0674135	0.0688394	0.125761	0.259087
a23	0.279954	0.175294	0.150611	0.120237	0.0862549	0.0874202	0.100229
a87	0.229777	0.103782	0.0673054	0.0541848	0.0554331	0.135444	0.354074
</S>	0.0509844	0.0231765	0.0157594	0.0181135	0.038587	0.195649	0.657731
