 	quand	le	père	te	parle	tu	dois	rester	calme	</S>
a87	0.274272	0.153249	0.107231	0.0980669	0.1162	0.1082	0.071912	0.0307332	0.0218743	0.0182616
a23	0.447955	0.181585	0.072835	0.0534444	0.0418279	0.0480738	0.0543918	0.0421039	0.0327039	0.0250799
a54	0.152933	0.128307	0.0925023	0.0822804	0.0898708	0.0866674	0.0684286	0.0883161	0.106187	0.104507
a47	0.351289	0.216256	0.118365	0.0737356	0.0353544	0.0336424	0.0413403	0.0529685	0.0427283	0.0343197
a15	0.220093	0.218505	0.17515	0.127	0.0580445	0.0404051	0.0305108	0.0384691	0.0472648	0.0445574
a20	0.182635	0.181229	0.152732	0.13982	0.0845934	0.0623677	0.0433341	0.039704	0.0530982	0.0604865
a47	0.141903	0.147836	0.144254	0.150987	0.0938221	0.0716953	0.0511039	0.043786	0.0697335	0.0848797
a85	0.130929	0.135531	0.139399	0.170575	0.110922	0.06873	0.0435068	0.0383199	0.0702473	0.0918403
a41	0.117309	0.132271	0.146496	0.182009	0.134728	0.0892046	0.0545708	0.0310682	0.0479309	0.0644137
a27	0.103626	0.135311	0.156689	0.178736	0.147251	0.102966	0.0620011	0.0308532	0.0364703	0.0460967
a10	0.0670599	0.109976	0.147521	0.180628	0.202135	0.118603	0.0512596	0.0311915	0.0385116	0.0531144
a75	0.0289409	0.0530062	0.0909544	0.149423	0.214184	0.140315	0.0761688	0.0567282	0.0820605	0.108219
a85	0.0591734	0.0703005	0.0944912	0.135751	0.185269	0.138868	0.0902621	0.0476273	0.0649397	0.113318
a6	0.0537986	0.0640304	0.0779377	0.101813	0.128004	0.11257	0.101211	0.0877872	0.110546	0.162304
a37	0.0491698	0.0596286	0.0843914	0.12042	0.157789	0.11497	0.0879216	0.0650433	0.0918489	0.168818
a54	0.0414912	0.0544449	0.0741638	0.0917985	0.123005	0.114961	0.106558	0.0788955	0.112846	0.201836
a44	0.0276895	0.0334105	0.0432612	0.0509379	0.0678568	0.0735865	0.109131	0.106562	0.174686	0.312879
a82	0.0250655	0.032346	0.0478981	0.0566514	0.0864422	0.10236	0.130716	0.10226	0.154257	0.262005
a53	0.00927424	0.0105248	0.0150976	0.0225841	0.0430539	0.0654923	0.130544	0.110629	0.216435	0.376364
a93	0.0179166	0.0224729	0.0347069	0.0446952	0.0636262	0.0915233	0.147397	0.132785	0.181231	0.263646
a13	0.0173003	0.0231675	0.0341607	0.0424647	0.0570004	0.0823587	0.159648	0.148725	0.188849	0.246325
a50	0.00277609	0.00315081	0.00475118	0.00660184	0.0135252	0.0229678	0.0718924	0.163668	0.299159	0.411507
a83	0.00390972	0.00370874	0.00508401	0.00638737	0.0119172	0.0188735	0.0573974	0.16134	0.322723	0.408659
a18	0.00217099	0.00181506	0.00249231	0.00322067	0.00630442	0.011853	0.0457587	0.156798	0.343985	0.425602
a62	0.0122701	0.00589086	0.00592055	0.00663729	0.00961601	0.015595	0.0493604	0.149298	0.34852	0.396891
a93	0.00536435	0.00311858	0.00356649	0.00434001	0.00637543	0.0113875	0.0390361	0.145914	0.33842	0.442477
a13	0.000664654	0.000732755	0.00114311	0.0013942	0.00248391	0.00494885	0.0186227	0.0937882	0.349992	0.52623
a99	0.00300352	0.00197223	0.00238019	0.00287712	0.00415807	0.00750133	0.0268305	0.126596	0.365101	0.459581
a97	0.00987101	0.00505598	0.00488904	0.00532644	0.00659073	0.0104129	0.0365802	0.117747	0.337981	0.465546
a87	0.173413	0.090801	0.0754469	0.0552351	0.0478122	0.0553686	0.0930532	0.11841	0.148152	0.142308
a23	0.191123	0.105686	0.077839	0.0598852	0.0620321	0.0783454	0.132763	0.118692	0.0950581	0.0785758
a87	0.107021	0.071705	0.0601137	0.0397313	0.0470796	0.0640736	0.0891702	0.125139	0.160365	0.235601
</S>	0.0177117	0.0124284	0.0155497	0.0160953	0.0251929	0.0374346	0.0520551	0.110972	0.26304	0.44952
