 	je	suis	impliqué	dans	cette	affaire	parce	que	c'	est	moi	qui	l'	ai	emmené	à	brazaville	</S>
a66	0.0574532	0.036289	0.0570892	0.0524307	0.0489289	0.0626271	0.074484	0.103188	0.0811628	0.0818718	0.0672002	0.08113	0.0772477	0.0682211	0.0308561	0.00917207	0.00644104	0.00420708
a87	0.342083	0.162945	0.0809864	0.0366523	0.0173447	0.0242668	0.023923	0.0338992	0.0320335	0.0297896	0.0230957	0.0392213	0.0391607	0.0404288	0.028347	0.0146729	0.0159882	0.0151615
a23	0.308598	0.224177	0.119289	0.0496699	0.0319987	0.0283598	0.022446	0.0196486	0.0169602	0.0145215	0.0116508	0.0191116	0.0216393	0.0324757	0.0361403	0.0185374	0.0119648	0.0128123
a99	0.315267	0.294876	0.127328	0.0446401	0.0286967	0.0201306	0.00986381	0.00761048	0.00618767	0.00602712	0.00623614	0.00962352	0.0137329	0.0227127	0.0313278	0.021242	0.0177196	0.0167777
a87	0.209462	0.221102	0.171148	0.0810598	0.05426	0.0397637	0.0215662	0.0179008	0.014562	0.0122767	0.0104926	0.0154315	0.0194241	0.0253875	0.0329015	0.0198713	0.0163039	0.0170866
a23	0.2196	0.212173	0.150029	0.0672611	0.0416424	0.0334994	0.0227279	0.019722	0.0185393	0.015979	0.0146688	0.0204644	0.0267074	0.0369648	0.0446279	0.0251658	0.0183248	0.0119032
a83	0.249274	0.24648	0.148239	0.0660494	0.0392868	0.0254139	0.0162477	0.0143457	0.0144037	0.0135524	0.0136696	0.0168427	0.020437	0.0254061	0.0323877	0.0232787	0.0188997	0.0157867
a47	0.21761	0.206819	0.158065	0.0631194	0.0360905	0.0266487	0.0190127	0.0216197	0.0222154	0.0196944	0.0179533	0.0214762	0.0250223	0.0305841	0.0420676	0.0277671	0.0236012	0.0206331
a88	0.273846	0.226697	0.151572	0.0528809	0.0282064	0.0204623	0.0200174	0.023376	0.02276	0.0180198	0.0147886	0.0151734	0.0180858	0.0214816	0.0305271	0.0241377	0.0217241	0.0162441
a18	0.154126	0.212184	0.166947	0.10168	0.0632049	0.0433346	0.0401652	0.0331767	0.0270085	0.0195251	0.0149555	0.0140872	0.0162879	0.017501	0.0215711	0.021822	0.0176333	0.0147894
a70	0.0984432	0.123114	0.17723	0.137964	0.0814668	0.0565029	0.045976	0.0355873	0.029731	0.0214872	0.0166721	0.0167728	0.01862	0.0197048	0.0237936	0.0309408	0.0323602	0.0336328
a34	0.0988135	0.115609	0.162122	0.149991	0.0915065	0.0630217	0.0514965	0.0374311	0.0303285	0.0215744	0.0165499	0.0154634	0.0171782	0.017645	0.0206793	0.0283121	0.0304815	0.0317958
a70	0.104798	0.10829	0.118876	0.13323	0.104107	0.0838761	0.0714419	0.0521981	0.0395465	0.0295216	0.0222151	0.0201733	0.021923	0.0202023	0.0174574	0.0173912	0.0172452	0.017507
a90	0.0678313	0.0584313	0.0995008	0.131022	0.124501	0.10609	0.0844929	0.0640624	0.0475461	0.0388827	0.0310447	0.0278554	0.0284166	0.0251702	0.0171695	0.0144821	0.0147263	0.0187751
a25	0.0369651	0.0255486	0.0697006	0.114784	0.132149	0.124263	0.100206	0.0779612	0.0576743	0.045743	0.0371272	0.0343643	0.0349159	0.0288403	0.0193586	0.01656	0.0191036	0.0247352
a56	0.0177963	0.0127223	0.0387453	0.0836484	0.106076	0.106998	0.103813	0.084362	0.0702171	0.0576376	0.0508176	0.046235	0.0474607	0.0451819	0.0315389	0.0283502	0.0283258	0.0400737
