 	donne-moi	une	tranche	d'	avocat	</S>
a87	0.193362	0.197303	0.24966	0.255363	0.0780428	0.0262688
a23	0.199236	0.0722038	0.136749	0.377175	0.15508	0.0595563
a5	0.21739	0.159487	0.222832	0.244327	0.109636	0.0463286
a96	0.354027	0.336535	0.177398	0.0874347	0.0290137	0.0155911
a75	0.377615	0.347819	0.190725	0.0503084	0.0196963	0.0138362
a37	0.342521	0.327016	0.196904	0.071063	0.0380982	0.0243974
a66	0.272872	0.316333	0.270192	0.0709488	0.0422577	0.027396
a54	0.240791	0.293387	0.253861	0.0974722	0.0633978	0.0510913
a36	0.191404	0.196456	0.215414	0.138246	0.126374	0.132105
a11	0.171168	0.169609	0.231089	0.159911	0.112857	0.155366
a75	0.150801	0.165539	0.21024	0.168174	0.130959	0.174287
a56	0.118383	0.120827	0.223322	0.158397	0.156798	0.222273
a43	0.137117	0.123181	0.21149	0.20949	0.161831	0.156891
a75	0.0946702	0.0789126	0.161612	0.231237	0.208585	0.224983
a47	0.0741534	0.055111	0.133665	0.239985	0.219807	0.277279
a44	0.067992	0.0436518	0.0987948	0.213132	0.230465	0.345965
a4	0.0385759	0.0258897	0.0518842	0.187684	0.296361	0.399606
a13	0.0115156	0.00784779	0.0168816	0.106869	0.255095	0.601791
a40	0.00243032	0.00159819	0.00410903	0.0511257	0.191021	0.749716
a36	0.00455037	0.00309431	0.00797141	0.0807441	0.239395	0.664244
a26	0.00195978	0.0013181	0.0031356	0.0456269	0.19372	0.75424
a57	0.00325281	0.00136751	0.00155528	0.0246001	0.129475	0.839749
a10	0.0414228	0.0128036	0.0111271	0.0883241	0.169361	0.676961
a87	0.0786353	0.0308385	0.028799	0.149445	0.238793	0.473489
a10	0.0986618	0.0499148	0.0460727	0.173373	0.21578	0.416198
a0	0.100203	0.0512187	0.0489099	0.192412	0.21878	0.388477
</S>	0.0680437	0.0316265	0.0361353	0.163835	0.214766	0.485594
